metric,mean,median,p95,p99,max,min
lock_to_click_ms,254.2261,122.4012,892.7531,1611.964,1972.3888,10.807
fps,69.4608,65.6855,90.7928,91.9919,94.0906,43.9952
grab_ms,2.1155,2.4581,2.9337,3.8929,4.5825,0.0
yolo_ms,8.1781,9.8253,13.1016,14.0293,14.4595,0.0
select_ms,0.312,0.2117,0.6699,1.4491,6.3244,0.098
mouse_ms,0.0117,0.0101,0.015,0.0636,0.2039,0.0033
pid_ms,0.0056,0.0053,0.007,0.0102,0.0391,0.0035
align_click_ms,0.0014,0.0014,0.0024,0.0031,0.0106,0.0
move_ms,0.1943,0.2048,0.3735,0.5374,0.7184,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,58,18.24
25~50,19,5.97
50~100,44,13.84
100~250,97,30.5
250~500,54,16.98
500~1000,33,10.38
>1000,13,4.09
