metric,mean,median,p95,p99,max,min
lock_to_click_ms,267.4913,187.446,755.9067,928.0118,1000.4147,10.6762
fps,68.2257,65.1118,91.1288,93.386,124.2522,55.5858
grab_ms,2.4309,2.4767,3.0757,6.9371,9.7847,0.0
yolo_ms,9.3647,10.4374,13.4491,14.2483,14.5189,0.0
select_ms,1.1275,0.3783,6.0421,7.1009,7.8695,0.0984
mouse_ms,0.0147,0.0095,0.0351,0.1042,0.3214,0.0035
pid_ms,0.0076,0.0054,0.0076,0.0801,0.1101,0.0032
align_click_ms,0.0017,0.0017,0.0027,0.0035,0.0039,0.0
move_ms,0.2197,0.1926,0.4676,0.7089,1.1115,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,18,11.61
25~50,2,1.29
50~100,18,11.61
100~250,52,33.55
250~500,43,27.74
500~1000,21,13.55
>1000,1,0.65
