metric,mean,median,p95,p99,max,min
lock_to_click_ms,166.8833,90.2913,695.9832,954.3419,1007.1979,10.5411
fps,74.0769,68.6367,91.8604,93.6078,99.5025,25.7583
grab_ms,1.9291,2.5085,3.3601,7.0065,7.5077,0.0
yolo_ms,7.4339,10.1404,13.2567,14.0548,14.4088,0.0
select_ms,1.3724,0.5464,7.1735,8.6731,8.9753,0.1007
mouse_ms,0.0149,0.0102,0.0361,0.1498,0.2785,0.0047
pid_ms,0.0063,0.0058,0.0076,0.0096,0.0642,0.0036
align_click_ms,0.0012,0.0013,0.0025,0.0027,0.0032,0.0
move_ms,0.1608,0.1817,0.3732,0.5712,0.735,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,72,33.8
25~50,11,5.16
50~100,36,16.9
100~250,49,23.0
250~500,25,11.74
500~1000,19,8.92
>1000,1,0.47
