hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,139.7331,9,64.4085,2.7243,7.6839,0.2497,0.0111,0.007,0.0015,0.1792
2,104.7072,7,66.8531,3.5139,10.9394,0.4126,0.011,0.0058,0.0012,0.2494
3,169.6663,11,64.8331,3.2284,11.6245,0.1469,0.0097,0.005,0.0016,0.2866
4,420.5202,27,64.2062,3.0597,11.0925,0.1845,0.0097,0.0049,0.002,0.231
5,673.8906,43,63.8086,2.9649,8.0663,0.2183,0.01,0.0053,0.002,0.2711
6,924.7424,59,63.8016,3.2796,10.7136,0.212,0.0152,0.0076,0.0015,0.2109
7,1177.0634,75,63.7179,2.8723,11.9363,0.1397,0.0101,0.0078,0.0025,0.2131
8,1431.236,91,63.5814,3.0382,10.9628,0.152,0.0089,0.0055,0.0014,0.2269
9,139.8668,9,64.3469,3.0048,12.3403,0.3632,0.0102,0.0055,0.0015,0.191
10,405.8283,26,64.0665,2.6817,6.6663,0.1491,0.0738,0.0049,0.0017,0.1942
11,215.729,14,64.8962,2.8257,10.7038,0.2205,0.0107,0.0066,0.0011,0.2424
12,464.9636,30,64.5212,2.813,9.7749,0.2005,0.0099,0.0051,0.0018,0.1848
13,731.5076,47,64.2509,2.7957,10.2676,0.1431,0.0092,0.0046,0.0015,0.2267
14,986.0962,63,63.8883,2.6712,7.3091,0.1354,0.0103,0.0056,0.002,0.2199
15,169.7808,11,64.7894,2.9579,12.0351,0.2668,0.0108,0.0049,0.0015,0.2125
16,431.7791,28,64.848,2.6877,7.0643,0.1494,0.0102,0.0046,0.0017,0.1881
17,686.1537,44,64.1256,2.6373,11.3556,0.2205,0.0102,0.0053,0.0014,0.1762
18,949.2168,61,64.2635,2.9739,10.7199,0.1699,0.0095,0.0055,0.0018,0.1972
19,181.7948,12,66.0085,2.7324,11.3669,0.1407,0.0912,0.0049,0.001,0.2175
20,448.4263,28,62.4406,2.7438,7.2496,0.1847,0.0114,0.0049,0.0013,0.1949
21,698.0545,43,61.5998,2.6317,10.642,0.0974,0.0221,0.0062,0.0012,0.1877
22,964.9037,60,62.1824,2.7415,8.9319,0.4105,0.0092,0.0044,0.0012,0.1528
23,1231.4224,76,61.7172,2.7783,9.1805,0.1967,0.0107,0.0064,0.0015,0.197
24,1498.7357,92,61.3851,2.8333,7.7739,0.1711,0.0703,0.0055,0.0014,0.1894
25,92.8168,6,64.6435,3.0898,13.4139,0.1595,0.0113,0.0055,0.0009,0.2599
26,231.4295,15,64.8146,2.7835,9.0717,0.1639,0.0095,0.0052,0.001,0.2259
27,170.0488,11,64.6873,2.8283,7.6079,0.1707,0.018,0.0067,0.0013,0.2333
28,419.663,26,61.9545,3.1641,11.243,0.1776,0.01,0.0051,0.002,0.2257
29,169.7034,11,64.819,2.8358,12.5602,0.1449,0.0095,0.0049,0.0011,0.3577
30,435.2519,27,62.033,2.9898,10.0437,0.1004,0.0084,0.0043,0.0017,0.2136
31,686.2834,41,59.7421,2.8405,10.2718,0.3628,0.0111,0.0054,0.0016,0.215
32,107.2633,7,65.26,2.7747,8.8802,0.1388,0.1161,0.0064,0.0013,0.2014
33,183.0279,12,65.5638,3.1517,10.9879,0.148,0.0164,0.0062,0.001,0.2109
34,435.7296,28,64.26,2.7666,8.1911,0.1097,0.0082,0.0039,0.0023,0.1922
35,106.3406,7,65.8262,2.869,12.2357,0.2194,0.0098,0.0052,0.0013,0.1683
36,373.4581,24,64.2642,2.7666,8.0648,0.1397,0.0113,0.0049,0.001,0.2133
37,622.5954,40,64.2472,2.7875,6.1267,0.1533,0.0096,0.0054,0.0015,0.1824
38,107.069,7,65.3784,2.8779,7.5537,0.268,0.0115,0.0065,0.0014,0.2941
39,102.8107,7,68.0863,3.2727,11.6798,0.1821,0.0092,0.0052,0.0015,0.2411
40,373.3443,22,58.9268,2.7669,10.6215,0.1442,0.0089,0.0054,0.0017,0.2039
41,228.2265,15,65.7242,2.855,11.9366,0.2154,0.0098,0.0051,0.0018,0.2483
42,169.1134,11,65.0451,2.8721,11.9255,0.2062,0.0106,0.0059,0.0029,0.2886
43,435.6857,27,61.9713,2.8908,10.9374,0.1909,0.0113,0.0054,0.0017,0.1997
44,103.1201,7,67.882,2.9802,12.3435,0.1583,0.0113,0.0057,0.0014,0.1636
45,199.9461,12,60.0162,3.4035,12.8771,0.1467,0.0111,0.0062,0.0013,0.204
46,453.2257,28,61.7794,2.6087,6.6246,0.1033,0.0091,0.0052,0.0014,0.1807
47,185.3593,12,64.7391,2.7189,12.2349,0.3268,0.0098,0.0054,0.001,0.2096
48,451.6198,28,61.9991,2.8913,9.8362,0.2282,0.0103,0.0049,0.0015,0.2192
49,702.4015,41,58.3712,3.102,12.193,0.257,0.0111,0.0066,0.0022,0.1987
50,185.353,12,64.7413,2.9892,11.6395,0.1438,0.0148,0.0055,0.0011,0.1943
51,203.0742,13,64.016,2.8128,12.4576,0.1339,0.0145,0.0071,0.001,0.2363
52,468.6643,30,64.0117,2.6001,7.965,0.1515,0.0104,0.0055,0.0015,0.2008
53,718.3417,46,64.0364,2.5398,10.6042,0.2249,0.0087,0.0047,0.0023,0.2201
54,198.9433,13,65.3453,2.7513,12.3059,0.502,0.0088,0.0055,0.0016,0.3274
55,89.8779,6,66.7572,2.7225,7.476,0.1312,0.01,0.0048,0.0014,0.2029
