hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,15.0518,1,66.4372,0.0,0.0,0.1993,0.0021,0.0043,0.0,0.0
2,94.1732,6,63.7124,2.8301,7.9169,0.2787,0.0076,0.0042,0.0011,0.1573
3,57.0942,4,70.0597,2.8424,13.1561,0.1507,0.0071,0.0058,0.002,0.1948
4,107.2893,7,65.2442,2.9454,11.7526,0.2134,0.0073,0.0039,0.0012,0.2267
5,14.3997,1,69.4459,0.0,0.0,0.2409,0.0023,0.0035,0.0,0.0
6,10.9481,1,91.3401,0.0,0.0,0.4847,0.0031,0.0045,0.0,0.0
7,107.4889,7,65.123,3.1489,12.2075,0.108,0.0091,0.005,0.0012,0.1939
8,198.6975,12,60.3933,3.1952,11.5271,0.1257,0.0083,0.0035,0.0012,0.179
9,453.4672,28,61.7465,2.7872,10.3254,0.3847,0.0072,0.0051,0.002,0.2648
10,198.8287,13,65.3829,3.3413,11.964,0.1746,0.0066,0.0048,0.0011,0.1735
11,452.7595,29,64.0517,2.7881,7.7712,0.1549,0.0069,0.0044,0.0017,0.1381
12,719.101,46,63.9688,2.8828,7.0294,0.1145,0.0131,0.0045,0.0015,0.1596
13,981.4696,63,64.1895,2.671,10.8952,0.1483,0.0082,0.0047,0.0017,0.1286
14,106.7985,7,65.544,2.7445,7.6546,0.123,0.0064,0.0045,0.002,0.3053
15,198.7667,11,55.3413,2.6462,7.1705,0.1472,0.0063,0.0055,0.0014,0.1907
16,56.3961,4,70.9269,2.6556,7.0014,0.2166,0.0067,0.0044,0.0018,0.2445
17,94.2776,6,63.6418,2.8115,12.4059,0.1417,0.0077,0.0049,0.0014,0.2297
18,198.1407,13,65.6099,2.6594,11.9856,0.1434,0.0069,0.0057,0.0012,0.1931
19,27.5246,2,72.6623,3.1873,11.878,0.3276,0.0063,0.0047,0.0014,0.2147
20,11.5204,1,86.8025,0.0,0.0,0.4625,0.0056,0.0064,0.0,0.0
21,122.9295,8,65.078,3.0215,11.0358,0.1686,0.0084,0.0056,0.0015,0.281
22,373.5051,24,64.2562,2.678,11.6979,0.1558,0.0087,0.0055,0.0021,0.3256
23,642.3753,41,63.8256,2.9612,11.7814,0.261,0.0173,0.0093,0.0026,0.2256
24,90.7511,6,66.1149,3.0313,11.1222,0.2105,0.0082,0.0054,0.0017,0.2111
25,344.8351,22,63.7986,2.8555,7.2526,0.1393,0.0134,0.0051,0.0015,0.1969
26,501.9736,32,63.7484,2.5153,7.4884,0.1951,0.0089,0.0052,0.0015,0.2577
27,119.1473,8,67.1438,2.7013,10.0824,0.123,0.0063,0.0038,0.0013,0.3631
28,544.1966,35,64.315,2.2649,7.892,0.2235,0.008,0.0047,0.0013,0.2059
29,839.3083,54,64.3387,2.6027,10.2251,0.1285,0.0049,0.0047,0.0017,0.2438
30,371.9147,24,64.5309,2.4042,7.669,0.1847,0.0062,0.0054,0.0015,0.225
31,750.6845,48,63.9416,2.3034,10.8642,0.1206,0.0072,0.0053,0.0015,0.1901
32,106.6677,7,65.6244,2.5235,11.7896,0.1126,0.0053,0.0043,0.0019,0.1922
