hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,12.9996,1,76.9254,0.0,0.0,0.5522,0.0095,0.0107,0.0,0.0
2,57.8913,5,86.3688,2.4528,10.3216,0.1068,0.0076,0.004,0.0025,0.2294
3,181.8224,12,65.9985,2.2744,7.2116,0.1299,0.0093,0.0048,0.0012,0.1692
4,181.9647,12,65.9469,2.7905,10.268,0.3273,0.008,0.0049,0.0012,0.2116
5,107.6103,7,65.0495,3.216,11.9402,0.2264,0.0102,0.0055,0.0023,0.1907
6,107.216,6,55.9618,2.6194,7.3148,0.3509,0.0098,0.0046,0.0012,0.4201
7,107.0559,7,65.3864,2.5861,11.2056,0.2441,0.0091,0.0057,0.0013,0.3656
8,105.8132,7,66.1543,2.3006,8.0034,0.2297,0.0106,0.0055,0.0012,0.2127
9,356.2917,23,64.5538,2.5019,6.8764,0.1025,0.0092,0.0053,0.0018,0.197
10,169.8833,11,64.7503,2.4948,7.5823,0.2966,0.0108,0.0058,0.0013,0.1958
11,89.693,7,78.044,2.5803,10.2105,0.2983,0.0178,0.0063,0.0274,0.7989
12,186.0287,12,64.5062,3.2814,11.0126,1.9431,0.0214,0.0072,0.0027,0.2958
13,157.8511,10,63.3508,2.5599,7.8389,0.6188,0.01,0.0055,0.0013,0.2912
14,186.1236,11,59.1005,2.5688,7.8421,0.2641,0.013,0.0065,0.0012,0.2655
15,135.5353,8,59.0252,2.3399,10.3546,0.2204,0.0106,0.0058,0.0014,0.2185
16,106.7518,6,56.2051,2.4889,11.677,0.1061,0.0096,0.005,0.0014,0.2437
17,374.2257,20,53.4437,2.771,9.3146,0.1356,0.01,0.0062,0.0013,0.2234
18,90.402,6,66.3702,2.733,12.2225,0.3555,0.0082,0.0051,0.0017,0.2221
19,357.7446,21,58.7011,2.6269,10.4033,0.1473,0.0104,0.0056,0.0014,0.188
20,139.3598,8,57.4054,2.6456,13.4517,0.2818,0.0099,0.0064,0.002,0.2096
21,87.4007,6,68.6493,2.8733,10.9939,0.2319,0.01,0.0052,0.0012,0.7242
22,60.0463,4,66.6153,2.8086,11.2586,0.1758,0.0099,0.0049,0.001,0.2637
23,14.1652,1,70.5955,0.0,0.0,0.3034,0.0062,0.0051,0.0,0.0
24,294.4387,19,64.5296,2.7586,9.5287,0.439,0.0111,0.0051,0.0011,0.3501
25,119.6352,8,66.87,2.616,13.1575,0.1163,0.0073,0.0048,0.0022,0.2311
26,11.4524,1,87.3179,0.0,0.0,0.236,0.0064,0.0062,0.0,0.0
27,277.3783,16,57.683,2.7984,10.2804,0.5551,0.0773,0.0061,0.002,0.214
28,102.2527,7,68.4579,2.819,11.586,0.1545,0.0098,0.0046,0.0013,0.2273
29,110.5155,7,63.3395,2.986,11.3905,0.2579,0.0102,0.0061,0.0013,0.2776
30,118.8326,8,67.3216,2.6781,10.6313,0.1434,0.0084,0.0048,0.0018,0.2609
31,385.4388,23,59.6722,2.7791,11.6914,0.2264,0.0086,0.0048,0.0016,0.2709
32,69.8845,4,57.2373,3.0741,12.6495,0.1494,0.0108,0.0053,0.0011,0.2178
