metric,mean,median,p95,p99,max,min
lock_to_click_ms,717.0309,565.1074,1785.3021,1918.9268,1952.1043,11.5194
fps,65.6479,64.2248,69.9118,82.5664,86.8101,60.5565
grab_ms,3.338,3.4455,6.1675,6.8544,6.9264,0.0
yolo_ms,19.8123,21.0209,27.1476,27.793,27.9347,0.0
select_ms,0.3912,0.3666,0.6408,0.9023,0.9865,0.1387
mouse_ms,0.0115,0.0109,0.0157,0.0197,0.021,0.0058
pid_ms,0.0057,0.0054,0.0077,0.0084,0.0086,0.0046
align_click_ms,0.0016,0.0017,0.0023,0.003,0.0032,0.0
move_ms,0.2204,0.2014,0.3642,0.4581,0.4881,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,3,11.11
25~50,0,0.0
50~100,2,7.41
100~250,4,14.81
250~500,3,11.11
500~1000,6,22.22
>1000,9,33.33
