life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,712.1531,51,3,166.7187,514.1275,57.9331,0.7747,0.3897,38.1996,9.5204
2,32.7353,1,0,6.8777,16.9548,0.3388,0.0052,0.0043,0.0013,0.4543
3,2016.1429,129,0,365.6892,1480.213,67.1169,1.922,0.685,0.1606,21.8915
4,26406.4934,11,0,34.1522,121.6829,14.271,0.1221,0.0467,0.0133,2.2789
5,37.6975,1,0,6.1129,15.1191,0.5851,0.0098,0.0046,0.001,0.1338
6,203.1392,17,0,72.5223,190.5982,10.8525,0.1849,0.088,0.0205,4.7812
7,53.9536,3,0,12.4173,42.1148,0.8822,0.0317,0.0164,0.0045,1.1274
8,33.1004,1,0,4.7519,20.1903,0.503,0.0084,0.0063,0.0013,0.2446
9,150.1497,5,0,23.4858,74.1564,1.2579,0.0496,0.0289,0.0076,1.1822
10,58.4827,3,0,11.0593,44.4694,1.0338,0.0343,0.0181,0.0045,0.7384
11,32.4067,1,0,4.7455,19.0366,0.3282,0.0057,0.0056,0.0011,0.2619
12,150.5249,3,0,12.5659,42.0172,0.9798,0.0264,0.0167,0.0039,0.6141
13,319.8263,18,1,54.9653,241.0702,9.0299,0.1874,0.098,14.2472,5.1567
14,46.2739,1,0,7.626,28.6724,0.3177,0.008,0.0055,0.0015,0.2286
15,63.5041,3,0,10.5338,31.0305,1.096,0.0298,0.016,0.0039,0.6965
16,440.4357,27,2,76.4379,268.9464,6.5568,0.279,0.1493,22.5794,5.9796
17,61.1544,3,0,10.3078,41.4119,3.5907,0.0313,0.0202,0.004,0.6886
18,33.1065,1,0,4.8423,19.0089,0.1834,0.0043,0.0062,0.0013,0.3355
19,467.6556,29,1,76.2438,319.4268,6.7619,0.2798,0.164,11.3647,8.0695
20,79.1573,1,0,13.226,47.7398,0.444,0.0073,0.0052,0.0017,0.1935
21,157.7267,2,0,25.2896,98.231,0.5822,0.017,0.0108,0.0024,0.6194
22,34.2393,1,0,6.1837,20.5881,0.6109,0.0061,0.0053,0.0013,0.2194
23,123.695,5,0,19.9531,88.3167,1.0733,0.0475,0.0284,0.0084,1.3002
24,495.8499,1,0,80.0247,289.8342,0.2979,0.0072,0.0051,0.0012,0.2187
25,50.5338,2,0,7.6273,27.3423,0.3429,0.0136,0.0097,0.0026,0.2793
26,33.0814,1,0,4.9688,17.5264,0.3489,0.0064,0.0053,0.0011,0.1634
27,28.813,1,0,5.0271,22.4351,0.353,0.0069,0.0047,0.001,0.1986
28,378.7399,23,1,59.493,215.7691,5.3493,0.4125,0.1265,11.0983,5.1802
29,62.4445,3,0,9.1844,39.6513,1.0258,0.0248,0.0159,0.0047,0.7443
30,29.2601,1,0,5.1771,20.1962,0.3437,0.0074,0.005,0.0014,0.2239
31,441.4672,27,2,70.4404,276.1429,5.9328,0.2513,0.1377,22.563,5.6589
32,74.8117,4,0,13.0557,45.4295,0.9216,0.0327,0.0201,0.0051,0.9407
33,33.0202,1,0,4.9039,24.263,0.3021,0.0065,0.0054,0.0014,0.1953
34,62.5901,3,0,10.1085,46.2976,1.3547,0.0237,0.0155,0.0041,0.663
