life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,2002.573,429,0,1252.1406,3475.4133,233.3012,7.1033,2.295,0.4088,85.581
2,2002.0954,463,0,1238.0104,3078.5878,285.6762,8.7545,2.1946,0.4359,97.1039
3,2004.1904,462,0,1196.262,3056.2426,277.1411,13.2393,1.7967,0.4419,125.5383
4,9295.6104,159,0,406.5293,1074.6104,87.0665,3.3035,0.5978,0.1318,36.8133
5,2001.4408,475,0,1220.2157,3054.9444,254.1097,6.7328,1.8023,0.3754,103.9394
6,10044.812,149,0,398.9175,1094.3965,80.3854,2.4858,0.6106,0.1449,37.9464
