metric,mean,median,p95,p99,max,min
lock_to_click_ms,292.8153,167.6829,907.1043,1000.4784,1011.9472,10.6153
fps,69.9601,65.7849,91.0948,92.8578,94.2036,49.9534
grab_ms,2.4973,2.7838,3.6049,6.5434,7.6538,0.0
yolo_ms,9.5628,11.4795,13.427,14.9104,23.8721,0.0
select_ms,1.7562,0.4848,7.368,8.1758,8.8829,0.1013
mouse_ms,0.0155,0.0103,0.0289,0.1154,0.3614,0.0051
pid_ms,0.0069,0.006,0.0076,0.0182,0.2025,0.0031
align_click_ms,0.0015,0.0015,0.0025,0.0031,0.0041,0.0
move_ms,0.1736,0.1817,0.3354,0.5505,0.7329,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,71,18.78
25~50,5,1.32
50~100,57,15.08
100~250,86,22.75
250~500,73,19.31
500~1000,82,21.69
>1000,4,1.06
