metric,mean,median,p95,p99,max,min
lock_to_click_ms,452.6351,275.558,1450.5719,1888.4715,2010.6361,10.9152
fps,65.2989,64.4943,70.1395,90.0522,109.3918,41.9717
grab_ms,2.7014,2.5772,3.5757,6.4802,8.366,0.0
yolo_ms,10.0374,10.6211,13.0401,14.3825,17.5825,0.0
select_ms,0.3682,0.1965,0.9323,4.1319,7.2701,0.0963
mouse_ms,0.0136,0.0107,0.0215,0.0701,0.3622,0.0038
pid_ms,0.0057,0.0054,0.0073,0.0093,0.1157,0.0036
align_click_ms,0.0014,0.0013,0.0023,0.0029,0.0049,0.0
move_ms,0.2438,0.2253,0.4134,0.7209,1.0557,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,24,2.91
25~50,7,0.85
50~100,63,7.63
100~250,309,37.41
250~500,184,22.28
500~1000,138,16.71
>1000,101,12.23
