hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,22.3657,2,89.4226,3.279,14.3625,0.7603,0.0716,0.0116,0.0145,0.2515
2,88.4288,6,67.8512,2.5002,13.3724,0.2125,0.0087,0.0056,0.0014,0.3831
3,339.3455,22,64.8307,2.4833,11.3503,0.3246,0.0093,0.0052,0.0015,0.301
4,867.7432,56,64.5352,2.6599,13.0946,0.2508,0.0072,0.0055,0.0017,0.2024
5,106.9334,7,65.4613,2.5404,12.2362,0.1433,0.008,0.0046,0.0024,0.2741
6,356.5573,23,64.5058,2.4746,6.993,0.1516,0.0075,0.004,0.0021,0.1585
7,608.4678,39,64.0954,3.1581,11.5086,0.1928,0.0078,0.0051,0.0025,0.3422
8,874.4635,56,64.0393,3.1654,12.0082,0.1194,0.0083,0.0061,0.0016,0.1303
9,119.6274,8,66.8743,3.1162,13.1591,0.2209,0.0052,0.0051,0.0021,0.1455
10,385.7456,25,64.8096,3.0849,11.7285,0.1811,0.0084,0.0042,0.0019,0.1323
11,636.0512,41,64.4602,3.1805,12.5344,0.4233,0.0076,0.0046,0.0017,0.1449
12,886.74,57,64.2804,3.3071,12.3515,0.2022,0.0074,0.0059,0.0021,0.1532
13,91.7725,6,65.3791,2.9772,13.0469,0.1114,0.0069,0.0043,0.0013,0.6407
14,338.853,22,64.9249,3.1909,15.6004,0.3375,0.0106,0.0058,0.0022,0.2499
15,591.7453,38,64.2168,2.9,11.8811,0.1001,0.0055,0.0044,0.0019,0.1607
16,90.7193,6,66.1381,2.9494,13.3199,0.2481,0.0063,0.0056,0.0012,0.2043
17,340.2351,22,64.6612,2.731,9.8952,0.1101,0.0069,0.005,0.0024,0.2046
18,594.6568,38,63.9024,2.9161,11.7826,0.1389,0.0085,0.0058,0.0023,0.168
19,856.7411,55,64.1968,2.8897,13.0385,0.1305,0.0081,0.006,0.0022,0.1671
20,106.6094,7,65.6603,2.9317,14.0881,0.2239,0.0072,0.0053,0.002,0.1915
21,360.1629,23,63.86,2.7961,11.397,0.2232,0.0085,0.0052,0.0026,0.1237
22,624.2603,40,64.0758,3.6773,12.6158,0.3739,0.0087,0.0047,0.0023,0.1345
23,545.0234,35,64.2174,2.9939,13.1344,0.1501,0.0072,0.005,0.0012,0.2169
24,815.9155,52,63.7321,2.9111,8.197,0.1435,0.0109,0.0064,0.0027,0.2104
25,1005.2136,64,63.6681,2.8838,8.2535,0.1857,0.008,0.0059,0.0012,0.1891
26,887.1562,57,64.2502,2.8876,13.4358,0.1625,0.0086,0.0049,0.0012,0.2512
27,128.231,9,70.1858,3.3628,12.562,0.1888,0.0072,0.0057,0.0019,0.3001
28,451.9194,28,61.958,2.8324,10.7307,0.1476,0.0124,0.006,0.0016,0.1789
29,923.1453,58,62.8287,2.9425,10.9318,0.1166,0.0072,0.0068,0.0013,0.2259
30,893.321,56,62.6874,2.9032,12.2953,0.5074,0.0074,0.0053,0.0014,0.2021
31,247.6987,16,64.5946,2.904,11.6915,0.1299,0.0078,0.0053,0.001,0.5005
32,216.6735,14,64.6133,2.9142,12.8736,0.2313,0.0102,0.0052,0.0016,0.315
33,107.8196,7,64.9233,2.7195,13.0384,0.4909,0.0103,0.0068,0.0014,0.2008
34,373.2175,24,64.3057,3.051,13.0475,0.3905,0.0074,0.0053,0.002,0.3076
35,18.4704,2,108.2814,3.2205,16.2217,0.2451,0.0064,0.0056,0.0009,0.1893
36,94.0176,6,63.8178,2.7377,12.0399,0.1301,0.0068,0.0043,0.0013,0.2248
37,93.5673,6,64.125,3.0777,12.3366,0.3623,0.0081,0.0053,0.0015,0.203
38,14.692,1,68.0643,0.0,0.0,0.2601,0.0056,0.0054,0.0,0.0
39,90.4748,6,66.3168,3.7559,11.775,0.7381,0.007,0.0055,0.0017,0.1828
40,389.9416,25,64.1122,2.8452,12.4503,0.1706,0.0089,0.0053,0.0014,0.2662
41,656.2897,42,63.9961,2.8843,12.1427,0.1765,0.0074,0.0061,0.0016,0.2107
42,906.4773,58,63.984,3.5786,12.9288,0.1039,0.0068,0.0042,0.0019,0.2741
43,390.8032,25,63.9708,3.1269,11.6258,0.208,0.009,0.0056,0.0008,0.2336
44,640.7266,41,63.9899,3.8103,12.5574,0.0995,0.0053,0.0043,0.0024,0.2655
45,894.2125,57,63.7432,3.3732,12.711,0.1388,0.009,0.006,0.0028,0.3404
46,139.6115,9,64.4646,3.1175,12.8484,0.214,0.0077,0.0049,0.002,0.3522
47,111.0701,7,63.0233,2.9166,8.5446,0.1449,0.008,0.0052,0.0013,0.1892
48,11.4232,1,87.5411,0.0,0.0,0.1886,0.0027,0.0043,0.0,0.0
49,261.9004,17,64.9102,3.0877,7.6753,0.269,0.0081,0.005,0.0022,0.2199
50,106.7669,7,65.5634,2.4894,11.3239,0.1072,0.0059,0.0046,0.0013,0.2046
51,327.3303,19,58.0453,2.6773,7.369,0.4466,0.0082,0.0048,0.0012,0.315
