metric,mean,median,p95,p99,max,min
lock_to_click_ms,278.5151,160.5351,790.5652,937.3996,981.4696,10.9481
fps,66.5106,64.8045,79.0254,89.9334,91.3401,55.3413
grab_ms,2.4375,2.7229,3.1909,3.296,3.3413,0.0
yolo_ms,8.7982,10.2752,12.2968,12.9235,13.1561,0.0
select_ms,0.1989,0.1622,0.4197,0.4778,0.4847,0.108
mouse_ms,0.0074,0.0072,0.0132,0.0161,0.0173,0.0021
pid_ms,0.005,0.0047,0.0061,0.0084,0.0093,0.0035
align_click_ms,0.0014,0.0015,0.002,0.0024,0.0026,0.0
move_ms,0.191,0.1958,0.3144,0.3515,0.3631,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,4,12.5
25~50,1,3.12
50~100,5,15.62
100~250,10,31.25
250~500,5,15.62
500~1000,7,21.88
>1000,0,0.0
