hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,239.0972,15,62.736,2.7707,7.4539,0.153,0.0104,0.0057,0.0012,0.2522
2,105.8314,7,66.1429,2.851,11.707,0.1178,0.0088,0.0043,0.001,0.25
3,377.5058,23,60.9262,2.8963,7.1922,0.1517,0.0116,0.0055,0.0016,0.1838
4,102.8378,7,68.0684,3.0794,11.4808,0.1189,0.0104,0.0063,0.0011,0.236
5,106.8305,7,65.5244,2.5301,12.8127,0.1636,0.0111,0.0057,0.0014,0.2375
6,357.3518,23,64.3623,2.4959,7.7015,0.1091,0.0089,0.0043,0.001,0.2233
7,628.1872,40,63.6753,2.3994,8.2496,0.231,0.0106,0.0056,0.0017,0.203
8,143.185,9,62.8557,2.5595,7.1505,4.5595,0.1616,0.0055,0.0011,0.1617
9,398.8057,26,65.1947,2.5584,12.2184,0.1473,0.0112,0.0052,0.0021,0.2134
10,57.3232,4,69.7798,2.6718,10.6117,0.3766,0.0096,0.0082,0.0013,0.2416
11,107.0148,7,65.4115,2.5357,9.6695,0.3424,0.0109,0.0056,0.0016,0.2675
12,374.0265,24,64.1666,2.3666,7.5757,0.4173,0.0103,0.0058,0.0015,0.1963
13,72.8987,5,68.5883,2.6867,9.5341,0.3304,0.009,0.0055,0.0012,0.233
14,322.8383,21,65.048,2.4524,10.2073,0.3022,0.0119,0.0068,0.0013,0.2172
15,593.4999,38,64.027,2.5028,6.9494,0.1487,0.0122,0.0056,0.0019,0.1924
16,109.0744,7,64.1764,2.5709,10.5285,0.3757,0.0741,0.0059,0.0014,0.188
17,106.5264,7,65.7114,2.5532,7.5927,0.1141,0.0088,0.0046,0.001,0.2146
18,356.8617,23,64.4507,2.3402,7.5419,0.1953,0.0112,0.0058,0.0019,0.2222
19,198.4441,13,65.5096,2.2903,7.8149,0.1418,0.0105,0.0053,0.0012,0.1714
20,11.4307,1,87.4837,0.0,0.0,0.6741,0.0071,0.0045,0.0,0.0
21,106.9386,7,65.4581,2.4138,9.2162,0.1,0.0078,0.0042,0.0014,0.2994
22,373.7945,24,64.2064,2.5106,11.3878,0.1842,0.0097,0.0057,0.0014,0.1874
23,44.4124,3,67.5487,2.605,10.439,0.1475,0.0097,0.005,0.0017,0.2491
24,299.1841,19,63.506,2.5711,6.4823,0.4062,0.01,0.0046,0.0022,0.2252
25,53.2355,4,75.1378,2.3682,10.0313,0.1912,0.0082,0.0052,0.0011,0.5938
26,306.4797,20,65.2572,2.4576,10.0902,0.1015,0.0082,0.0047,0.0019,0.2066
27,198.638,13,65.4457,2.4072,10.1854,0.2121,0.0099,0.0054,0.0011,0.24
28,169.6973,11,64.8213,2.5053,7.8942,0.1535,0.0105,0.0054,0.0015,0.2276
29,182.2512,12,65.8432,2.5808,9.834,0.146,0.0608,0.0057,0.0015,0.219
30,11.2047,1,89.2483,0.0,0.0,0.3207,0.0071,0.0045,0.0,0.0
31,261.87,17,64.9177,2.6957,10.9946,0.2422,0.0108,0.0054,0.0025,0.2417
