metric,mean,median,p95,p99,max,min
lock_to_click_ms,701.1188,611.763,1727.0857,1934.8491,1944.5518,11.0673
fps,66.3915,64.0906,88.6624,94.7477,108.6537,62.7842
grab_ms,2.8828,2.8682,4.0697,4.9547,5.5562,0.0
yolo_ms,28.5389,30.5746,34.1625,37.8178,46.4404,0.0
select_ms,0.5881,0.4029,1.2057,5.299,5.3423,0.128
mouse_ms,0.0155,0.011,0.0344,0.0832,0.1031,0.0065
pid_ms,0.0059,0.0058,0.0074,0.0092,0.0094,0.0041
align_click_ms,0.0013,0.0013,0.0021,0.0023,0.0023,0.0
move_ms,0.2139,0.211,0.3005,0.6554,0.6802,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,6,7.79
25~50,0,0.0
50~100,0,0.0
100~250,16,20.78
250~500,14,18.18
500~1000,21,27.27
>1000,20,25.97
