hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,69.3445,6,86.5245,2.1941,13.167,0.5551,0.0079,0.0037,0.0029,0.1669
2,321.1307,27,84.0779,2.361,12.8462,0.1075,0.007,0.004,0.0015,0.106
3,585.3047,46,78.5915,6.3791,12.5307,0.6013,0.0127,0.0047,0.0021,0.7165
4,131.0221,9,68.6907,3.0031,12.6154,0.5998,0.0083,0.0048,0.0015,0.4863
5,105.8607,7,66.1246,2.5362,7.9436,0.2234,0.0104,0.0058,0.0016,0.2043
6,355.3273,23,64.7291,2.4913,9.7901,0.2027,0.0095,0.0057,0.0022,0.1726
7,103.5948,7,67.571,2.5551,11.8936,0.4183,0.0099,0.0055,0.0011,0.2342
8,90.1725,6,66.5391,2.4278,7.201,0.163,0.0093,0.0053,0.0011,0.1539
9,106.776,7,65.5578,2.4621,10.1277,0.1099,0.0093,0.0042,0.0015,0.2065
10,356.9285,23,64.4387,2.5469,12.0853,0.2221,0.0093,0.0059,0.0021,0.1821
11,101.5909,7,68.9038,2.3195,10.1075,0.0995,0.008,0.004,0.0016,0.1964
12,91.5868,6,65.5116,2.6489,10.6639,0.3809,0.0097,0.0106,0.0015,0.1229
13,386.7102,21,54.3042,2.3767,11.2739,0.1971,0.0088,0.0051,0.0013,0.2016
14,103.7555,7,67.4663,2.5015,11.0401,0.1739,0.0089,0.006,0.0017,0.2052
15,369.5279,24,64.9477,2.3714,6.7639,0.3569,0.0083,0.0057,0.0021,0.1983
16,624.5386,40,64.0473,2.3933,9.8773,0.3422,0.03,0.0058,0.0018,0.1848
17,105.0449,7,66.6382,2.3427,7.9572,0.0992,0.0076,0.0043,0.001,0.2366
18,355.6472,23,64.6708,2.6066,10.2739,0.1425,0.0085,0.0049,0.002,0.2211
19,93.6474,6,64.0701,2.4694,7.3942,0.1499,0.0105,0.0058,0.0009,0.5869
20,101.8894,7,68.7019,2.3324,9.6763,0.0977,0.0077,0.0041,0.0015,0.2218
21,135.1665,9,66.5845,2.3853,9.9511,0.1541,0.0082,0.005,0.0014,0.199
22,86.259,6,69.558,2.3826,9.9416,0.1605,0.0097,0.0052,0.0009,0.1921
23,354.5379,23,64.8732,2.3908,5.6869,0.7663,0.0092,0.0053,0.0019,0.2122
24,186.2388,12,64.4334,2.5249,13.6524,0.2831,0.0094,0.0054,0.0015,0.2109
25,11.089,1,90.1795,0.0,0.0,0.4556,0.0067,0.0053,0.0,0.0
26,227.5555,15,65.918,2.4676,10.1952,0.1362,0.0089,0.0062,0.0017,0.2049
27,488.5528,32,65.4996,2.4025,7.0958,0.117,0.0089,0.006,0.0018,0.173
28,107.1892,7,65.3051,2.2341,10.0026,0.3437,0.0094,0.0065,0.0017,0.2208
29,357.2739,23,64.3764,2.3571,9.9908,0.2258,0.0097,0.0057,0.0024,0.1996
30,102.7051,7,68.1563,2.6373,10.8664,0.1251,0.0069,0.0044,0.0016,0.2041
31,91.0826,6,65.8743,2.6094,7.7311,0.2743,0.0094,0.0044,0.0016,0.4642
32,73.9604,5,67.6037,2.2547,6.5313,0.1619,0.0087,0.006,0.0012,0.1837
33,196.8747,13,66.0318,2.5467,10.0268,0.144,0.0079,0.0044,0.0011,0.1978
34,451.9101,29,64.1721,2.5701,7.1824,0.1463,0.0092,0.011,0.0019,0.2089
35,230.5247,15,65.0689,2.5067,12.7846,0.1503,0.0105,0.0057,0.0016,0.2288
36,497.448,32,64.3283,2.3815,11.4594,0.2056,0.0089,0.0056,0.002,0.1997
37,98.832,6,60.7091,2.4032,7.7346,3.4138,0.0099,0.0053,0.0013,0.1714
38,356.9211,23,64.44,2.521,13.7019,0.0979,0.0074,0.0124,0.0021,0.1986
39,24.8539,2,80.4703,2.719,10.8266,0.4444,0.0079,0.0051,0.001,0.2401
40,201.0298,12,59.6926,2.2622,7.0409,0.1485,0.0109,0.0053,0.0013,0.1777
41,467.7472,29,61.9993,2.3577,12.3772,0.1814,0.0083,0.0047,0.0024,0.1834
42,734.7982,46,62.6022,2.5746,13.6573,0.1383,0.0336,0.0059,0.002,0.223
43,996.7175,63,63.2075,2.4525,10.5279,0.0994,0.0081,0.0041,0.0019,0.2705
44,112.0844,7,62.4529,2.4072,7.2077,0.2284,0.0082,0.0046,0.0017,0.2368
45,361.7165,23,63.5857,2.4304,7.0544,0.3945,0.0102,0.0052,0.0024,0.2315
46,628.4522,40,63.6484,2.4601,7.2148,0.3645,0.0097,0.0056,0.0019,0.3425
47,83.1755,5,60.1139,2.453,7.478,0.2426,0.0121,0.0051,0.0013,0.3311
48,344.0905,22,63.9367,2.3114,7.3279,0.1713,0.0107,0.0049,0.0018,0.2218
49,97.6907,6,61.4183,2.6745,11.3857,0.1453,0.0105,0.0057,0.0012,0.1834
50,203.1915,13,63.9791,2.3578,6.3651,0.6867,0.0103,0.0062,0.0013,0.1905
51,234.5111,15,63.9629,2.5267,10.5579,0.6372,0.0109,0.0065,0.0016,0.2064
52,138.3358,9,65.0591,2.4973,7.3884,0.1037,0.0097,0.0045,0.0021,0.2021
53,433.8631,28,64.5365,2.3283,11.5721,0.2458,0.011,0.0053,0.0014,0.3347
54,688.6885,44,63.8896,2.4241,7.5748,0.1575,0.0114,0.0059,0.0017,0.2131
55,950.8391,61,64.1539,2.4289,7.7787,0.1371,0.0092,0.0055,0.0025,0.2105
56,120.1862,8,66.5634,2.8548,11.1112,0.1025,0.0081,0.0045,0.0011,0.2867
57,369.9966,24,64.8655,2.751,10.502,0.4218,0.0105,0.0053,0.002,0.2461
58,625.8672,40,63.9113,2.2921,11.787,1.5851,0.0123,0.0061,0.0013,0.1865
59,889.5185,57,64.0796,2.1824,11.544,0.1483,0.0105,0.0056,0.0018,0.1881
60,1152.0189,74,64.2351,2.274,11.6224,0.2128,0.0097,0.0053,0.0024,0.2062
61,118.8569,8,67.3078,2.7085,13.3158,0.1357,0.0098,0.0048,0.0014,0.2824
62,385.4142,25,64.8653,2.4981,12.0631,0.1418,0.0112,0.0052,0.0024,0.2074
63,127.5724,8,62.7095,2.3233,7.8224,0.1583,0.0107,0.0057,0.0017,0.2058
64,86.2632,6,69.5546,2.837,11.5169,0.1533,0.0089,0.0052,0.0014,0.2067
65,247.4197,16,64.6674,2.5283,12.3656,0.235,0.0117,0.0061,0.0009,0.1665
66,90.8127,6,66.0701,2.6269,10.0381,0.16,0.0093,0.0065,0.0015,0.2438
67,386.1995,25,64.7334,2.5514,10.855,0.1033,0.0081,0.004,0.0011,0.2416
68,636.4466,41,64.4202,2.5865,10.9762,0.1506,0.0094,0.0055,0.002,0.246
69,890.8415,57,63.9844,2.4915,10.65,0.1272,0.0091,0.0047,0.0018,0.1936
70,1173.7731,75,63.8965,2.3197,7.9162,0.4862,0.0167,0.0065,0.0011,0.2021
71,1436.3298,92,64.0521,2.5912,10.3023,0.5678,0.0546,0.0055,0.002,0.4605
72,89.7251,6,66.8709,2.368,11.7117,0.1952,0.0095,0.0057,0.0015,0.1891
73,110.4767,7,63.3618,2.5115,6.5268,2.4986,0.0125,0.0045,0.0015,0.2058
74,374.313,24,64.1175,2.668,11.1641,2.3874,0.0142,0.0062,0.0017,0.1697
75,103.7107,7,67.4954,2.6725,11.3084,0.2072,0.009,0.0053,0.0014,0.2146
76,356.6806,23,64.4835,2.2642,10.4161,0.2184,0.0094,0.0054,0.0014,0.2462
77,91.2876,6,65.7263,2.7442,10.7173,0.2123,0.0084,0.0049,0.0016,0.2219
78,369.1529,24,65.0137,2.4096,6.6757,0.1851,0.011,0.0054,0.0008,0.3806
79,619.1882,40,64.6007,2.4134,10.1393,0.2056,0.0083,0.0045,0.0022,0.3937
80,873.3544,56,64.1206,2.5245,10.0473,0.2164,0.0094,0.0059,0.0021,0.2175
81,73.5536,5,67.9776,2.3988,7.3053,0.1045,0.0082,0.0044,0.0013,0.2432
82,323.5043,21,64.9141,2.2934,9.7085,0.1034,0.0071,0.0045,0.002,0.2035
83,27.9708,2,71.5031,2.456,7.9133,0.1116,0.0075,0.0041,0.0009,0.2393
84,277.9258,18,64.7655,2.4944,9.6407,0.1339,0.0087,0.005,0.0026,0.203
85,544.8006,35,64.2437,2.4139,7.2303,0.2016,0.0107,0.0057,0.0016,0.2235
