life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,2460.9939,2,0,1434.3103,9585.5317,0.9693,0.0261,0.0173,0.004,0.4439
2,7367.2377,3,0,1023.6854,7060.3962,4.1161,0.0495,0.0206,0.0039,1.4244
3,153.3635,1,0,34.5139,329.1037,0.7486,0.0314,0.0081,0.0017,0.3944
4,80.2462,3,0,22.6032,189.9457,1.0019,0.0246,0.0157,0.0036,0.9098
5,332.9724,4,0,70.8621,740.134,7.0451,0.138,0.0257,0.0041,0.9774
6,795.642,50,2,143.4641,1516.1683,37.6354,0.7577,0.2838,26.8435,11.6737
7,125.6615,7,0,21.9723,249.5062,3.1907,0.0689,0.0388,0.007,1.823
8,45.2212,2,0,8.4414,100.2896,0.4335,0.0131,0.0088,0.0019,0.4348
9,112.4953,6,0,21.8646,213.9807,2.7864,0.0635,0.0627,0.009,1.4908
10,29.4542,1,0,5.5981,62.1912,0.6109,0.0079,0.0062,0.001,0.241
11,33.2143,1,0,5.3548,64.6426,0.6445,0.0064,0.0064,0.0008,0.194
12,125.5078,7,0,20.9613,247.6928,3.3212,0.0985,0.0445,0.0077,1.762
13,41.19,1,0,8.1008,67.9776,0.6271,0.0065,0.0071,0.0009,0.2164
14,395.0886,24,0,77.1902,774.2127,11.3241,0.4856,0.1507,0.0287,5.7718
15,1320.6944,83,4,265.5712,2369.2274,54.5941,1.4849,0.4933,45.168,19.7328
16,861.8134,54,1,166.7459,1623.8286,34.9992,0.8541,0.4573,12.1858,12.5016
17,1418.121,89,4,274.8424,2826.411,44.691,1.4931,0.5533,47.5958,23.9643
18,90.472,5,0,17.8569,186.437,1.9687,0.0682,0.0299,0.0054,1.2201
19,41.1481,1,0,8.2328,63.2256,0.617,0.0109,0.0068,0.0008,0.2183
20,21.5048,1,0,5.7275,53.9272,0.2925,0.0054,0.0054,0.0011,0.1983
21,670.2565,42,2,130.8359,1259.5763,30.8519,0.6288,0.2534,23.1084,10.4258
22,191.6836,11,0,35.5447,362.2271,5.1928,0.1387,0.0834,0.0118,2.8228
23,579.4876,36,2,118.8219,1082.3629,22.7845,0.6557,0.22,27.3976,8.3195
24,223.9871,13,1,38.6572,440.7664,5.175,0.2205,0.0766,14.1717,3.2801
25,120.476,7,0,22.3079,253.538,2.6091,0.2064,0.0404,0.0077,1.5857
26,32.8436,1,0,5.6399,74.4906,0.5718,0.0106,0.0065,0.0008,0.3163
27,32.7492,1,0,6.2248,71.5076,0.5812,0.011,0.0062,0.0012,0.2346
28,62.3333,3,0,10.9214,128.2078,1.5648,0.0339,0.0182,0.0035,0.6571
29,170.9894,10,0,33.8953,342.612,3.667,0.1044,0.0596,0.0108,2.2341
30,29.2659,1,0,5.4231,66.0748,0.4322,0.0073,0.006,0.0008,0.2215
31,111.9144,6,0,19.9233,217.4169,2.5733,0.0847,0.0404,0.0067,1.3688
32,125.1334,7,0,23.6467,252.6495,2.7804,0.0935,0.042,0.0066,2.1678
33,39.3532,1,0,8.0299,65.56,0.4724,0.0071,0.0076,0.0011,0.4255
34,22.3514,1,0,5.3774,54.5584,0.3275,0.0064,0.0063,0.001,0.2336
35,91.6394,5,0,16.7251,194.5048,2.3806,0.0982,0.0522,0.0049,1.0559
36,32.6921,1,0,6.2494,60.551,0.6737,0.0063,0.0054,0.001,0.2168
37,92.0554,4,0,19.3651,189.7504,1.608,0.0383,0.0235,0.0049,0.9955
38,50.5937,2,0,9.8592,96.4032,1.0313,0.0245,0.014,0.003,0.3884
39,56.9425,3,0,10.8646,120.7826,1.5264,0.0326,0.0188,0.0033,0.8796
40,34.1857,1,0,5.6553,57.3434,0.6378,0.006,0.0054,0.0008,0.2232
41,95.824,5,0,16.8922,193.2706,2.456,0.1144,0.0271,0.0051,1.1655
42,28.308,1,0,5.8488,66.8796,0.8989,0.0242,0.0073,0.001,0.2676
43,33.6945,1,0,5.6591,64.9148,0.4985,0.0065,0.006,0.0011,0.1917
44,27.6249,1,0,8.1337,56.8565,0.4766,0.006,0.0045,0.001,0.19
45,96.5124,5,0,16.4234,174.4808,1.6421,0.0468,0.0277,0.0047,0.8422
46,46.2743,2,1,8.4007,69.1207,0.9693,0.018,0.0128,11.1385,0.3592
47,33.0357,1,0,5.5855,59.8184,0.5847,0.0088,0.0066,0.0011,0.1962
48,28.8018,1,0,5.4275,62.217,0.3831,0.0125,0.0075,0.0014,0.2477
49,36.2285,1,0,8.3275,63.8782,0.4765,0.0066,0.0061,0.0009,0.2524
50,1280.3908,81,3,230.8126,2350.4974,39.3604,1.3437,0.4682,39.1545,18.8117
51,96.3149,5,0,15.3654,187.7966,1.9089,0.0477,0.0293,0.0052,1.0947
52,108.5271,6,0,18.6627,208.6149,2.9976,0.0808,0.0359,0.0059,1.2345
53,2009.2947,127,7,373.1297,3376.8029,68.4893,1.8813,0.7297,81.7025,29.8234
54,118.4505,7,0,26.5393,206.7685,3.9811,0.0864,0.0402,0.0069,1.837
55,46141.4292,2,0,155.9611,1472.1751,1.1954,0.016,0.0115,0.0017,0.5013
56,295.8132,7,1,67.5048,696.9985,4.0704,0.0904,0.045,13.9192,1.197
57,62.4202,3,0,15.1268,113.8875,1.261,0.0333,0.0177,0.0039,0.7328
58,39.897,1,0,5.8178,63.9714,0.5092,0.0052,0.0064,0.0012,0.2071
59,1325.123,84,0,268.4521,2498.8324,76.6398,1.3917,0.4963,0.0961,20.6535
60,112.5075,4,0,21.2177,210.567,1.3499,0.0712,0.0199,0.0039,0.9815
61,35.6517,2,0,12.366,82.2034,1.5678,0.0554,0.0125,0.0032,0.7279
62,63.6407,3,0,17.2072,118.8116,2.2145,0.1316,0.018,0.0036,0.8233
63,31.0622,1,0,6.7337,62.9074,0.4142,0.0104,0.0052,0.0013,0.5114
64,28.1905,1,0,6.1586,68.0302,0.5906,0.0058,0.0045,0.0008,0.1654
65,33.8171,1,0,6.3879,65.6394,0.4932,0.0391,0.0064,0.0009,0.4231
66,32.9917,1,0,6.2379,66.1446,0.5573,0.0067,0.0067,0.0009,0.2592
67,91.365,5,0,18.4844,183.429,1.637,0.0478,0.0259,0.0053,0.9986
68,33.3065,1,0,6.1876,66.1386,0.3111,0.0678,0.0066,0.0015,0.2032
69,45.6755,2,0,9.5866,96.4154,0.6741,0.0205,0.0126,0.0017,0.5048
70,45.5802,2,0,8.976,81.5437,0.3969,0.0177,0.0107,0.0022,0.4058
71,41.1482,1,0,9.2683,66.1648,0.4944,0.0065,0.0059,0.0011,0.1959
72,21.7499,1,0,6.6638,59.3708,0.4459,0.0059,0.0056,0.0009,0.239
73,103.5075,5,0,24.031,192.9632,2.1674,0.0493,0.0326,0.0049,1.7865
74,25.4279,1,0,6.8148,60.6412,0.5861,0.0605,0.0062,0.0007,0.3415
75,32.9943,1,0,9.3697,63.0588,0.5591,0.0086,0.0072,0.0009,0.2503
76,27.819,1,0,6.7433,60.0746,1.5633,0.0079,0.0051,0.0006,0.2038
77,64.2687,3,0,17.2293,118.2765,1.3829,0.0286,0.0186,0.0033,0.6397
78,43.998,2,0,10.0296,83.8494,0.4884,0.0138,0.0103,0.0016,0.4717
79,33.7637,1,0,6.6522,63.7204,0.5964,0.0545,0.0076,0.0013,0.2226
80,47.0239,2,0,11.2921,93.8577,0.825,0.0169,0.0124,0.0023,0.5357
81,105.6643,6,0,27.3507,197.8285,3.1986,0.0833,0.0383,0.0058,1.3456
82,45.6724,2,0,8.5566,87.6104,0.527,0.0227,0.0119,0.0018,0.4291
83,33.4681,1,0,6.5343,63.2922,0.4541,0.0087,0.0074,0.001,0.193
84,79.3336,4,0,16.3744,161.0706,2.0629,0.0349,0.0219,0.0041,0.831
85,29.6826,1,0,6.6116,66.001,0.349,0.01,0.0058,0.0012,0.2715
86,31.8713,1,0,6.2382,61.2413,0.7787,0.0066,0.0047,0.0009,0.254
87,80.0942,4,0,18.3721,153.8344,1.496,0.0365,0.0205,0.0043,0.7823
88,46.4788,2,0,10.0347,97.101,0.5453,0.0145,0.0088,0.0019,0.4137
89,69.6084,3,0,19.0566,105.8821,4.8049,0.0302,0.0166,0.0031,0.7942
90,24.4264,1,0,8.0812,49.4616,4.59,0.0085,0.0042,0.0008,0.2076
91,32.8711,1,0,9.1069,49.7306,0.2907,0.0061,0.0047,0.0015,0.1965
92,75.4329,4,0,17.737,151.411,1.4014,0.0425,0.0217,0.0042,0.8697
93,33.6049,1,0,6.2817,66.5712,0.6878,0.0069,0.0059,0.0011,0.3058
94,28.9664,1,0,6.5346,68.1404,0.5167,0.01,0.0053,0.0011,0.2534
95,32.5381,1,0,6.6255,57.1644,0.4502,0.0107,0.0058,0.0007,0.1954
96,30.2736,1,0,6.6632,66.8318,0.4603,0.0065,0.007,0.001,0.204
97,32.8238,1,0,7.2231,58.8722,1.2466,0.0056,0.0049,0.0011,0.3793
98,153.4513,9,0,31.0245,309.9024,3.0061,0.0977,0.0555,0.0101,2.1479
99,303.0841,18,1,66.1702,522.396,9.0508,0.2164,0.1016,14.5953,3.6742
100,262.3196,16,1,53.1598,502.5089,9.8118,0.2597,0.0896,11.034,3.9694
101,96.9902,5,0,20.1468,183.9488,1.8565,0.0471,0.0276,0.0049,1.2696
102,29.112,1,0,9.3489,48.7506,0.9086,0.006,0.0059,0.0009,0.1952
103,156.9443,9,0,32.1235,310.3306,3.0799,0.0968,0.0527,0.0098,2.1778
104,33.5956,1,0,6.408,64.7276,0.3931,0.0072,0.0043,0.0008,0.167
105,28.7516,1,0,6.2428,58.1472,0.2928,0.005,0.0047,0.001,0.6219
106,112.7289,6,0,22.5652,218.6924,2.0888,0.0529,0.0328,0.0056,1.1962
107,33.2358,1,0,6.6741,65.8116,0.5304,0.0094,0.005,0.0008,0.1997
108,29.4873,1,0,7.4032,59.6918,0.4599,0.0062,0.0054,0.0007,0.2123
109,2012.1753,128,7,418.0569,3895.8685,59.3623,1.7494,0.7471,79.2673,26.1142
110,1653.6808,104,6,345.0181,3195.2509,41.4286,1.394,0.614,68.6251,19.1968
111,136.7171,8,0,28.6773,291.1241,2.4293,0.1797,0.0465,0.0096,2.0767
112,33.947,1,0,6.6852,69.7298,0.5338,0.0071,0.0078,0.0009,0.2661
113,62.4842,3,0,12.8803,144.3712,1.8182,0.0375,0.0189,0.0031,0.7887
114,78.8552,4,0,17.0754,160.8662,1.6798,0.0642,0.0254,0.0043,0.8691
115,64.9088,3,0,11.7341,125.0878,1.1441,0.0569,0.0177,0.0033,0.7716
116,342.6857,21,1,66.7546,704.9862,15.4443,0.2623,0.1298,11.2601,5.2705
117,140.3774,8,0,28.5216,318.4189,2.8555,0.2647,0.0486,0.0088,2.7054
118,47.7808,2,0,11.7721,97.9507,0.7815,0.0217,0.0135,0.0018,0.4245
119,93.794,5,0,16.6497,219.6366,2.4667,0.0586,0.031,0.0064,1.263
120,124.9547,7,0,23.2909,256.565,3.0619,0.0766,0.0448,0.007,1.7718
121,28.5055,1,0,6.6716,68.0454,0.4443,0.0165,0.006,0.0011,0.2011
122,210.1165,12,0,36.9623,413.0731,4.1225,0.2487,0.0685,0.0132,3.0805
123,889.6621,56,3,180.2902,1688.9489,22.0241,0.7713,0.3247,34.1922,13.6956
124,319.9195,18,1,56.862,614.7179,7.0885,0.2563,0.1024,11.2042,4.7917
125,218.768,12,0,42.6955,436.2403,5.5692,0.1777,0.0789,0.0148,3.2527
126,94.5786,5,0,20.074,188.7008,2.477,0.0928,0.0293,0.0048,1.0318
127,154.3729,9,0,30.8538,311.0564,3.9248,0.126,0.0531,0.0103,2.5877
128,33.7539,1,0,5.872,67.0026,0.771,0.012,0.0061,0.0009,0.2567
129,32.2886,1,0,5.8616,65.2398,0.5539,0.0083,0.0063,0.0012,0.2178
130,74.3973,4,0,14.2017,162.0051,1.9225,0.0371,0.0222,0.0041,0.911
131,33.6765,1,0,5.6888,59.0128,0.5635,0.0068,0.0068,0.0012,0.4393
132,30.3362,1,0,5.4159,65.0934,0.4651,0.0097,0.0046,0.0016,0.2302
133,32.7073,1,0,5.3582,61.5286,0.5803,0.0062,0.0042,0.0009,0.1959
134,33.2157,1,0,6.1551,63.9681,0.616,0.0077,0.0063,0.0011,0.2038
135,92.5815,5,0,19.0816,182.4909,2.5482,0.1557,0.0314,0.0062,1.3004
136,46.1055,2,0,12.2422,92.8117,1.8735,0.0355,0.0136,0.0023,0.5168
137,30.3985,1,0,5.3166,63.6554,0.5254,0.0073,0.0072,0.001,0.6183
138,51.2443,2,0,9.5076,99.9012,0.8772,0.0192,0.0136,0.0026,0.4452
139,41.0025,2,0,8.6766,91.2878,1.4812,0.0338,0.013,0.0027,0.6197
140,50.9362,2,0,10.3722,89.2201,1.1742,0.0197,0.012,0.0022,0.4618
141,43.4101,2,0,10.1802,84.1986,5.0057,0.0564,0.0109,0.0027,0.4417
142,64.2368,3,0,12.8145,132.8496,1.5653,0.0309,0.0193,0.0035,0.8327
143,78.0388,4,0,15.4613,160.087,1.0144,0.0399,0.0239,0.004,0.8066
144,56.13,2,0,10.8741,98.9824,1.4636,0.0183,0.0125,0.0021,0.6108
145,21.9101,1,0,6.3227,51.1086,1.3173,0.0061,0.005,0.0008,0.2735
146,95.7732,5,0,18.7171,197.2028,2.2026,0.0595,0.0304,0.0048,1.2999
147,45.7799,2,0,8.5949,102.3803,0.7987,0.0202,0.0103,0.0025,0.5837
148,30.5637,1,0,8.8457,57.3697,0.68,0.0063,0.0055,0.0009,0.1875
149,188.5056,11,0,34.2287,374.5949,5.3292,0.2117,0.0665,0.0121,3.1933
150,142.3021,8,0,26.5312,281.5882,3.1832,0.1132,0.0464,0.0075,1.8144
151,2009.155,128,8,374.4546,3815.6205,65.3906,1.6977,0.7757,93.7099,25.458
152,1711.0821,108,6,306.2354,3375.4905,39.6061,1.4081,0.7036,69.6183,18.1929
153,62.8843,3,0,11.7712,123.7474,0.9851,0.0273,0.0159,0.0031,0.7084
154,44.5296,2,0,8.4669,94.4387,0.6746,0.0214,0.0124,0.0024,0.4604
155,125.856,7,0,23.2906,258.5822,2.6409,0.1316,0.0401,0.0078,2.3652
156,33.3056,1,0,7.1562,67.8536,0.6461,0.0544,0.005,0.0008,0.1893
157,28.0795,1,0,5.8706,59.6136,1.1148,0.0104,0.0073,0.0012,0.3076
158,61.5983,3,0,11.7722,125.9984,2.0933,0.0552,0.0204,0.0034,0.7157
159,30.2481,1,0,5.6281,54.4658,0.4929,0.0052,0.0046,0.0008,0.2483
160,78.4545,4,0,14.2301,153.7878,1.8497,0.0374,0.0215,0.004,0.8565
161,95.5689,2,0,16.9549,189.2737,1.1298,0.0153,0.0119,0.002,0.5839
162,28.9578,1,0,6.0786,59.7782,0.5584,0.0064,0.0062,0.001,0.232
163,79.2782,4,0,14.6902,151.9893,1.9781,0.0418,0.024,0.0046,0.9396
164,29.1843,1,0,5.5494,65.8038,0.295,0.0055,0.0044,0.0011,0.2161
165,79.4744,4,0,14.6661,157.2056,1.5623,0.0282,0.0209,0.0042,1.2445
166,32.7484,1,0,5.9385,61.1678,0.3691,0.0059,0.0058,0.0011,0.2049
167,28.8147,1,0,5.912,58.331,0.6325,0.0066,0.0061,0.0009,0.2147
168,33.314,1,0,6.0382,66.7944,0.5967,0.0097,0.006,0.001,0.2313
169,29.5137,1,0,6.6129,60.241,0.5386,0.0121,0.0063,0.0013,0.2561
170,32.9076,1,0,5.7236,64.5414,0.6493,0.0193,0.0061,0.0009,0.2005
171,29.2372,1,0,5.9144,66.3724,0.6275,0.0375,0.007,0.0009,0.1979
172,49.5495,2,0,9.2351,94.816,0.8329,0.0158,0.0094,0.0016,0.3617
173,109.1751,6,0,19.6896,221.235,1.6366,0.0534,0.0345,0.0064,1.1552
174,32.6125,1,0,5.7413,60.807,0.5047,0.0062,0.0068,0.0009,0.2135
175,44.9743,2,0,7.9525,90.3955,0.7628,0.0308,0.0113,0.0017,0.4168
176,108.3338,6,0,19.7996,226.3038,2.3621,0.0784,0.0328,0.0056,1.3069
177,33.5902,1,0,5.381,56.2384,0.5643,0.0068,0.0058,0.0009,0.2024
178,29.0594,1,0,5.6821,61.8016,0.4169,0.0081,0.0048,0.0009,0.2069
179,124.3169,7,0,21.6589,250.4046,3.7703,0.091,0.0388,0.0077,1.593
180,33.513,1,0,5.4788,60.1712,0.5844,0.0061,0.006,0.0009,0.19
181,30.2872,1,0,7.5244,62.1424,0.6687,0.0061,0.0061,0.0009,0.2021
182,48.4631,1,0,8.8033,79.7288,0.5807,0.0218,0.007,0.0008,0.2102
183,45.7702,2,0,8.7848,98.4834,1.308,0.0142,0.0103,0.0019,0.392
184,141.0978,3,0,25.066,271.7465,0.8695,0.0328,0.0162,0.0031,0.614
185,91.4513,5,0,16.5808,190.1192,1.8947,0.0477,0.0305,0.0069,1.1075
186,33.4935,1,0,6.2836,61.4296,0.6037,0.0087,0.0069,0.0012,0.214
187,28.7764,1,0,5.5502,63.1532,0.5677,0.0063,0.0063,0.001,0.2303
188,96.1924,5,0,16.5975,185.7323,2.0624,0.0516,0.0291,0.0051,1.0257
189,33.2903,1,0,5.5363,64.6696,0.7693,0.0065,0.006,0.0009,0.2949
