hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,32.9306,2,60.7338,8.4731,14.3957,0.661,0.0158,0.0076,0.1407,0.6403
2,94.3367,6,63.602,2.5621,10.6101,0.1978,0.0113,0.0052,0.0018,0.2109
3,345.8598,22,63.6096,2.8079,8.1034,0.4314,0.0112,0.0055,0.0016,0.2519
4,607.5902,38,62.5422,2.4893,8.1451,0.3521,0.0112,0.0058,0.0015,0.2418
5,189.2229,13,68.702,2.4602,5.8388,0.1061,0.0086,0.0045,0.0018,0.2543
6,440.9293,27,61.2343,2.7271,5.6443,0.5365,0.1252,0.0053,0.0267,1.001
7,228.3825,15,65.6793,2.8424,10.0432,0.2824,0.0106,0.005,0.0016,0.2382
8,483.0286,31,64.1784,2.4808,7.5504,0.6129,0.0112,0.0054,0.0014,0.215
9,102.0931,7,68.5649,2.436,6.503,0.2264,0.01,0.0053,0.0013,0.2112
10,183.8276,12,65.2786,2.7182,10.1372,0.1555,0.0109,0.0051,0.0016,0.2979
11,500.123,32,63.9843,2.6958,9.5578,0.1642,0.0137,0.0064,0.0014,0.2516
12,90.1143,7,77.6791,2.6595,10.5005,0.2384,0.0113,0.005,0.0012,0.2245
13,90.2814,6,66.4589,2.595,9.002,0.3856,0.0122,0.0086,0.0009,0.2255
14,202.0419,13,64.3431,2.4625,6.9475,0.2533,0.0122,0.0057,0.0022,0.2474
15,198.4459,13,65.509,2.702,9.8819,0.2125,0.0135,0.0068,0.0011,0.3391
16,61.1573,4,65.4051,2.5542,10.5304,0.2123,0.0108,0.0053,0.0009,0.2202
17,323.508,20,61.8223,2.7763,10.9788,0.17,0.014,0.0058,0.0017,0.2238
18,102.0526,7,68.5921,2.6191,10.0607,0.1388,0.0103,0.0057,0.001,0.2881
19,261.8651,17,64.9189,2.6091,6.5564,0.4176,0.011,0.0049,0.0011,0.2008
20,123.3009,8,64.8819,2.4045,10.0025,0.6634,0.0117,0.0309,0.0014,0.2775
21,105.6346,7,66.2662,2.2735,10.8802,0.1572,0.0103,0.0062,0.0013,0.2327
22,11.1527,1,89.6644,0.0,0.0,0.2221,0.004,0.0045,0.0,0.0
23,86.0104,6,69.759,2.6513,10.7545,0.1045,0.0118,0.0044,0.0011,0.2306
24,120.6654,8,66.299,2.4729,11.2989,0.1403,0.0105,0.0054,0.0013,0.262
25,11.0504,1,90.4945,0.0,0.0,0.207,0.0056,0.0048,0.0,0.0
26,277.8769,18,64.7769,2.2955,9.3867,0.1436,0.0105,0.005,0.0017,0.2494
27,527.6377,34,64.4382,2.5164,10.9864,0.2698,0.0099,0.0061,0.0018,0.2617
28,98.5728,7,71.0135,2.7458,11.1321,0.1296,0.0099,0.0057,0.0014,0.265
29,87.8539,6,68.2952,2.5213,10.519,0.8127,0.0109,0.0059,0.0011,0.1971
30,229.4622,15,65.3702,2.3208,11.5017,0.481,0.0119,0.0047,0.0015,0.2581
31,202.6112,13,64.1623,2.4794,7.066,0.2151,0.0107,0.0049,0.0032,0.2341
32,23.1438,2,86.4162,2.4726,9.4074,0.1024,0.0086,0.0041,0.0014,0.3029
33,11.1778,1,89.463,0.0,0.0,0.6294,0.0071,0.005,0.0,0.0
34,106.3774,7,65.8035,2.3984,10.8667,0.3536,0.0093,0.005,0.0009,0.211
35,10.8763,1,91.943,0.0,0.0,0.1832,0.0031,0.0044,0.0,0.0
36,11.0151,1,90.7845,0.0,0.0,0.2243,0.0757,0.0052,0.0,0.0
37,265.0821,15,56.5862,2.4059,9.9695,0.1643,0.0112,0.0058,0.0018,0.2007
38,243.4178,16,65.7306,2.3515,6.3446,0.1377,0.0097,0.0049,0.0016,0.2186
39,164.6546,11,66.8065,2.3935,10.0529,0.1459,0.0095,0.0048,0.0015,0.2196
40,430.7763,28,64.9989,2.4521,7.3866,0.102,0.009,0.0046,0.0015,0.1941
41,95.2954,6,62.9621,2.5073,7.3515,0.3568,0.0099,0.0051,0.001,0.233
42,102.3656,7,68.3823,2.2995,7.0726,0.1687,0.0101,0.0056,0.001,0.1806
43,352.4642,23,65.2549,2.4588,10.0388,0.1341,0.0371,0.005,0.0015,0.2157
44,119.1895,8,67.12,2.2507,7.3001,0.1425,0.0097,0.0048,0.0013,0.1924
45,201.7541,13,64.4349,2.3773,7.3955,0.4385,0.0143,0.0062,0.0018,0.2508
46,186.1991,11,59.0765,2.4464,6.8584,0.1392,0.0114,0.0051,0.0018,0.2058
