life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,297.9143,1,0,46.1835,453.4152,0.395,0.0116,0.0135,0.0039,0.2885
2,116.1453,6,0,24.9226,228.9102,2.9765,0.0832,0.0427,0.0103,1.4595
3,23.0924,1,0,6.9609,55.4124,0.6399,0.0073,0.0065,0.0025,0.2181
4,78.1178,3,0,16.687,161.4528,1.3175,0.0292,0.0155,0.0044,0.6283
5,75.5726,4,0,19.6195,152.367,1.9015,0.0645,0.0267,0.0064,0.9973
6,39.6862,1,0,9.8543,65.5342,0.4248,0.0228,0.007,0.0014,0.2175
7,196.9629,12,1,46.6567,334.1374,7.8737,0.2442,0.0709,15.8027,3.0866
8,1097.0219,67,3,232.5817,2080.241,33.1983,0.9576,0.3723,36.0782,15.5358
9,287.3351,7,0,43.6671,367.7706,2.1621,0.0781,0.0633,0.0099,2.0131
10,265.3302,17,1,60.194,485.0024,6.9523,0.2663,0.0915,13.7898,3.7034
11,49.6388,2,0,11.0122,91.4734,0.8554,0.0172,0.0111,0.0032,0.3999
12,45.6064,1,0,9.5882,90.451,0.3267,0.0055,0.0051,0.0013,0.2094
13,79.1493,4,0,17.0145,156.2356,2.4133,0.0381,0.0909,0.0054,1.1178
14,92.6079,4,0,20.6089,193.9664,1.6875,0.6098,0.0244,0.0059,1.1312
15,33.1366,1,0,6.7401,59.1798,0.5745,0.0389,0.006,0.0016,0.2156
16,724.633,45,2,159.3587,1263.9239,22.6552,0.7046,0.2582,22.3657,10.6132
17,1195.2082,75,4,271.0471,2081.8228,43.32,1.3783,0.4272,45.6972,17.9884
18,174.1364,10,0,37.03,353.4194,3.2251,0.1193,0.0596,0.0146,2.502
19,45.6559,2,0,9.5602,89.7811,0.6568,0.0186,0.0094,0.0022,0.4292
20,33.7855,1,1,7.2435,56.0894,0.4133,0.0055,0.0047,11.1627,0.3412
21,137.3722,8,0,31.1164,252.6473,10.1992,0.1069,0.0448,0.0111,1.7791
