life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,568.3721,35,2,92.7526,347.1641,7.8634,0.6937,0.2099,27.0205,8.3691
2,75.1647,4,0,13.2612,44.4329,1.2534,0.0398,0.0206,0.0056,0.9622
3,95.6551,5,0,15.4818,55.7064,1.7036,0.0519,0.0291,0.0073,1.3397
4,33.0085,1,0,5.1363,18.8563,0.3608,0.0058,0.0062,0.0012,0.2271
5,1296.2774,28,2,256.4623,854.7384,5.7252,0.3104,0.1601,22.4282,7.8214
6,66.9072,3,0,11.3895,39.3587,1.0264,0.0301,0.0159,0.0042,0.5879
7,50.3261,2,0,9.9865,24.7312,0.7168,0.028,0.0113,0.0024,0.5881
8,198.9257,12,1,42.2422,142.8482,3.1627,0.1706,0.0719,11.3552,3.5288
9,674.4416,13,1,138.042,407.5792,3.3106,0.2229,0.0777,11.4005,3.224
10,109.0809,5,0,22.6167,71.497,1.1267,0.0459,0.0276,0.0072,0.9954
11,33.5537,1,0,6.2152,21.2635,0.3956,0.006,0.0057,0.0013,0.1982
12,109.0451,6,0,23.6867,70.5752,1.4529,0.1236,0.0365,0.0084,1.2528
13,61.7553,3,0,13.1704,44.2446,0.8692,0.027,0.0192,0.0037,0.7375
14,187.5677,11,1,36.6485,118.1556,2.4259,0.11,0.0594,15.2567,2.9142
15,62.5111,3,0,12.9641,41.0936,0.7151,0.0578,0.016,0.0041,0.7531
16,31.9324,1,0,5.8182,17.4691,0.2412,0.0046,0.0044,0.0012,0.2862
17,295.5153,16,1,59.2549,194.1145,3.3154,0.2186,0.0866,11.2328,3.6121
18,63.3208,3,0,12.9324,39.6635,0.5364,0.025,0.0137,0.0042,0.578
19,29.1763,1,0,6.6894,21.3258,0.4451,0.0057,0.0049,0.0014,0.2277
20,99.2915,5,0,18.2644,60.9528,1.1597,0.1006,0.027,0.0069,1.1268
21,153.8442,9,1,29.9994,94.025,1.9405,0.0808,0.0451,11.3331,2.0075
22,66.6985,3,0,12.0357,38.5489,1.0738,0.0256,0.0152,0.0046,0.6126
23,153.9837,9,0,30.3193,103.5167,1.634,0.0836,0.0445,0.0119,2.4361
24,424.9638,26,2,83.9696,272.3843,5.1337,0.276,0.1403,22.4241,6.0534
25,249.2252,15,1,46.757,167.4318,4.0169,0.1452,0.0777,11.2352,3.752
26,67.0634,3,0,11.3363,39.2218,0.591,0.025,0.0156,0.004,0.7719
27,41.2308,2,0,8.5321,25.5139,0.4868,0.0133,0.0104,0.0023,0.5849
28,96.2564,5,0,17.3387,68.721,1.2627,0.0434,0.0259,0.0074,1.1295
29,32.6661,1,0,5.7136,17.4923,0.3153,0.006,0.006,0.0014,0.292
30,170.9542,10,1,31.8239,100.7585,2.1152,0.1735,0.0538,11.4205,2.281
31,79.8182,4,0,15.2517,45.5611,1.5563,0.0823,0.0204,0.0054,0.9254
32,207.9959,11,1,37.4362,136.3016,3.0401,0.1164,0.061,10.9962,2.5573
33,557.5669,2,0,104.1553,330.6372,0.6194,0.0147,0.0106,0.0026,0.4235
34,50.5091,2,0,8.3245,22.8332,0.3259,0.0134,0.0102,0.003,0.5253
35,458.4341,28,2,85.4174,288.7995,5.7242,0.4818,0.1441,22.5505,6.5962
36,261.801,16,1,52.0363,168.5844,3.5696,0.2103,0.0866,11.5469,3.6535
37,249.5139,15,1,47.1816,161.9963,4.1923,0.1592,0.0786,11.3326,2.8987
38,159.3992,8,0,29.915,99.1128,2.3837,0.0792,0.043,0.01,1.7193
