hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,237.9721,15,63.0326,2.4689,10.6321,0.1467,0.0091,0.005,0.001,0.4491
2,496.7077,32,64.4242,2.5948,9.79,0.1578,0.0119,0.006,0.0017,0.2052
3,119.6274,8,66.8743,2.4633,10.5106,0.2523,0.0134,0.0052,0.0012,0.215
4,369.1911,24,65.007,2.4023,7.0162,0.2145,0.0119,0.0045,0.0019,0.2276
5,98.2053,7,71.2792,3.0699,13.5586,0.2366,0.0093,0.0061,0.0016,0.2177
6,152.8113,10,65.4402,2.9829,11.012,0.1438,0.0098,0.0058,0.0014,0.2241
7,109.7859,7,63.7605,2.8646,8.1193,0.1527,0.0106,0.0047,0.0014,0.1733
8,198.7304,12,60.3833,3.1055,11.2817,0.3555,0.009,0.005,0.0015,0.2153
9,86.5443,6,69.3287,3.0466,9.7304,0.4446,0.0107,0.005,0.0015,0.2287
10,74.0947,5,67.4812,3.2077,8.1677,0.1484,0.0096,0.0055,0.0012,0.3603
11,339.6441,22,64.7737,2.8431,10.3885,0.1755,0.0107,0.0052,0.0017,0.2162
12,169.2263,11,65.0017,2.626,7.5932,0.1921,0.0117,0.0053,0.0017,0.2013
13,90.6194,6,66.211,2.914,9.5221,0.1172,0.0085,0.0044,0.0014,0.2123
14,101.562,7,68.9234,2.772,9.8336,0.1981,0.0109,0.005,0.0013,0.2299
15,106.7211,7,65.5915,2.8062,11.5824,0.1423,0.0879,0.004,0.0008,0.2046
16,373.8117,24,64.2034,2.628,7.6359,0.2185,0.0104,0.005,0.0015,0.2553
17,165.9385,11,66.2896,3.0311,10.6608,0.2465,0.0128,0.0054,0.002,0.2562
18,169.698,11,64.821,2.9742,11.8261,0.122,0.008,0.0047,0.0013,0.2013
19,11.4092,1,87.6486,0.0,0.0,0.2945,0.0076,0.0064,0.0,0.0
20,85.5812,6,70.1089,2.8027,13.5012,0.3216,0.0084,0.0035,0.0006,0.3203
21,340.4167,21,61.6891,3.0897,9.9346,0.1237,0.0102,0.0056,0.0011,0.201
22,607.0477,36,59.3034,2.9876,7.8291,0.1323,0.01,0.0053,0.0017,0.1923
23,194.4782,12,61.7036,2.6586,11.2893,0.107,0.0073,0.0043,0.0009,0.2415
24,232.3399,14,60.2565,2.9215,7.9752,0.1411,0.0091,0.0053,0.0019,0.1909
25,114.5803,8,69.82,2.712,10.1206,0.099,0.0071,0.0044,0.0016,0.2209
26,244.0442,16,65.5619,2.8964,7.3176,0.1732,0.0104,0.0056,0.0015,0.2254
27,527.9726,34,64.3973,2.7132,7.7364,0.1396,0.01,0.0048,0.0017,0.2053
28,91.5597,6,65.531,2.9852,7.8594,0.3923,0.0094,0.0063,0.0012,0.179
29,102.6578,7,68.1877,2.8934,7.3392,0.1359,0.0095,0.0048,0.0013,0.2034
30,90.2713,6,66.4663,2.8675,10.3627,0.1941,0.0115,0.0056,0.0012,0.1934
31,103.0485,7,67.9292,2.7298,10.5677,0.1373,0.0092,0.0052,0.0014,0.2197
32,152.5304,10,65.5607,2.8251,9.7071,0.1999,0.0108,0.005,0.0014,0.1282
33,106.5964,7,65.6683,2.6777,9.0533,0.4742,0.0095,0.0046,0.0018,0.2287
34,181.936,12,65.9573,2.5874,6.308,0.2015,0.009,0.0049,0.0012,0.1857
35,199.2507,11,55.2068,3.2712,11.0941,0.1324,0.0095,0.0056,0.0015,0.2283
36,11.0368,1,90.606,0.0,0.0,0.4865,0.0053,0.0045,0.0,0.0
37,73.0472,5,68.4489,2.7581,9.139,0.1125,0.008,0.0041,0.0014,0.2293
38,11.3712,1,87.9415,0.0,0.0,0.2579,0.0044,0.0044,0.0,0.0
39,173.9441,11,63.2387,2.79,8.4481,0.1662,0.0113,0.0062,0.0022,0.2587
40,31.6976,2,63.0963,2.727,11.0825,0.2212,0.0117,0.0058,0.0013,0.2114
41,122.8749,8,65.1069,3.0053,7.746,0.1515,0.0103,0.0049,0.0017,0.2055
42,388.9722,24,61.7011,2.7527,7.3422,0.1329,0.0103,0.0049,0.0021,0.2791
43,218.9004,13,59.3877,2.6126,11.6605,0.1102,0.0084,0.0044,0.0012,0.2954
44,211.474,14,66.202,2.5686,11.6222,0.1448,0.0098,0.0051,0.0019,0.373
45,185.351,12,64.742,2.8854,12.2331,0.2613,0.0082,0.0047,0.0014,0.1871
46,194.5576,13,66.8183,3.1695,12.4485,0.163,0.0095,0.0063,0.0012,0.2164
47,153.9888,10,64.9398,2.8022,11.2882,0.1072,0.009,0.0046,0.0012,0.2172
48,420.367,27,64.2296,2.4941,7.5569,0.568,0.0093,0.0057,0.002,0.2181
