metric,mean,median,p95,p99,max,min
lock_to_click_ms,70.2049,57.6003,182.3671,197.904,201.7882,11.0477
fps,73.6035,69.4441,89.8955,90.3924,90.5166,60.6126
grab_ms,1.6108,2.3808,2.8993,2.9298,2.9374,0.0
yolo_ms,6.432,7.5173,12.3539,12.7085,12.7972,0.0
select_ms,0.2899,0.1909,0.5083,0.5255,0.5298,0.1475
mouse_ms,0.0093,0.009,0.0134,0.014,0.0142,0.0062
pid_ms,0.0055,0.0056,0.0063,0.0065,0.0065,0.0049
align_click_ms,0.0008,0.001,0.0018,0.002,0.002,0.0
move_ms,0.1422,0.1816,0.3202,0.3935,0.4118,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,5,38.46
25~50,1,7.69
50~100,3,23.08
100~250,4,30.77
250~500,0,0.0
500~1000,0,0.0
>1000,0,0.0
