metric,mean,median,p95,p99,max,min
lock_to_click_ms,209.6001,149.4386,649.9139,904.6516,1024.1254,10.8277
fps,67.6258,65.3432,89.9858,91.576,92.3557,59.6529
grab_ms,2.4443,2.6041,3.0805,3.5819,4.2377,0.0
yolo_ms,9.223,10.2465,13.4923,14.2184,14.4535,0.0
select_ms,0.2359,0.1866,0.4682,0.6239,0.8289,0.0956
mouse_ms,0.011,0.0091,0.0137,0.0524,0.2042,0.0044
pid_ms,0.0052,0.0051,0.0062,0.0072,0.0123,0.0035
align_click_ms,0.0014,0.0014,0.0022,0.0026,0.0077,0.0
move_ms,0.2219,0.2114,0.4221,0.6,0.6825,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,17,8.72
25~50,2,1.03
50~100,31,15.9
100~250,99,50.77
250~500,31,15.9
500~1000,14,7.18
>1000,1,0.51
