metric,mean,median,p95,p99,max,min
lock_to_click_ms,221.615,174.2411,586.5884,812.6954,965.1942,10.8763
fps,68.0302,65.3877,89.9749,91.2363,91.943,56.5862
grab_ms,2.3777,2.4762,2.8407,5.3677,8.4731,0.0
yolo_ms,8.439,9.5289,12.0582,14.7755,15.3695,0.0
select_ms,0.2646,0.2062,0.6594,0.7272,0.8127,0.102
mouse_ms,0.0154,0.0105,0.0369,0.1125,0.1252,0.0031
pid_ms,0.0058,0.0052,0.0068,0.0173,0.0309,0.0041
align_click_ms,0.004,0.0014,0.0022,0.0712,0.1407,0.0
move_ms,0.2357,0.2305,0.3391,0.781,1.001,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,7,11.29
25~50,1,1.61
50~100,11,17.74
100~250,24,38.71
250~500,13,20.97
500~1000,6,9.68
>1000,0,0.0
