life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,8432.5913,1,0,3909.3159,11237.8809,0.7627,0.009,0.0243,0.0133,0.2498
2,41.3848,2,0,8.5294,35.6252,0.6374,0.2795,0.0218,0.0041,0.5605
3,470.4898,2,0,68.7074,210.4152,0.6799,0.0212,0.0162,0.0025,0.4205
4,91.8222,5,0,17.1347,56.2691,1.362,0.0549,0.0269,0.0085,1.2299
5,29.9387,1,0,5.7963,19.7853,0.2504,0.066,0.005,0.0013,0.2175
6,429.0655,26,1,81.7734,260.1618,5.4525,0.3167,0.1427,14.9755,5.591
7,75.2557,4,0,14.3455,52.4037,1.3206,0.0381,0.0217,0.0059,0.9867
8,523.087,30,2,93.5896,339.5,6.626,0.5087,0.1544,23.1129,6.6785
9,63.5683,3,0,11.289,44.9563,0.724,0.1034,0.0169,0.0052,1.0547
10,28.2101,1,0,5.828,23.2159,0.4134,0.0067,0.0071,0.0014,0.334
11,190.5057,9,1,29.9146,103.0167,1.6791,0.0838,0.0465,11.4185,1.8244
12,392.0435,10,0,57.599,196.5919,2.0582,0.1476,0.0508,0.0133,2.7402
13,237.1932,10,0,36.8403,142.7423,2.1325,0.0901,0.0498,0.0133,2.4807
14,63.0832,3,0,9.9738,41.3757,0.5933,0.0255,0.0153,0.0034,0.8601
15,32.9339,1,0,4.5899,18.1209,0.3171,0.006,0.0066,0.0014,0.1945
16,29.3384,1,0,4.855,20.6203,0.3207,0.0052,0.0051,0.0011,0.1978
17,720.1283,45,3,113.8963,434.4874,8.5373,0.6623,0.2398,33.7778,10.174
18,113.5538,5,0,17.4824,73.2218,0.8812,0.0464,0.0267,0.0056,1.4019
19,32.1629,1,0,4.8391,19.5706,0.4228,0.0065,0.0057,0.0015,0.2614
20,575.1418,36,2,104.5142,373.6427,13.0653,0.6838,0.1903,24.0106,8.4022
21,92.0205,4,0,15.074,48.9664,1.4465,0.0404,0.0214,0.0059,0.8549
22,32.5277,1,0,4.9563,17.3634,0.7136,0.0065,0.0047,0.001,0.1771
23,157.6946,9,1,29.2384,97.8748,2.3633,0.0846,0.0495,11.1469,1.8782
24,62.9944,3,0,9.8247,40.0258,0.5097,0.028,0.0184,0.0038,0.8155
25,29.1714,1,0,4.8654,18.4657,0.4396,0.0068,0.0054,0.001,0.2007
26,470.458,29,2,74.5578,293.6738,7.6042,0.2896,0.1564,22.7735,7.4008
27,95.7601,4,0,15.5969,46.0501,1.1448,0.0358,0.0258,0.0061,1.2052
28,29.6381,1,0,4.9621,21.7092,0.2938,0.005,0.0052,0.0012,0.1888
29,753.287,47,3,124.7432,436.2999,17.6274,0.7545,0.2474,33.2642,11.8826
30,61.8826,3,0,9.7118,38.4397,1.1802,0.0299,0.0172,0.0038,0.6177
31,29.0148,1,0,4.9851,17.2895,0.1892,0.0034,0.004,0.0008,0.4331
32,375.5654,23,1,60.4895,201.3818,5.7874,0.3425,0.117,11.9451,5.5768
33,470.3444,29,2,72.7961,252.3154,4.7453,0.3239,0.1454,22.3572,6.486
34,391.9127,24,1,60.8751,215.9551,5.4273,0.286,0.122,11.199,5.7362
35,62.7204,3,0,9.7249,36.3349,1.754,0.0271,0.0163,0.0061,0.6299
36,45.6146,1,1,7.4614,28.4068,0.6741,0.0071,0.0045,11.4499,0.1328
37,1032.4278,1,0,161.067,546.3057,0.4877,0.0075,0.0053,0.001,0.325
38,925.1028,30,2,144.5692,504.3676,6.4463,0.3261,0.1509,22.3421,7.9523
39,75.4492,4,0,12.4915,46.6003,0.7808,0.0329,0.0218,0.0062,0.8674
40,37.2137,1,0,4.9679,14.7856,0.2908,0.0055,0.0051,0.0011,0.2455
41,87.2644,4,0,14.6867,54.6194,0.7263,0.0339,0.0223,0.0052,0.8354
42,396.1762,24,2,62.8253,227.6026,6.0349,0.2755,0.1233,22.7143,4.9958
