life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,1309.7079,2,0,368.6274,1177.5933,1.0038,0.0192,0.0205,0.0121,0.4181
2,1531.3885,1,0,310.5747,1053.5971,0.8962,0.0077,0.0078,0.0014,0.1601
3,79.4387,4,0,16.2401,62.9336,10.643,0.0407,0.0248,0.0059,0.828
4,19.3166,1,0,5.8753,22.6422,8.1611,0.0126,0.0049,0.0018,0.1841
5,122.2935,1,0,22.5686,83.2393,0.2799,0.206,0.0067,0.0011,0.2007
6,86.0083,4,0,19.8406,66.6634,12.6726,0.044,0.0253,0.0059,1.1326
7,236.2874,1,0,51.7609,180.7581,1.3764,0.007,0.0057,0.001,0.1678
8,106.4833,6,0,21.0875,76.9386,4.4148,0.0525,0.0348,0.0074,1.1534
9,526.2015,32,2,112.2264,353.857,26.2411,0.4557,0.1789,28.46,7.0018
10,450.4972,27,1,95.9608,317.6281,33.1243,0.3716,0.1983,11.499,7.9756
11,148.5842,4,0,29.5633,102.1338,2.4991,0.0392,0.023,0.005,0.7964
12,238.039,14,0,55.1178,171.2198,26.8096,0.1631,0.1103,0.0206,3.7753
13,202.2826,10,1,48.5616,150.1958,18.8291,0.1942,0.0618,10.99,2.2034
14,35.1998,1,0,6.3017,27.2655,5.6887,0.0107,0.0056,0.001,0.1865
15,28.0951,1,0,6.4004,26.6138,8.9817,0.0133,0.0078,0.0018,0.2039
16,236.5067,12,1,58.5166,169.4801,14.9323,0.2099,0.0745,11.2753,3.4572
17,30.4918,1,0,6.4591,25.4413,3.5782,0.0077,0.0067,0.0012,0.1836
18,165.1736,1,0,42.266,121.3939,5.0971,0.0102,0.0071,0.0011,0.1803
19,102.429,1,0,20.8548,78.7417,0.4445,0.0065,0.0113,0.0023,0.2072
20,54.7735,3,0,12.0673,53.6544,6.1356,0.033,0.0202,0.0039,0.8839
21,33.1736,1,0,5.856,25.6658,0.4788,0.0087,0.0074,0.0015,0.2586
22,587.7393,33,0,122.15,455.6317,52.4371,0.3993,0.2635,0.0688,8.1533
