hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,94.713,6,63.3493,2.4638,12.0438,0.2045,0.0096,0.0056,0.0019,0.2976
2,340.0706,22,64.6924,2.3544,10.1404,0.109,0.0087,0.0044,0.0018,0.3674
3,611.7043,39,63.7563,2.4755,7.5481,0.2427,0.0353,0.0088,0.0015,0.1167
4,10.5411,1,94.8668,0.0,0.0,0.3724,0.0126,0.0078,0.0,0.0
5,25.3211,2,78.9855,2.3928,10.7947,0.1703,0.0144,0.0055,0.0014,0.2223
6,61.4772,4,65.0648,2.4154,11.7416,0.1769,0.0083,0.0043,0.001,0.4255
7,311.1707,20,64.2734,2.2731,11.0496,0.2045,0.0123,0.0051,0.0016,0.2186
8,10.925,1,91.5332,0.0,0.0,6.3072,0.0147,0.0056,0.0,0.0
9,85.9474,6,69.8101,4.5324,9.5496,0.4021,0.0079,0.0046,0.0012,0.3311
10,198.9085,13,65.3567,2.6025,10.2208,0.1007,0.0069,0.0036,0.0019,0.1129
11,11.0867,1,90.1982,0.0,0.0,0.3788,0.0065,0.0041,0.0,0.0
12,125.1327,8,63.9321,2.3825,8.0697,0.474,0.0101,0.0061,0.0012,0.1705
13,11.3412,1,88.1741,0.0,0.0,0.3318,0.0068,0.0045,0.0,0.0
14,188.6306,12,63.6164,2.4928,6.8176,3.639,0.0096,0.0057,0.0019,0.215
15,446.6306,29,64.9306,2.5806,12.6504,0.2057,0.011,0.0059,0.0016,0.106
16,700.27,45,64.2609,2.327,7.5607,0.3963,0.0087,0.0048,0.0016,0.3419
17,976.0757,62,63.5197,2.4279,8.0926,4.4935,0.0123,0.0061,0.0025,0.1549
18,240.6268,15,62.3372,2.6787,12.661,8.4699,0.0185,0.0091,0.0025,0.2153
19,495.2883,32,64.6088,2.5663,10.0911,0.1171,0.0085,0.0038,0.0017,0.1767
20,72.1628,5,69.2878,2.6322,12.6007,0.1442,0.0093,0.0053,0.0017,0.1972
21,334.0466,21,62.8655,2.3959,7.345,7.0247,0.015,0.0063,0.0018,0.2116
22,588.7633,38,64.5421,2.6696,12.0909,0.391,0.0086,0.0043,0.0024,0.1367
