hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,16.5135,1,60.5565,0.0,0.0,0.9865,0.0078,0.0053,0.0,0.0
2,156.1669,10,64.0341,3.4095,20.0611,0.2564,0.0089,0.0058,0.0017,0.2944
3,405.5981,26,64.1029,3.5089,21.5102,0.226,0.0088,0.0058,0.0018,0.1734
4,653.2575,42,64.2932,3.7005,22.9404,0.1726,0.009,0.0056,0.0023,0.1593
5,921.7945,58,62.9207,4.8784,20.9765,0.3558,0.0159,0.0058,0.0022,0.1962
6,1177.5339,79,67.0894,3.4721,21.6247,0.3049,0.0133,0.006,0.0017,0.3244
7,1435.1802,95,66.1938,6.9264,24.5678,0.337,0.0134,0.0078,0.0019,0.1997
8,1693.8437,112,66.1218,2.9694,20.839,0.3701,0.0098,0.005,0.0023,0.2787
9,1952.1043,128,65.5703,6.6496,25.5716,0.1387,0.0143,0.005,0.0017,0.1999
10,211.8564,14,66.0825,3.6942,23.3706,0.4318,0.0151,0.0051,0.0018,0.1717
11,14.8606,1,67.292,0.0,0.0,0.5898,0.021,0.0047,0.0,0.0
12,278.2332,18,64.6939,2.7203,22.4142,0.3882,0.0102,0.0048,0.0032,0.3047
13,531.7825,34,63.9359,3.3323,21.0209,0.2225,0.0104,0.0056,0.0016,0.4881
14,783.9143,50,63.7825,5.0426,18.3089,0.4329,0.0153,0.0065,0.0016,0.3447
15,1050.0004,67,63.8095,4.6187,18.0978,0.3343,0.012,0.0052,0.0016,0.3153
16,1304.1812,83,63.6415,4.5102,19.7746,0.2387,0.0097,0.0049,0.0018,0.2369
17,1560.6505,99,63.4351,3.5185,25.4873,0.3666,0.0135,0.0046,0.0019,0.1941
18,1824.4986,116,63.5791,2.6751,27.3897,0.4464,0.0096,0.0058,0.002,0.2014
19,60.7113,4,65.8856,2.6397,26.5828,0.511,0.011,0.0049,0.002,0.2024
20,311.406,20,64.2248,3.5101,17.2767,0.3256,0.0148,0.0052,0.0016,0.1452
21,565.1074,36,63.7047,2.7908,20.3353,0.5085,0.0111,0.0063,0.0023,0.1971
22,816.3239,52,63.7002,3.6737,19.5503,0.4086,0.0126,0.0059,0.0016,0.2599
23,1069.704,68,63.569,3.4455,19.9765,0.4604,0.0084,0.0053,0.0019,0.2506
24,248.4128,16,64.4089,2.8531,24.4438,0.2594,0.0091,0.0086,0.0016,0.1006
25,247.9331,17,68.5669,2.976,27.9347,0.5091,0.0109,0.0076,0.0012,0.3726
26,56.7471,4,70.4882,2.6109,24.8779,0.6627,0.0086,0.0054,0.0011,0.3394
27,11.5194,1,86.8101,0.0,0.0,0.3191,0.0058,0.0046,0.0,0.0
