life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,225.1836,3,1,48.4355,154.2575,3.3012,0.1672,0.244,13.8481,2.3145
2,696.9979,41,3,113.0558,427.7912,24.3704,0.539,0.282,37.2539,10.4855
3,464.3048,27,2,74.4967,277.9547,38.8265,0.7951,0.7228,22.6732,10.1626
4,561.959,35,2,103.6137,344.1186,13.701,0.4381,0.241,22.9067,9.4817
5,62.6909,3,0,10.8585,37.672,1.2326,0.0323,0.0179,0.0035,0.7041
6,33.3756,1,0,5.0353,19.7564,0.3445,0.0277,0.007,0.0022,0.4604
7,170.262,10,1,27.6018,103.6586,1.907,0.1064,0.0546,11.098,2.8941
8,97.3507,4,0,14.8748,54.8384,1.0945,0.0363,0.0209,0.0043,0.9559
9,28.0731,1,0,5.1496,19.3081,0.7989,0.0071,0.0055,0.0012,0.2177
10,738.9106,46,2,134.1112,484.9092,13.0534,0.6148,0.2801,23.8044,13.5617
11,77.1939,3,0,16.6036,54.6622,1.2259,0.1319,0.0204,0.0045,1.1577
12,175.0901,11,1,35.2354,133.7992,2.8659,0.1409,0.064,11.2903,2.6923
13,92.2188,4,0,17.651,68.0314,1.6374,0.0402,0.022,0.0042,1.1382
14,32.7773,1,0,5.7589,23.0719,0.2256,0.0039,0.0046,0.0008,0.2848
15,92.328,5,0,19.3526,59.611,1.4033,0.057,0.028,0.0059,1.3247
16,61.5391,3,0,11.7987,39.8639,0.9383,0.0336,0.0167,0.0043,0.7581
17,33.9005,1,0,5.6768,20.9508,0.3301,0.0062,0.0045,0.0011,0.2086
18,153.7581,9,1,26.3418,105.3926,2.1724,0.1033,0.0506,11.6476,2.0678
19,224.4919,13,1,35.8876,140.5925,3.3913,0.1396,0.0714,11.4084,3.0826
20,57.4675,3,0,9.9811,40.004,0.8242,0.2746,0.0181,0.0036,0.9038
21,33.876,1,0,5.1569,19.4071,0.2518,0.0045,0.0156,0.0013,0.233
22,237.1945,13,1,37.9822,148.6584,2.9453,0.1396,0.0768,11.4449,3.3381
23,674.476,1,0,113.3463,422.1474,0.5086,0.0105,0.0056,0.0011,0.2257
24,108.8721,5,0,17.9397,59.5367,0.9878,0.1207,0.0288,0.0055,1.2093
25,28.6309,1,0,5.2022,17.2725,0.5954,0.0058,0.0058,0.001,0.1927
26,412.1463,24,2,69.2484,251.6248,7.2184,0.2834,0.1332,22.7133,5.8396
27,58.4684,3,0,10.8034,43.0074,1.2179,0.029,0.0203,0.0044,0.7288
28,32.0962,1,0,5.1144,21.8394,0.367,0.0197,0.0065,0.0013,0.2656
29,30.0212,1,0,5.6254,18.5118,0.2018,0.0044,0.0064,0.001,0.4591
30,66.0424,3,0,9.9331,32.5382,0.842,0.0327,0.0174,0.0039,0.7392
31,29.2597,1,0,5.3181,15.9613,0.5091,0.0055,0.0056,0.001,0.2539
32,782.6288,14,1,128.0444,449.159,3.0226,0.1617,0.0801,11.4367,3.7251
33,970.4649,27,1,164.1278,613.4284,6.6626,0.3111,0.1415,12.0634,7.3699
34,122.0576,7,0,20.9789,84.7211,1.9515,0.0651,0.0387,0.008,1.903
35,35.8039,1,0,4.8015,16.5258,0.5738,0.0092,0.0051,0.001,0.221
36,91.8364,4,0,14.5899,56.1178,1.2022,0.0424,0.0229,0.0046,1.0291
37,263.8077,16,1,42.518,176.1791,17.3719,0.1838,0.282,13.4109,4.5952
38,78.194,4,0,12.7531,51.9921,1.1837,0.0367,0.0218,0.0053,1.0817
39,236.6458,14,1,37.1028,152.0139,7.124,0.1775,0.1034,11.3711,5.0821
