life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,209.1279,3,1,50.6469,154.4813,1.0118,0.0302,0.0271,13.0123,0.4385
2,143.0365,9,1,24.4917,92.9269,7.7863,0.0813,0.0473,11.345,1.6108
3,267.0836,16,1,41.3905,160.0054,3.3936,0.1959,0.0862,11.0482,3.515
4,249.17,15,1,39.6376,146.3705,3.1936,0.1457,0.0824,11.2282,3.7015
5,45.8021,2,0,7.3002,25.0009,0.376,0.0148,0.0096,0.0017,0.6042
6,29.9142,1,0,5.2414,21.024,0.2646,0.0063,0.0053,0.0011,0.202
7,175.95,10,1,27.95,102.6478,1.9618,0.0919,0.0531,11.3141,2.1169
8,110.594,5,0,16.8177,67.4038,1.7767,0.0508,0.0262,0.0062,1.0316
9,29.1461,1,0,4.9271,21.1016,0.3395,0.0059,0.005,0.0009,0.552
10,29.3926,1,0,4.86,18.5792,0.3314,0.0064,0.0066,0.0011,0.2148
11,79.301,4,0,13.1645,47.2321,0.99,0.3242,0.0241,0.0056,0.9635
12,32.8108,1,0,4.5343,18.2494,0.5366,0.0056,0.0046,0.0012,0.1949
13,174.1872,9,1,27.2299,104.7836,1.8798,0.0821,0.0476,11.1546,2.4291
14,63.012,3,0,9.9894,40.2114,0.5565,0.0244,0.0168,0.0043,0.7383
15,28.6486,1,0,4.8795,16.7018,0.2739,0.0045,0.0052,0.001,0.2315
16,266.0782,16,1,42.7444,152.7179,3.4888,0.1939,0.0904,11.2974,4.3187
17,47.1974,1,0,7.5124,26.792,0.1758,0.0034,0.0043,0.0009,0.238
18,440.3577,27,2,68.7666,242.9509,5.5662,0.3279,0.1421,22.8765,6.0552
19,256.6574,15,1,41.3621,150.9981,3.1734,0.3983,0.0868,11.0998,3.5024
20,90.898,4,0,15.6275,61.1169,1.2812,0.1085,0.0254,0.0064,1.207
21,58.7997,2,0,11.1265,34.4034,0.7875,0.0249,0.0124,0.0026,0.548
22,174.9499,11,1,38.3704,130.033,6.812,0.2122,0.0774,11.5009,4.0947
23,264.651,16,1,49.7057,190.1561,6.6009,0.4102,0.1052,11.7209,4.1021
24,58.3588,3,0,12.0114,48.1337,0.9032,0.0346,0.0221,0.0069,0.6845
25,33.486,1,0,4.9641,16.7725,0.3175,0.0049,0.0054,0.001,0.1867
26,29.7109,1,0,5.5747,14.7402,0.5778,0.0094,0.0055,0.001,0.2015
27,111.9589,5,0,19.4347,98.6932,8.2867,0.0565,0.0299,0.0069,1.1052
28,27.9496,1,0,5.1891,21.5246,0.2357,0.0044,0.0045,0.001,0.2338
29,141.7344,7,0,22.6329,83.5562,1.5437,0.0729,0.0388,0.009,1.5948
30,79.2368,4,0,12.6075,44.423,1.5641,0.0581,0.0245,0.0052,0.8695
31,32.9716,1,0,5.0193,22.8735,0.3191,0.0075,0.0054,0.001,0.2343
32,91.6199,5,0,15.0341,60.1562,1.0245,0.0487,0.0424,0.0074,1.2841
33,299.9749,18,1,49.1231,192.7295,4.6544,0.2178,0.1074,11.5933,4.2075
34,128.8853,6,0,20.6822,71.4234,1.4736,0.0706,0.036,0.0082,1.396
35,29.337,1,0,5.2979,19.632,0.307,0.0094,0.0078,0.0019,0.2316
36,207.9502,11,1,33.2794,120.7796,3.0282,0.1287,0.0637,11.4587,2.6373
37,91.076,5,0,15.7464,66.1096,1.0616,0.1088,0.0302,0.0067,1.1182
38,46.1797,2,0,8.1695,32.3816,0.8414,0.0189,0.0113,0.0023,0.4391
39,79.1043,4,0,13.4503,49.5601,1.2656,0.0378,0.0234,0.0049,0.97
40,29.2652,1,0,5.5265,22.2273,0.2361,0.0044,0.0049,0.0015,0.2309
41,453.2566,27,1,75.7906,286.6071,7.2638,0.4915,0.1608,11.2964,7.1583
42,396.2353,20,2,64.5198,261.9908,4.9118,0.2959,0.1213,22.7896,5.0618
43,187.5158,10,0,31.4062,116.3191,2.0611,0.153,0.0552,0.0152,2.4222
44,375.2938,21,2,62.6095,246.6051,5.2229,0.2146,0.1156,23.3355,5.019
45,108.882,6,0,17.9099,68.0024,1.236,0.0592,0.034,0.0078,1.3066
46,236.1831,13,1,38.9048,157.6453,3.733,0.1364,0.076,11.1895,3.2246
47,32.9243,1,0,4.9067,24.208,0.2909,0.0048,0.0054,0.0009,0.1921
48,141.6804,7,0,23.9978,87.6133,1.4733,0.0739,0.0418,0.0085,1.5888
49,284.2094,16,1,48.5021,188.6069,3.7198,0.1638,0.0943,11.6695,4.3809
50,91.0339,4,0,19.6875,58.9491,0.8697,0.0415,0.0251,0.0061,0.9982
51,29.0942,1,0,5.8339,21.7477,0.2762,0.0065,0.0061,0.001,0.1918
52,141.5496,8,1,26.7371,96.5395,1.4435,0.0796,0.0465,10.9283,1.7033
53,124.3231,6,0,22.6543,82.9688,1.8103,0.4042,0.0334,0.0073,1.3951
54,112.4805,6,0,21.4454,61.7763,1.4728,0.0999,0.0342,0.0086,1.4353
55,46.3772,2,0,8.8121,28.1645,0.3488,0.0139,0.0111,0.0021,0.5788
56,78.1803,4,0,14.2905,55.3594,1.2017,0.0381,0.022,0.0053,0.8875
57,29.2773,1,1,6.0133,9.7872,0.3034,0.0062,0.0051,14.1876,0.1296
58,424.6998,26,1,78.843,277.3105,6.4138,0.264,0.1408,11.3521,6.0568
59,254.3383,14,1,46.3891,175.9502,3.2608,0.1737,0.0741,11.4784,3.3402
60,138.8473,7,0,29.1784,92.4647,1.8268,0.2884,0.0372,0.0081,1.5181
61,373.7906,21,2,70.2223,240.6884,5.4309,0.2718,0.1139,22.7797,4.73
62,95.3526,5,0,17.4901,62.413,1.3611,0.046,0.0248,0.0074,1.3236
63,62.7018,3,0,12.8824,41.9423,0.7068,0.0292,0.0167,0.0035,0.6181
64,32.641,1,0,5.6717,19.3495,0.2937,0.0068,0.0051,0.0015,0.2168
65,108.1137,6,0,19.8642,65.6533,1.268,0.0591,0.0333,0.008,1.3965
66,62.3648,3,0,11.2075,38.1107,0.7704,0.024,0.016,0.0035,0.6284
67,33.4876,1,0,5.3643,21.7212,0.2516,0.0055,0.0055,0.0014,0.2079
68,200.1234,12,1,39.0564,126.3619,2.1707,0.12,0.0649,11.0785,2.4821
69,66.3281,3,0,11.5633,38.374,1.0005,0.0286,0.0174,0.0049,0.6813
70,45.2687,1,0,8.2929,33.4491,0.326,0.0084,0.0077,0.0012,0.2142
71,33.3618,1,0,5.2436,17.3837,0.3583,0.0073,0.0068,0.001,0.2392
72,92.008,4,0,17.1542,54.9924,1.1484,0.0347,0.0197,0.0049,0.785
73,33.2454,1,0,5.7727,19.614,0.2601,0.0045,0.0062,0.0015,0.1842
74,62.3034,3,0,11.0055,46.4112,0.9663,0.023,0.0152,0.0036,0.7474
75,29.0615,1,0,5.6997,23.7082,0.3706,0.0057,0.0058,0.0019,0.2296
76,126.854,7,1,24.1479,72.3027,1.3328,0.0811,0.042,14.1898,2.1512
77,60.999,2,0,11.9501,44.1594,1.1373,0.0223,0.0124,0.0033,0.5287
78,32.3173,1,0,5.8207,14.8078,0.4459,0.008,0.0061,0.0014,0.2611
79,29.6738,1,0,5.9263,21.8352,0.1782,0.0034,0.0064,0.001,0.2308
80,33.1732,1,0,5.6569,21.6014,0.2847,0.0069,0.0044,0.0012,0.192
81,45.8585,2,0,9.1833,32.0603,0.7492,0.0157,0.0122,0.0025,0.4495
82,78.758,4,0,14.4056,61.4497,0.9652,0.2598,0.0221,0.005,0.8697
83,32.9519,1,0,5.8209,21.0774,0.2489,0.0038,0.0052,0.0009,0.212
84,59.1827,3,0,11.2545,40.429,0.7072,0.0288,0.0165,0.0032,0.6108
85,32.6578,1,0,5.9308,22.0123,0.3297,0.0081,0.0066,0.001,0.2066
86,425.096,24,2,79.1445,287.6121,5.4312,0.2372,0.136,22.3371,5.0716
87,45.4946,2,0,8.7058,32.6781,0.5796,0.0179,0.0113,0.0032,0.4377
88,28.3205,1,0,5.7179,23.6084,0.304,0.0068,0.0062,0.0014,0.2152
89,46.1063,1,0,8.7035,29.1058,0.403,0.0072,0.0048,0.0014,0.3089
90,142.1579,5,0,26.3933,94.9511,1.9874,0.0487,0.0301,0.0058,1.1802
91,32.4116,1,0,5.4305,22.7793,0.2866,0.0075,0.0053,0.0013,0.2436
92,29.1435,1,0,5.3886,23.1834,0.2851,0.0068,0.0057,0.001,0.2245
93,33.6125,1,0,6.0614,15.9257,0.3414,0.0061,0.0055,0.0012,0.183
