life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,48.0118,5,0,28.7574,89.4498,4.1537,0.0445,0.0399,0.0111,1.6708
2,28.0136,1,0,18.2999,53.9519,3.5554,0.009,0.006,0.0016,0.1953
3,226030.3908,1,0,46299.5019,157686.6791,1.3222,0.2394,0.0054,0.0012,0.3367
4,1008.5191,79,0,449.7735,1344.9895,95.2003,13.5345,0.6621,0.1579,105.427
5,1018.3852,90,0,488.5927,1441.3299,124.9201,3.7531,0.855,0.1521,52.0627
6,42550.3502,12,0,77.4166,162.7701,14.9418,0.1547,0.0685,0.0171,2.6523
7,41.3632,3,0,10.3619,43.4782,1.8205,0.0366,0.0158,0.0044,8.7221
8,266.383,12,0,78.889,224.267,6.6267,0.3172,0.0628,0.0173,2.871
9,296.6191,18,1,58.8127,230.3759,13.0754,0.6334,0.1379,13.4232,6.511
10,59.7291,2,0,12.8007,42.257,1.292,0.016,0.0114,0.0028,0.4239
11,33.7334,1,0,4.9246,17.2618,0.741,0.01,0.006,0.001,0.2709
12,295.2795,18,1,51.8954,197.0874,4.8098,0.1791,0.0986,11.2558,4.127
13,59.2605,3,0,10.2765,45.0109,0.622,0.025,0.0163,0.0043,0.7327
14,32.5286,1,0,4.9331,27.0938,0.1811,0.0036,0.0039,0.001,0.2534
15,532.7347,32,2,85.9901,352.4937,6.844,0.3335,0.1715,22.0954,7.145
16,155.4713,8,0,25.1714,90.4621,2.1804,0.0843,0.0457,0.0151,1.8986
17,32.2971,1,0,4.7691,18.5861,0.5446,0.0064,0.0061,0.0012,0.2156
18,62.8639,3,0,10.9764,34.0257,0.6323,0.0278,0.015,0.0044,0.6515
19,32.2894,1,1,4.5449,11.5135,0.5241,0.0066,0.005,10.9885,0.1124
20,579.0564,36,2,93.4544,379.814,8.2868,0.679,0.2034,22.7419,8.8854
21,188.0118,9,0,30.6866,123.7884,10.6143,0.1014,0.0542,0.0146,2.3937
22,33.4437,1,0,4.8954,22.0423,0.3463,0.0086,0.0063,0.0011,0.1997
23,237.8367,14,1,38.0459,135.7861,3.4347,0.1459,0.0769,11.3674,3.4022
24,152.8583,8,0,24.8942,112.3425,1.6173,0.0788,0.0474,0.014,1.765
25,29.8392,1,0,4.9875,21.4579,0.2127,0.0051,0.0055,0.0018,0.2465
26,108.1619,5,0,17.6781,70.7744,1.6698,0.0634,0.0277,0.0082,1.547
27,220.392,13,1,39.724,143.7585,3.7856,0.1209,0.0652,11.4191,3.0755
28,545.5083,33,2,88.2881,336.994,7.5695,0.3292,0.1938,22.2598,7.3722
29,83.4699,4,0,12.7942,51.0012,0.9556,0.0362,0.023,0.0057,0.9773
30,28.8986,1,0,4.7785,22.9578,0.3865,0.0111,0.0068,0.0016,0.229
31,445.8856,27,2,84.8717,327.3278,7.9729,0.5044,0.1904,24.4069,10.8654
32,286.9341,17,1,46.8251,185.8315,4.3694,0.1824,0.0919,11.0966,4.4373
33,58.8901,3,0,10.6552,31.9239,0.948,0.0204,0.0138,0.0034,1.1779
34,28.2524,1,0,4.8698,18.193,0.528,0.0075,0.006,0.0011,0.188
35,704.5367,44,3,114.1676,446.0103,8.9463,0.4735,0.2328,33.3836,11.0293
36,578.8508,1,0,94.9297,380.6606,0.2896,0.0059,0.0062,0.002,0.1928
37,66.8544,3,0,10.3079,36.0958,0.6971,0.18,0.0218,0.0056,0.5594
38,29.361,1,0,5.5097,21.449,0.5411,0.0078,0.0054,0.001,0.2069
39,987.5331,62,4,164.3534,595.7352,15.2912,0.7477,0.3574,46.2484,14.2689
40,407.6375,24,1,68.9509,275.9427,5.5984,0.3421,0.1383,11.3633,6.1788
41,95.9512,4,0,15.7539,53.9605,0.983,0.0416,0.0236,0.007,1.0198
42,29.0746,1,0,5.2896,17.733,0.2297,0.0058,0.0047,0.0013,0.2439
43,1008.3585,64,3,167.615,631.4359,17.4738,0.7713,0.365,34.1471,14.5584
44,228.2687,14,0,39.2687,148.7708,3.3464,0.1649,0.0779,0.0201,2.7713
45,725.1532,44,2,121.6226,422.5194,10.3948,0.4765,0.2355,27.8033,9.8708
46,32.9621,1,0,5.0419,17.6831,0.3054,0.0054,0.0054,0.0014,0.203
47,108.9911,5,0,17.3125,61.2109,1.0066,0.0496,0.0275,0.0073,0.9096
48,57.6287,3,0,9.5328,39.552,0.6281,0.0266,0.0153,0.0045,0.6055
49,33.3776,1,0,5.3305,19.4198,0.4895,0.0094,0.0064,0.0013,0.2513
50,45.5664,2,0,7.5187,30.0971,0.7924,0.0222,0.0126,0.0031,0.5229
51,96.0776,4,0,15.2295,58.1236,1.7327,0.0919,0.0194,0.0051,0.9084
52,33.4848,1,0,4.9274,15.7206,0.5682,0.0275,0.006,0.0012,0.2681
53,732.8691,46,3,117.991,457.7564,28.2734,0.509,0.2852,33.8959,11.0063
54,95.0836,5,0,14.8793,63.0277,0.9757,0.0466,0.026,0.0064,1.2184
55,29.2049,1,0,5.0233,17.9475,0.2358,0.2093,0.005,0.0008,0.2008
56,125.3129,6,0,20.3379,79.9,1.0291,0.1008,0.0359,0.0094,1.1082
57,33.3279,1,0,5.2375,18.2362,0.2841,0.0058,0.0056,0.0014,0.1764
58,90.8443,5,0,15.1723,59.5377,1.1081,0.053,0.0285,0.0077,1.1094
59,33.5219,1,1,5.2629,17.5133,0.3457,0.0096,0.0048,11.4398,0.2111
60,125.3857,7,0,20.5214,88.231,1.4075,0.1436,0.0374,0.0104,2.1934
61,32.8171,1,0,4.8771,19.7089,0.2765,0.0057,0.0057,0.0014,0.2238
62,280.5252,16,1,50.0735,172.0821,2.8609,0.3547,0.0829,11.3275,3.1644
63,1005.9947,63,4,159.4815,616.1217,14.7309,0.6492,0.3422,44.5225,14.3827
64,75.2778,4,0,12.6017,50.7885,0.6571,0.0392,0.0187,0.0049,0.9378
65,32.818,1,0,4.8711,19.4937,0.3385,0.0076,0.0054,0.0012,0.1855
66,75.9161,4,0,13.7169,53.2882,1.0507,0.0366,0.0228,0.0052,0.8228
67,32.3587,1,0,4.7656,17.01,0.3372,0.0075,0.0056,0.0012,0.2531
68,441.4999,27,2,71.2385,279.6765,5.2235,0.3054,0.1408,21.9542,5.9726
69,358.0968,21,1,57.4962,229.4049,4.7959,0.2066,0.1135,11.1788,5.0512
70,63.7444,3,0,10.3871,41.8677,0.6091,0.0243,0.0137,0.003,0.5434
71,31.6737,1,0,5.3773,24.5812,0.6281,0.0056,0.0055,0.0012,0.2462
72,30.4024,1,0,5.5091,14.9798,0.2725,0.0059,0.0043,0.0008,0.3121
73,78.0475,4,0,12.129,56.1251,0.7821,0.0375,0.0211,0.0057,0.8843
74,32.9641,1,0,4.7573,16.5467,0.3653,0.0073,0.006,0.0012,0.1878
75,142.1669,8,1,22.6598,89.8201,2.222,0.0684,0.0432,11.2061,1.9997
76,61.5137,1,0,9.8955,35.894,0.4823,0.0053,0.0046,0.0012,0.1913
77,487.0004,2,0,78.0027,305.9605,0.8951,0.0181,0.0115,0.0037,0.7311
78,62.3624,3,0,9.7845,36.0049,1.0403,0.0268,0.0163,0.0041,0.5432
79,28.7741,1,0,4.9129,23.6745,0.4566,0.0059,0.0042,0.0013,0.2295
80,126.199,7,0,20.5281,70.5692,2.3254,0.065,0.0344,0.0084,1.5752
81,345.3931,21,1,55.5608,240.9775,6.0503,0.2096,0.1109,11.2,4.7001
