hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,44.1601,3,67.9346,2.65,7.8009,0.2075,0.0094,0.0045,0.0014,0.1056
2,511.569,33,64.5074,2.9231,7.5424,0.1331,0.0087,0.0049,0.0011,0.2054
3,773.4501,50,64.6454,2.8786,7.8896,0.1415,0.0083,0.0062,0.0024,0.2906
4,1024.1254,66,64.4452,2.9411,10.2551,0.1112,0.0082,0.0041,0.0015,0.2965
5,198.8735,13,65.3682,2.9002,10.5127,0.3557,0.0086,0.0047,0.0017,0.2085
6,185.193,12,64.7973,2.699,12.5056,0.1142,0.0091,0.0046,0.0011,0.2512
7,73.0218,5,68.4727,2.6764,10.7429,0.1081,0.0069,0.0042,0.0014,0.1902
8,90.2786,6,66.4609,2.9026,13.001,0.1237,0.0097,0.0051,0.0017,0.2504
9,90.2961,6,66.4481,2.6322,7.8867,0.3857,0.0098,0.0048,0.0011,0.2149
10,344.5879,22,63.8444,2.8153,6.9125,0.149,0.0109,0.0049,0.0017,0.2349
11,353.3155,23,65.0976,2.6572,11.5173,0.146,0.0099,0.0052,0.0014,0.2152
12,11.3194,1,88.3439,0.0,0.0,0.1912,0.0066,0.0043,0.0,0.0
13,261.49,17,65.012,2.8534,12.1598,0.188,0.0103,0.0056,0.0018,0.1502
14,356.3603,23,64.5414,2.4994,13.9738,0.3303,0.0083,0.0042,0.0013,0.2145
15,84.6748,6,70.8593,2.8962,10.5325,0.1135,0.0079,0.0038,0.0012,0.2002
16,339.0504,22,64.8871,2.806,7.743,0.1398,0.0102,0.0059,0.0017,0.2187
17,73.5365,5,67.9934,2.9244,12.0766,0.4375,0.0111,0.0058,0.0012,0.1873
18,340.564,22,64.5987,2.875,7.8675,0.4256,0.009,0.006,0.0019,0.2162
19,107.0258,7,65.4048,3.0395,12.2666,0.1011,0.007,0.0044,0.0013,0.1899
20,360.7501,23,63.756,2.8131,10.5872,0.1026,0.0076,0.0046,0.0077,0.2075
21,75.0808,5,66.5949,2.8801,8.2905,0.2286,0.0263,0.0049,0.0022,0.206
22,186.1405,12,64.4674,2.8115,11.7212,0.3086,0.0092,0.0045,0.0011,0.1818
23,106.8788,7,65.4947,2.677,10.0918,0.1852,0.0126,0.0046,0.0018,0.1852
24,11.2243,1,89.0924,0.0,0.0,0.3168,0.009,0.0062,0.0,0.0
25,169.0654,11,65.0636,2.8464,11.8818,0.1416,0.0089,0.0055,0.0026,0.2784
26,432.9016,28,64.6798,3.8412,12.6454,0.3376,0.0088,0.005,0.0017,0.1118
27,261.2628,17,65.0686,2.6392,10.7366,0.1376,0.0071,0.0046,0.0011,0.2508
28,156.9764,10,63.7038,2.7598,7.0857,0.1691,0.012,0.0068,0.002,0.1628
29,419.1936,27,64.4094,2.7862,13.5801,0.1754,0.0097,0.0051,0.0016,0.1306
30,673.4084,43,63.8543,2.6041,10.1556,0.1915,0.0107,0.0048,0.0012,0.2021
31,935.7726,60,64.1181,2.8644,7.1942,0.1369,0.0096,0.0054,0.0017,0.1855
32,10.8277,1,92.3557,0.0,0.0,0.3423,0.0053,0.0054,0.0,0.0
33,327.0477,21,64.2108,2.5683,8.4895,0.1162,0.0082,0.0046,0.0014,0.2361
34,623.3693,40,64.1674,2.941,7.679,0.1895,0.01,0.0051,0.001,0.1061
35,885.8668,57,64.3438,2.8965,9.7464,0.3133,0.0107,0.0051,0.0014,0.2074
36,10.9604,1,91.2375,0.0,0.0,0.2862,0.0056,0.0044,0.0,0.0
37,495.0554,32,64.6392,2.909,9.8446,0.3506,0.0086,0.0049,0.0015,0.223
38,748.8214,48,64.1007,2.8368,11.001,0.2216,0.0094,0.0059,0.0016,0.195
39,94.0018,6,63.8286,2.7975,12.6344,0.1821,0.01,0.0051,0.0012,0.2388
40,90.204,6,66.5159,2.9722,11.0827,0.1287,0.01,0.005,0.001,0.2315
41,137.8113,9,65.3067,3.3545,10.3059,0.3813,0.0098,0.0056,0.0014,0.1991
42,182.018,12,65.9275,2.847,10.967,0.0993,0.0072,0.0041,0.0013,0.2114
43,77.4798,5,64.5329,2.9583,8.2774,0.2203,0.007,0.0049,0.002,0.2404
44,243.654,16,65.6669,2.7881,9.6182,0.1866,0.0089,0.0052,0.0013,0.1952
45,11.0292,1,90.6684,0.0,0.0,0.2898,0.0054,0.0048,0.0,0.0
46,10.9914,1,90.9802,0.0,0.0,0.2924,0.0093,0.0049,0.0,0.0
47,261.4141,17,65.0309,2.7527,12.0402,0.1758,0.0098,0.0051,0.0023,0.208
48,153.1697,10,65.2871,2.8375,9.8459,0.184,0.0092,0.0052,0.0019,0.2226
49,419.3881,27,64.3795,2.6131,10.8246,0.1863,0.0099,0.0049,0.0019,0.2043
