hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
333,10.9884,1,91.0051,0.0,0.0,6.1783,0.0104,0.0064,0.0,0.0
334,24.7236,2,80.8944,2.5317,12.6478,0.1921,0.0092,0.0057,0.0017,0.2167
335,80.7224,6,74.3288,2.5672,11.7233,0.8557,0.0105,0.006,0.0017,0.2508
336,278.1501,18,64.7133,2.9205,7.791,7.3672,0.0731,0.0074,0.0013,0.2032
337,10.9365,1,91.4369,0.0,0.0,2.4295,0.007,0.006,0.0,0.0
338,110.8173,8,72.1909,3.4985,10.0789,0.3739,0.0107,0.0055,0.0014,0.1102
339,153.4749,10,65.1572,3.1135,11.149,0.2022,0.0186,0.008,0.0011,0.7329
340,133.6377,8,59.8633,3.1377,12.4119,7.7292,0.0435,0.0088,0.0019,0.2075
341,401.1596,25,62.3193,2.8588,13.0271,3.9875,0.0118,0.0065,0.0028,0.2647
342,678.3079,43,63.393,3.3934,9.6934,0.2631,0.0143,0.0075,0.0013,0.4098
343,938.7675,60,63.9136,3.3572,12.5598,4.4946,0.0126,0.0069,0.0021,0.1403
344,11.0039,1,90.8769,0.0,0.0,6.331,0.0082,0.0066,0.0,0.0
345,242.2191,16,66.0559,3.589,11.6264,0.2582,0.0167,0.0076,0.0018,0.1976
346,144.0874,10,69.4023,4.4489,12.8153,0.6646,0.0101,0.0068,0.0022,0.2407
347,395.6406,26,65.7162,3.885,11.7829,0.4694,0.0088,0.0056,0.0018,0.1833
348,10.8485,1,92.1786,0.0,0.0,0.8479,0.0062,0.0046,0.0,0.0
349,60.8125,4,65.776,3.3052,12.2936,0.197,0.0121,0.0068,0.0012,0.1731
350,314.0527,21,66.8678,3.4823,14.2738,0.1602,0.0122,0.0065,0.0023,0.1734
351,24.2065,2,82.6224,3.156,10.615,0.1693,0.0088,0.0055,0.0021,0.1738
352,11.0181,1,90.7597,0.0,0.0,0.3295,0.0062,0.0062,0.0,0.0
353,11.0974,1,90.1112,0.0,0.0,0.582,0.0088,0.0059,0.0,0.0
354,268.0045,16,59.7005,2.98,12.5684,4.436,0.0957,0.2025,0.0024,0.2364
355,108.3682,7,64.5946,2.9498,13.826,2.937,0.0097,0.0067,0.0016,0.2884
356,526.4494,34,64.5836,2.8454,8.3267,0.6359,0.0108,0.0068,0.0011,0.0977
357,995.4528,64,64.2924,2.9244,12.1374,0.3813,0.0087,0.006,0.0019,0.2292
358,241.8361,16,66.1605,3.4115,11.334,0.2709,0.0111,0.0067,0.0023,0.2642
359,559.5923,36,64.3326,2.9457,7.724,0.6798,0.0099,0.0053,0.001,0.3242
360,874.3249,56,64.0494,2.8599,8.8879,2.497,0.0099,0.0057,0.0011,0.1955
361,89.6571,6,66.9216,3.1431,10.6892,0.4838,0.0112,0.007,0.0014,0.2473
362,121.4791,9,74.0868,3.5947,11.8546,0.3255,0.0083,0.0056,0.0014,0.3021
363,21.2653,2,94.0499,2.6581,8.093,0.197,0.0086,0.0053,0.0023,0.1428
364,85.4251,6,70.237,3.8744,10.7095,0.3646,0.0095,0.0063,0.0014,0.2928
365,336.8294,22,65.315,3.1562,12.3047,0.1567,0.0121,0.0061,0.0017,0.1342
366,11.3755,1,87.9082,0.0,0.0,7.3005,0.0118,0.0066,0.0,0.0
367,11.1205,1,89.924,0.0,0.0,3.6323,0.0082,0.0063,0.0,0.0
368,116.5523,7,60.0589,2.8391,10.8629,6.3229,0.0132,0.0059,0.0012,0.2233
369,383.1637,24,62.6364,2.5219,12.8391,3.4442,0.0099,0.0058,0.0014,0.1718
370,11.4489,1,87.3446,0.0,0.0,0.301,0.0072,0.0054,0.0,0.0
371,226.9,15,66.1084,2.6724,15.252,0.1305,0.0107,0.0075,0.0019,0.1842
372,75.6432,6,79.3198,2.5558,12.8834,0.4165,0.0095,0.006,0.0011,0.1345
373,335.3268,22,65.6076,2.4323,9.8324,4.8957,0.0107,0.0057,0.0015,0.2101
374,112.6677,7,62.1296,2.5507,8.4752,2.538,0.0103,0.007,0.0015,0.156
375,81.0453,6,74.0327,2.9185,10.9809,0.2815,0.009,0.0061,0.0011,0.3344
376,332.9562,22,66.0748,2.5242,13.2268,0.1185,0.0083,0.0047,0.0015,0.3149
377,24.7414,2,80.8362,2.751,11.9872,0.1526,0.0063,0.0031,0.0019,0.3061
378,88.081,6,68.1191,2.8766,12.6169,0.1505,0.0085,0.0057,0.0026,0.2487
