metric,mean,median,p95,p99,max,min
lock_to_click_ms,721.8497,576.8717,1824.1924,1956.87,2003.8113,11.0733
fps,64.3553,64.045,66.3627,76.0848,90.3073,48.4974
grab_ms,2.9026,2.8545,3.5123,4.5507,5.7632,0.0
yolo_ms,9.909,10.4743,12.68,13.2212,13.6196,0.0
select_ms,0.5026,0.1898,1.6192,5.3194,6.9354,0.1013
mouse_ms,0.0134,0.0104,0.0159,0.0763,0.2347,0.0059
pid_ms,0.006,0.0055,0.0069,0.0253,0.0339,0.0037
align_click_ms,0.0014,0.0014,0.0021,0.0025,0.0032,0.0
move_ms,0.2348,0.2191,0.3291,0.5697,0.9851,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,2,1.16
25~50,2,1.16
50~100,8,4.62
100~250,36,20.81
250~500,33,19.08
500~1000,44,25.43
>1000,48,27.75
