hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,105.6752,7,66.2407,2.6177,10.3576,0.2225,0.01,0.0054,0.0016,0.178
2,94.2027,6,63.6924,2.6618,10.7299,0.156,0.0115,0.0055,0.0014,0.4464
3,119.6624,8,66.8548,2.926,9.8878,0.1555,0.0088,0.0051,0.0015,0.3429
4,373.1339,24,64.3201,2.7223,10.7361,0.192,0.0083,0.0057,0.0019,0.1823
5,187.446,12,64.0184,2.7998,7.953,0.2286,0.0087,0.0047,0.0014,0.1772
6,182.1368,11,60.3942,2.9547,7.4015,5.9688,0.0093,0.0061,0.0011,0.1105
7,122.0124,7,57.3712,2.5066,9.755,0.1512,0.1403,0.0049,0.0014,0.1696
8,376.6372,23,61.0667,2.7918,13.202,1.9885,0.0122,0.0067,0.0024,0.2073
9,111.1495,7,62.9782,3.0566,8.9392,2.0159,0.0095,0.0058,0.0025,0.2195
10,103.1288,7,67.8763,2.7257,10.7049,0.3616,0.0393,0.0054,0.0014,0.2055
11,364.1012,23,63.1693,7.7158,13.3034,0.245,0.0215,0.0066,0.0024,0.3357
12,152.3454,10,65.6403,2.4751,8.1608,2.1856,0.0112,0.0257,0.002,0.1941
13,414.2762,27,65.1739,2.8749,10.8935,0.2515,0.0099,0.0052,0.0027,0.2043
14,677.3925,44,64.955,2.4957,12.5422,0.1346,0.0113,0.0047,0.0018,0.148
15,928.5705,60,64.6154,3.3401,6.8386,0.1347,0.0076,0.0038,0.0017,0.1509
16,117.8715,7,59.3867,2.4321,7.3127,3.0601,0.009,0.0059,0.0016,0.2166
17,101.7276,7,68.8112,2.4827,10.6084,0.197,0.0092,0.0049,0.0016,0.1798
18,357.844,23,64.2738,2.4934,9.9859,0.5215,0.0091,0.0051,0.0024,0.3041
19,107.1446,7,65.3323,2.412,11.5361,0.5604,0.0076,0.0046,0.0014,0.2256
20,373.9216,24,64.1846,2.4107,7.0111,0.4601,0.0095,0.0055,0.0021,0.1994
21,142.2933,9,63.2496,2.6075,11.4886,0.9013,0.0132,0.005,0.0014,0.1782
22,16.0963,2,124.2522,2.4406,9.0438,0.0984,0.006,0.0038,0.0016,0.1657
23,266.5668,18,67.5253,2.6437,9.7988,0.1111,0.0345,0.0032,0.0026,0.2774
24,518.2311,34,65.6078,3.4372,7.7511,0.5044,0.009,0.0047,0.0027,0.2322
25,102.8155,7,68.0831,2.5795,11.14,0.2104,0.0095,0.0057,0.0019,0.1992
26,105.6158,7,66.278,2.4361,10.9905,0.1367,0.0085,0.0051,0.0015,0.1895
27,383.461,24,62.5879,2.3567,7.4546,5.4648,0.0117,0.0072,0.0019,0.1401
28,26.6502,2,75.0463,2.5006,5.0185,0.1924,0.0088,0.0051,0.0009,0.1384
29,94.5468,7,74.0374,2.3731,9.6124,0.109,0.007,0.0062,0.0016,1.1115
30,263.8831,17,64.4225,2.4488,10.0178,0.5603,0.0095,0.0045,0.0013,0.6117
31,550.7161,35,63.5536,2.4174,11.6916,0.7869,0.0101,0.005,0.0015,0.1821
32,807.0577,51,63.1925,3.178,6.6649,6.2131,0.0128,0.0068,0.0019,0.168
33,66.6951,5,74.968,2.4441,10.263,0.4006,0.0081,0.0048,0.0013,0.6101
34,328.6965,21,63.8887,2.5359,8.1395,6.2541,0.0143,0.0056,0.0017,0.1839
35,214.6394,14,65.2257,2.25,12.3769,0.5809,0.0097,0.0055,0.0014,0.276
36,488.181,31,63.501,2.4944,6.9379,6.7042,0.0136,0.0054,0.0016,0.183
37,746.4381,48,64.3054,2.4113,10.3706,0.2266,0.009,0.0053,0.0025,0.2366
38,1000.4147,64,63.9735,2.2818,10.778,0.2071,0.0142,0.0071,0.0025,0.1884
39,254.6161,17,66.7672,2.3243,7.7033,0.2101,0.0114,0.0064,0.002,0.2046
40,515.5743,34,65.9459,2.4976,14.0597,0.1306,0.012,0.004,0.0016,0.1342
41,778.0,49,62.982,2.5417,10.6049,5.9286,0.0252,0.006,0.0021,0.1744
42,150.5095,10,66.441,2.4459,9.4975,0.5132,0.0085,0.0051,0.0019,0.3028
43,417.333,27,64.6965,2.3633,14.5189,0.5352,0.0092,0.0054,0.0021,0.2512
44,669.4411,41,61.2451,2.4581,9.6928,0.151,0.0136,0.0053,0.0013,0.2202
45,921.1912,57,61.8764,2.4013,10.7575,0.5731,0.0109,0.006,0.0022,0.2466
46,169.1642,11,65.0256,2.4365,7.2633,0.3993,0.0085,0.0051,0.0024,0.1983
47,284.5761,17,59.738,2.5128,6.2795,5.6066,0.01,0.005,0.0014,0.2023
48,540.8434,34,62.8648,2.6107,10.3577,0.1727,0.0128,0.0053,0.0019,0.2201
49,801.6727,50,62.3696,2.3488,7.5191,5.3716,0.0098,0.0054,0.0019,0.2266
50,179.4112,12,66.8855,2.5086,7.9912,1.2222,0.0137,0.0085,0.002,0.1766
51,34.5253,2,57.9285,2.4767,7.2753,0.1743,0.0094,0.0049,0.0016,0.2098
52,294.5247,19,64.5107,2.5744,14.4275,0.6711,0.0083,0.006,0.0022,0.1637
53,185.7535,12,64.6017,2.8046,10.8534,0.1142,0.0068,0.0042,0.0014,0.2283
54,435.8366,28,64.2443,2.2241,6.4256,0.2064,0.0091,0.0054,0.0019,0.1029
55,101.2305,7,69.1491,2.4513,10.788,0.1125,0.0068,0.0046,0.0021,0.2214
56,351.4709,23,65.4393,2.6823,11.5114,0.1974,0.0093,0.0049,0.0016,0.4555
57,63.999,5,78.1262,2.3893,13.9239,0.1893,0.0095,0.0058,0.0017,0.1744
58,21.8352,2,91.5952,2.3491,6.6546,0.1028,0.0734,0.0059,0.001,0.1673
59,277.3622,18,64.8971,2.4483,12.7923,0.2503,0.0273,0.0068,0.0025,0.1428
60,234.0854,15,64.0792,2.6713,7.8218,0.3181,0.0098,0.006,0.0017,0.1158
61,487.9747,31,63.5279,2.4408,7.0686,3.3301,0.0095,0.006,0.0024,0.1221
62,745.3342,48,64.4006,2.2948,10.5015,0.1418,0.0138,0.0055,0.0027,0.2044
63,90.3472,6,66.4105,2.5817,12.1521,0.6472,0.0084,0.0062,0.0013,0.2461
64,347.9767,22,63.2226,2.3943,7.3081,3.8169,0.0101,0.0064,0.0014,0.1515
65,228.415,15,65.6699,2.5901,10.0029,0.1,0.0067,0.0038,0.0017,0.1593
66,136.0134,9,66.17,2.4268,10.056,0.5612,0.0075,0.0044,0.0015,0.3664
67,395.4666,25,63.2165,2.4017,6.2813,0.4352,0.0125,0.0049,0.0022,0.1022
68,136.184,9,66.0871,2.4899,14.0956,0.2456,0.0692,0.0063,0.0019,0.1969
69,162.2026,10,61.6513,2.4942,11.7357,7.8695,0.0621,0.007,0.0017,0.3288
70,83.7564,6,71.6363,2.498,10.5134,0.3655,0.0095,0.0048,0.0019,0.1875
71,219.828,14,63.6862,2.5067,11.0426,2.6615,0.0121,0.0694,0.0019,0.3207
72,125.9315,7,55.5858,2.3959,7.7017,0.6046,0.0091,0.006,0.002,0.1386
73,132.1622,9,68.0981,2.3157,9.3151,0.249,0.0121,0.0051,0.0009,0.4959
74,383.47,25,65.1941,2.2964,7.8504,0.2119,0.0091,0.0048,0.0024,0.823
75,10.7963,1,92.6243,0.0,0.0,0.3156,0.0084,0.0057,0.0,0.0
76,123.5847,8,64.7329,2.4008,11.0317,0.3426,0.019,0.0047,0.0012,0.1577
77,240.6148,15,62.3403,2.5519,11.9171,6.4277,0.0463,0.0083,0.0022,0.3962
78,56.7895,4,70.4356,2.586,9.767,1.2004,0.0083,0.0054,0.001,0.1808
79,320.9138,21,65.4381,2.6473,12.4822,0.1047,0.0073,0.0044,0.0024,0.4968
80,174.935,11,62.8805,3.1202,7.0934,0.3348,0.0089,0.0051,0.0027,0.2168
81,87.7227,6,68.3973,2.6068,10.1894,0.1402,0.008,0.0051,0.0016,0.1916
82,10.9061,1,91.6918,0.0,0.0,0.3783,0.0077,0.0064,0.0,0.0
83,286.0719,18,62.9212,2.3185,10.8948,6.4354,0.0107,0.006,0.0015,0.4161
84,88.8036,6,67.5648,2.4116,7.166,1.102,0.009,0.0056,0.0015,0.2862
85,11.0341,1,90.6281,0.0,0.0,0.8234,0.0084,0.0046,0.0,0.0
86,10.7357,1,93.1472,0.0,0.0,0.4761,0.0067,0.0053,0.0,0.0
87,185.8568,12,64.5658,2.4569,7.2468,2.8089,0.0112,0.0066,0.0019,0.2145
88,439.3636,29,66.0046,2.9494,12.5019,0.3544,0.0081,0.0048,0.0017,0.204
89,693.6518,45,64.874,2.5888,10.7254,0.1043,0.0081,0.0037,0.0039,0.1843
90,104.6451,7,66.8928,2.3387,10.5385,0.5302,0.0077,0.0044,0.0012,0.1846
91,221.1199,14,63.3141,2.851,7.3936,3.4813,0.0101,0.0061,0.0018,0.2019
92,479.3662,31,64.6687,2.4308,10.7087,0.5465,0.0084,0.0051,0.0023,0.171
93,10.6762,1,93.6663,0.0,0.0,7.5666,0.0116,0.0052,0.0,0.0
94,272.8705,18,65.9654,2.4056,7.0371,0.2153,0.0072,0.0045,0.0028,0.1422
95,11.0426,1,90.5584,0.0,0.0,0.6427,0.0077,0.0051,0.0,0.0
96,71.154,5,70.2701,2.5966,8.0027,0.1561,0.0099,0.005,0.0015,0.2179
97,11.2444,1,88.9332,0.0,0.0,0.1943,0.0035,0.0041,0.0,0.0
98,244.4388,16,65.4561,2.4541,13.4474,0.1178,0.0082,0.0049,0.0013,0.1661
99,78.0287,5,64.079,2.6542,9.9718,0.819,0.0107,0.0067,0.0014,0.2218
100,342.203,22,64.2893,2.4448,11.5234,0.3861,0.01,0.0055,0.0015,0.505
101,11.1712,1,89.5159,0.0,0.0,0.307,0.0058,0.0053,0.0,0.0
102,273.0648,17,62.2563,2.4121,7.8407,6.34,0.0114,0.0066,0.0022,0.1433
103,85.9116,6,69.8392,2.5793,10.2586,0.1415,0.0071,0.0045,0.0013,0.1843
104,336.4433,22,65.3899,2.6565,11.4027,0.1642,0.0093,0.0058,0.0027,0.2341
105,590.6743,37,62.6403,6.2738,7.7455,2.4899,0.0366,0.0926,0.002,0.4437
106,102.9949,7,67.9645,2.6113,10.6707,0.496,0.0091,0.0063,0.0011,0.1795
107,376.4471,24,63.754,2.2878,12.0616,4.3424,0.0099,0.0049,0.0017,0.2329
108,633.7697,41,64.6923,2.7039,11.104,0.1436,0.0098,0.0046,0.003,0.18
109,889.6981,57,64.0667,2.3585,11.7544,0.6371,0.0111,0.0047,0.0018,0.1562
110,90.3802,6,66.3862,2.634,12.9251,0.2287,0.0089,0.0053,0.0013,0.1667
111,146.0124,9,61.6386,2.4126,10.3328,0.1075,0.0071,0.0039,0.0015,0.1926
112,464.0683,28,60.3359,2.2746,12.3528,0.6769,0.0091,0.1101,0.0014,0.3123
113,724.3544,45,62.1243,2.4646,6.8673,0.2186,0.0091,0.0053,0.0021,0.3599
114,88.7983,6,67.5689,2.4334,7.1486,0.1137,0.0074,0.0045,0.0015,0.2717
115,341.5069,22,64.4204,2.4047,10.8924,0.3317,0.0099,0.0066,0.0016,0.217
116,174.0114,12,68.961,2.4844,11.9341,0.3723,0.0092,0.0047,0.0015,0.2323
117,423.9467,28,66.046,2.5715,10.5734,0.1209,0.0123,0.0062,0.0019,0.1709
118,674.2563,44,65.2571,2.6258,11.4047,0.4153,0.011,0.0059,0.0023,0.1747
119,927.5359,60,64.6875,2.3985,10.9669,0.1254,0.0078,0.0046,0.0022,0.1742
120,108.923,7,64.2656,2.4684,12.1499,0.58,0.0098,0.0067,0.0018,0.4095
121,369.6024,24,64.9346,2.6533,11.4979,0.1534,0.0088,0.0052,0.0022,0.1684
122,126.1721,9,71.3311,2.3116,9.757,0.122,0.0075,0.0041,0.0013,0.1851
123,89.6395,6,66.9348,2.3364,11.3772,0.1865,0.0082,0.0049,0.0013,0.1839
124,196.3409,13,66.2114,2.5265,11.3458,0.1671,0.0107,0.0055,0.0015,0.2262
125,10.9976,1,90.9289,0.0,0.0,2.5843,0.01,0.0076,0.0,0.0
126,10.86,1,92.081,0.0,0.0,2.5825,0.0072,0.0056,0.0,0.0
127,119.2512,8,67.0853,2.4402,11.2649,0.2736,0.0112,0.0073,0.0012,0.1871
128,386.5071,24,62.0946,2.5624,6.9522,0.791,0.0105,0.0059,0.0023,0.1988
129,90.1355,6,66.5664,2.4934,10.4374,0.203,0.0098,0.0042,0.0013,0.1778
130,57.9751,4,68.9951,2.4429,10.7864,0.121,0.0092,0.0045,0.0016,0.1908
131,204.978,13,63.4214,2.4952,11.8568,0.6604,0.008,0.0044,0.0017,0.2154
132,106.5611,7,65.69,2.7665,12.3197,0.2789,0.0077,0.0043,0.0012,0.4282
133,418.264,27,64.5525,2.4684,10.4518,0.3842,0.0105,0.0054,0.0019,0.2099
134,11.0692,1,90.3408,0.0,0.0,0.7298,0.0083,0.0059,0.0,0.0
135,214.8173,14,65.1717,2.5238,13.2023,0.8025,0.0099,0.0055,0.0015,0.1905
136,482.2172,31,64.2864,2.3719,10.0597,0.7012,0.012,0.0066,0.0025,0.1824
137,104.6134,7,66.913,9.7847,13.453,0.5431,0.0117,0.0049,0.0033,0.2151
138,132.4926,8,60.3807,2.3154,11.1506,1.6208,0.3214,0.0617,0.0014,0.3943
139,21.4728,2,93.1411,2.6988,10.6225,0.193,0.0085,0.0055,0.001,0.1823
140,277.5657,18,64.8495,2.5771,12.7344,0.5851,0.0085,0.0042,0.0023,0.1952
141,56.7231,4,70.518,2.561,10.1171,0.3992,0.0084,0.0051,0.0015,0.1957
142,325.4015,21,64.5357,2.4341,14.012,0.2989,0.0089,0.0071,0.0021,0.2018
143,135.8671,9,66.2412,2.7571,11.0592,0.7121,0.0078,0.0048,0.0038,0.2815
144,11.2868,1,88.5991,0.0,0.0,2.1225,0.009,0.0052,0.0,0.0
145,123.8295,8,64.605,2.4177,11.8059,0.6149,0.013,0.0073,0.0018,0.2111
146,387.848,25,64.4582,2.3709,10.3847,0.1254,0.0082,0.0053,0.0017,0.1923
147,196.2867,13,66.2297,2.6748,11.2019,0.2439,0.0103,0.006,0.0031,0.1527
148,470.6132,30,63.7466,2.4698,12.6262,5.7768,0.0138,0.0062,0.0022,0.2277
