hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,82.4911,5,60.6126,2.6901,7.4656,0.1909,0.0098,0.006,0.002,0.1816
2,107.2647,7,65.2591,2.9374,11.0488,0.1775,0.0103,0.0056,0.0013,0.4118
3,201.7882,13,64.424,2.8739,12.7972,0.1512,0.0093,0.005,0.0013,0.1919
4,107.7896,7,64.9413,2.7054,12.0584,0.163,0.0129,0.0062,0.001,0.1638
5,11.326,1,88.2924,0.0,0.0,0.4618,0.0073,0.0056,0.0,0.0
6,14.8638,1,67.2775,0.0,0.0,0.2586,0.0062,0.0052,0.0,0.0
7,86.1527,6,69.6438,2.3808,10.6746,0.1861,0.0083,0.0056,0.001,0.2176
8,11.4092,1,87.6486,0.0,0.0,0.4895,0.0084,0.0065,0.0,0.0
9,11.0477,1,90.5166,0.0,0.0,0.494,0.0142,0.0051,0.0,0.0
10,169.4197,11,64.9275,2.5075,10.7095,0.3433,0.009,0.0054,0.0012,0.2156
11,57.6003,4,69.4441,2.3252,7.5173,0.1753,0.01,0.0058,0.0014,0.207
12,40.3355,3,74.3762,2.5196,11.3441,0.1475,0.0084,0.0051,0.0016,0.2592
13,11.1755,1,89.4815,0.0,0.0,0.5298,0.007,0.0049,0.0,0.0
