life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,16186.7337,19,0,3337.6828,15424.1741,9.7487,0.3478,0.1176,0.0321,7.0682
2,2004.1935,433,0,1289.2078,5923.4368,196.7584,10.9184,2.0291,0.3976,158.8025
3,121589.2802,386,0,1125.5465,5361.9306,164.7542,9.6081,2.129,0.3925,162.0
4,73.9843,6,0,23.7808,148.516,21.3769,0.1842,0.043,0.0194,2.2894
5,148.1557,6,0,61.1604,336.4229,8.7825,0.0976,0.0418,0.0085,2.5194
6,91.2826,5,0,22.0236,127.7749,1.8694,0.1673,0.0287,0.0066,1.7076
7,29.5544,1,0,9.7181,37.9016,0.564,0.0708,0.0077,0.0011,0.5164
8,33.305,1,0,7.6565,53.2232,0.6199,0.0092,0.0055,0.0015,0.636
9,45.7865,2,0,10.9298,70.3889,0.9286,0.0139,0.0103,0.0023,0.5678
10,49.6844,2,0,10.3317,78.4549,0.8749,0.0213,0.0123,0.0026,0.6103
11,45.587,2,0,9.8281,73.6681,1.414,0.0196,0.0129,0.0026,0.7643
12,49.4797,2,0,9.8877,73.9471,0.9137,0.0238,0.0123,0.0026,0.6634
13,57.7299,3,0,12.9801,100.8312,1.097,0.0301,0.0183,0.0042,0.9199
14,63.7062,3,0,14.0837,95.8335,0.8195,0.0347,0.0175,0.0035,0.9237
15,34.8245,1,0,9.334,48.5453,0.7109,0.0067,0.0062,0.0012,0.3085
16,60.3856,3,1,20.0725,78.8754,1.5329,0.0381,0.0175,16.5494,1.0245
17,95.09,5,0,20.9027,148.4677,2.295,0.0914,0.0287,0.0058,1.5076
18,29.2252,1,0,6.6297,60.016,0.6051,0.0067,0.0069,0.0018,0.3059
19,34.1146,1,0,7.0639,49.1367,0.6273,0.0101,0.0064,0.0012,0.2578
20,77.4591,4,0,22.5726,107.8,2.4667,0.0553,0.0248,0.0056,1.455
21,30.6078,1,0,7.9877,47.5437,0.5165,0.0071,0.0069,0.0009,0.35
22,111.4025,5,0,26.1549,165.5841,1.6884,0.0472,0.0255,0.0092,1.6212
23,28.8805,1,0,6.7325,45.7718,0.6523,0.0073,0.0061,0.0012,0.3319
24,33.3803,1,0,7.0027,41.4942,0.3314,0.0062,0.0047,0.0014,0.2595
25,79.3038,4,0,16.7142,120.9198,1.6026,0.0385,0.0225,0.0055,1.2688
26,28.4481,1,0,10.0492,34.6076,0.6684,0.0061,0.0051,0.0011,0.3101
