metric,mean,median,p95,p99,max,min
lock_to_click_ms,205.7134,137.1083,690.7042,1022.1563,1218.2881,11.1311
fps,71.3676,65.9418,87.9952,89.0867,89.8384,56.4863
grab_ms,2.2472,3.0281,5.1863,5.6381,6.0931,0.0
yolo_ms,13.8425,19.0389,27.0081,30.2372,30.3415,0.0
select_ms,0.6725,0.4635,1.2577,5.2335,5.8567,0.0996
mouse_ms,0.015,0.011,0.0409,0.0826,0.0956,0.0043
pid_ms,0.0058,0.0057,0.008,0.0091,0.0095,0.004
align_click_ms,0.0009,0.0011,0.002,0.0022,0.0026,0.0
move_ms,0.217,0.2736,0.4292,0.8139,1.0589,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,28,37.33
25~50,0,0.0
50~100,2,2.67
100~250,24,32.0
250~500,11,14.67
500~1000,9,12.0
>1000,1,1.33
