metric,mean,median,p95,p99,max,min
lock_to_click_ms,498.3094,373.3639,1553.8223,1876.5537,1940.8123,11.0093
fps,68.1961,64.415,90.0422,90.764,90.8323,60.3121
grab_ms,2.6888,2.8082,4.2522,6.8657,10.0938,0.0
yolo_ms,24.7536,29.3392,33.4534,34.4506,34.6618,0.0
select_ms,0.4668,0.3997,0.7911,1.4172,3.7139,0.1269
mouse_ms,0.0145,0.0106,0.0408,0.0553,0.0781,0.0055
pid_ms,0.0062,0.0054,0.0071,0.0191,0.0704,0.004
align_click_ms,0.0012,0.0013,0.0021,0.0023,0.0024,0.0
move_ms,0.2023,0.2077,0.371,0.425,0.4457,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,13,15.66
25~50,1,1.2
50~100,0,0.0
100~250,23,27.71
250~500,14,16.87
500~1000,18,21.69
>1000,14,16.87
