life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,1157.2896,3,0,217.258,753.3001,0.9725,0.0227,0.0337,0.0067,0.7706
2,62.4895,3,0,11.413,40.9523,1.3986,0.019,0.0172,0.0044,0.4576
3,29.5436,1,0,5.6248,21.38,0.3097,0.0053,0.0051,0.0013,0.142
4,62.7997,3,0,11.3852,38.8106,0.8326,0.0229,0.0161,0.0042,0.8434
5,157.4609,8,0,29.1793,109.4247,2.1414,0.0602,0.0403,0.0103,1.7544
6,113.1782,3,0,19.9813,72.9729,0.7893,0.0176,0.0154,0.0035,0.6379
7,3056.4756,1,0,566.8124,1890.1534,0.4072,0.0042,0.0048,0.0012,0.175
8,45.2903,2,0,11.1574,37.3506,0.5235,0.0146,0.0151,0.0037,1.669
9,52.7172,2,0,12.8499,37.009,1.1963,0.0183,0.0119,0.0031,0.6014
10,2991.2995,1,0,518.0702,1959.0523,0.3789,0.0039,0.0114,0.0033,0.4012
11,60.8991,1,0,12.9365,44.989,0.6378,0.005,0.0104,0.0053,0.1633
12,46.794,1,0,10.3271,35.5129,0.2571,0.0077,0.0054,0.0013,0.2443
13,45.5465,1,0,10.6793,34.2825,0.5215,0.0052,0.0044,0.0017,0.232
14,33.2819,1,0,7.0386,25.598,0.3257,0.0051,0.0049,0.0016,0.211
15,78.7303,3,0,16.7839,63.3379,0.8428,0.0289,0.0174,0.0056,0.8109
16,137.6708,8,0,33.5208,115.841,3.0402,0.0669,0.0477,0.023,1.7987
17,1416.6039,1,0,292.0975,922.2451,0.6119,0.0057,0.0061,0.0011,0.4548
18,62.5446,1,0,13.594,38.1069,0.237,0.0044,0.0044,0.0012,0.1777
19,153.4461,1,0,30.8746,92.1159,0.3688,0.0244,0.0056,0.0015,0.2752
20,32.9612,1,0,6.1786,23.5738,0.6139,0.0049,0.006,0.0013,0.2781
21,45.7931,1,0,10.2229,37.641,0.3699,0.0051,0.0055,0.0018,0.247
22,30.0721,1,0,6.9535,23.6073,0.5007,0.0047,0.0051,0.0019,0.2441
23,286.7057,17,0,60.2471,205.839,3.86,0.3097,0.0945,0.0248,3.3253
24,29.0457,1,0,6.3574,22.0742,0.3452,0.0053,0.0066,0.0017,0.2153
25,62.9854,1,0,12.7362,40.3056,0.491,0.003,0.0048,0.0015,0.1914
26,3323.5006,1,0,612.8086,2009.1173,0.3092,0.0045,0.0052,0.0011,0.1103
27,457.9836,1,0,84.215,275.2419,0.1923,0.0023,0.0039,0.0012,0.1509
28,63.3557,3,1,12.9515,30.9931,0.457,0.0162,0.0142,15.0612,0.5358
29,95.4093,1,0,17.2009,59.4236,0.549,0.0061,0.0045,0.0012,0.2072
30,124.9909,1,0,23.9138,85.6678,0.2819,0.0047,0.0058,0.0012,0.2046
31,312.0917,1,0,58.7278,173.5702,0.3374,0.006,0.0055,0.0016,0.2199
32,33.6626,1,0,5.7269,19.0272,0.2574,0.0035,0.0054,0.0013,0.1759
33,1241.1627,1,0,229.1197,726.3215,0.533,0.0059,0.0053,0.0011,0.2196
34,29.3433,1,0,5.6375,24.0163,0.3172,0.0032,0.0047,0.0018,0.1683
35,82.8259,1,0,13.828,41.5926,0.4359,0.0044,0.0049,0.001,0.2014
36,29.2983,1,0,5.4451,18.451,0.3363,0.0037,0.0061,0.0014,0.5644
37,32.7179,1,0,5.6499,17.0381,0.2647,0.0029,0.0051,0.0012,0.2451
38,136.9323,1,0,27.2312,95.7606,0.6026,0.1058,0.0098,0.0015,0.2783
39,46.889,1,0,8.9628,30.07,0.2864,0.017,0.0051,0.0015,0.2234
40,157.6997,2,0,29.5358,100.5497,0.712,0.0114,0.0121,0.003,0.5064
41,63.9402,2,0,11.9038,41.6169,0.3298,0.0078,0.0087,0.0025,0.3366
42,123.442,2,0,23.6868,83.2754,0.7847,0.0116,0.0102,0.0023,0.3789
43,142.4125,8,1,26.3988,95.5637,1.8122,0.2512,0.0383,14.5723,1.6145
44,32.2689,1,0,5.4578,23.5499,0.5872,0.0048,0.0059,0.0012,0.1937
45,45.566,1,0,8.3473,31.033,0.2362,0.0025,0.0042,0.0012,0.1784
46,78.9089,4,0,13.7397,49.4845,0.7831,0.0383,0.0214,0.0051,1.0379
47,125.4305,6,1,23.1766,86.6172,1.7537,0.0377,0.033,11.041,1.1617
48,29.2861,1,0,5.4359,22.4691,0.4853,0.0056,0.0054,0.0021,0.1807
49,79.3104,3,0,14.5801,54.3421,0.6818,0.0178,0.0137,0.0052,0.6112
50,49.2317,1,0,8.4866,34.8872,0.4974,0.0057,0.0061,0.0019,0.2586
51,45.5383,1,0,7.6495,28.8308,0.3027,0.0049,0.0066,0.0017,0.2447
52,221.0583,10,1,42.4025,160.6608,2.5866,0.0784,0.0518,11.5292,2.6103
53,91.8594,4,0,18.3029,71.8323,1.0156,0.0243,0.0184,0.0067,0.8156
54,32.4351,1,0,5.3988,22.332,0.5055,0.0058,0.0056,0.0015,0.1933
55,46.7348,1,0,9.232,38.1627,0.2529,0.0066,0.0056,0.0014,0.2156
56,32.5401,1,0,5.8728,24.292,0.5757,0.0079,0.0058,0.001,0.2453
57,50.4747,1,0,8.6896,27.0608,0.363,0.0042,0.0046,0.0011,0.1914
58,703.3059,3,0,133.9355,463.0857,1.1795,0.0212,0.0148,0.0033,0.836
59,379.1122,1,0,72.2703,257.2411,0.44,0.0044,0.0046,0.0013,0.5263
