life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,1006.8723,62,3,247.5694,2928.965,42.5675,1.2577,0.4364,35.94,23.7224
2,169.937,10,0,38.4054,406.9663,3.748,0.1844,0.0648,0.0167,3.2147
3,32.3724,1,0,7.0658,69.6628,0.6532,0.0069,0.0063,0.0011,0.372
4,46.4705,2,0,10.9019,103.333,0.6776,0.0178,0.0113,0.0028,0.6783
5,623.9745,39,2,145.8547,1291.0486,14.0033,0.5306,0.2362,23.0619,13.2037
6,130.6839,7,0,28.7295,277.2668,2.8457,0.0848,0.0403,0.0117,2.2344
7,61.9883,3,0,14.4538,123.6572,6.4206,0.0354,0.0167,0.0039,0.9199
8,220.6781,12,0,55.249,435.8443,7.9005,0.1523,0.0748,0.019,3.7598
9,940.935,59,3,221.9876,1926.3837,36.5689,0.8723,0.3875,34.4866,19.4416
10,600.4199,37,2,135.7145,1204.7447,17.1122,0.4854,0.2222,25.2592,12.4509
11,171.0571,10,0,42.2111,373.4475,3.7601,0.461,0.0802,0.0153,3.5876
12,31.7535,1,0,7.6126,69.0924,0.5193,0.0168,0.0081,0.0016,0.3434
13,45.2415,2,0,10.971,105.0336,0.8898,0.0789,0.0139,0.0029,0.8536
14,108.454,6,0,24.2499,258.7063,2.6838,0.0717,0.0369,0.008,2.0202
15,34.0861,1,0,6.5415,78.5502,0.5627,0.0065,0.0051,0.0013,0.34
16,141.2649,8,0,34.0437,303.0091,2.1752,0.0967,0.0509,0.0117,2.57
17,29.2927,1,0,7.3411,86.8554,0.6561,0.0067,0.0057,0.0013,0.3286
18,207.5783,12,0,45.6411,441.9777,9.3953,0.1531,0.0745,0.0182,3.9846
19,36.9683,1,1,8.7129,55.821,0.7713,0.0071,0.0065,11.2705,0.1728
20,838.6614,1,0,204.3064,2010.4752,0.5294,0.0066,0.0062,0.0016,0.5161
21,61.0029,3,0,13.9461,152.2802,1.3627,0.0303,0.0175,0.0049,0.8738
22,109.0724,6,0,24.9408,221.8025,2.4175,0.0972,0.0378,0.0085,2.0867
23,49.6372,2,0,11.8511,113.5557,0.7045,0.0413,0.0124,0.0027,0.6952
24,32.3147,1,0,6.3958,69.9792,0.6357,0.0074,0.0059,0.0012,0.2965
25,656.2504,41,3,156.8495,1227.0232,21.2025,0.5843,0.2379,37.2719,12.9189
26,102.0129,5,0,27.6823,180.0544,2.6247,0.1787,0.031,0.0079,1.6579
27,21.7752,1,0,9.9126,48.8556,0.9142,0.0307,0.0059,0.0013,0.5395
28,252.7616,14,0,63.478,462.1433,5.9484,0.1814,0.1051,0.0205,4.5053
29,577.9178,3,0,158.0803,1194.2948,1.0896,0.0325,0.0182,0.0038,1.1231
30,29.7881,1,0,6.6883,63.1002,0.5827,0.0114,0.0071,0.0014,0.2573
31,191.3219,11,0,48.6519,351.5683,7.3035,0.1425,0.0691,0.0162,3.7703
32,1476.1847,91,4,386.0195,2892.4356,54.9426,1.441,0.6375,45.5907,30.1778
33,1599.9719,59,3,411.2328,3117.0463,35.9119,0.7816,0.3425,34.5587,19.4029
34,187.0733,10,0,51.0463,340.9858,4.6452,0.1621,0.0591,0.0217,3.393
35,46.3199,2,0,10.0006,96.2478,0.7522,0.0163,0.0129,0.0032,0.46
36,31.7023,1,0,7.277,69.49,0.8044,0.009,0.0049,0.001,0.2959
37,189.3402,11,0,43.6774,406.4874,4.7042,0.113,0.0585,0.0147,3.3839
38,32.3174,1,0,7.2735,68.0274,0.4748,0.0122,0.0061,0.0016,1.0035
39,105.8815,2,0,24.0434,263.4655,0.9818,0.0192,0.0134,0.0026,0.6038
40,187.8197,11,0,40.841,410.5107,3.4842,0.1364,0.066,0.0167,3.52
41,658.4817,3,0,143.1561,1348.1467,1.103,0.0276,0.0165,0.0041,1.0315
42,189.5679,11,0,43.7473,379.277,4.1471,0.1569,0.0598,0.0159,3.0992
43,418.4855,2,0,99.0016,904.0934,1.5743,0.1124,0.0122,0.003,0.3871
44,158.5551,9,0,33.5694,329.8353,3.0071,0.1127,0.0542,0.013,2.3626
45,62.46,3,0,17.0687,127.9278,0.8228,0.0287,0.0178,0.0042,0.7507
46,95.2979,5,0,20.1195,219.3628,1.7988,0.0615,0.0313,0.0077,1.7307
47,28.9484,1,0,6.7506,62.2134,0.6412,0.0306,0.0058,0.0019,0.3153
48,63.9281,3,0,13.6482,131.3674,1.4828,0.0344,0.018,0.0044,0.907
49,203.0209,12,0,49.9463,404.6791,5.4188,0.1683,0.0773,0.0167,3.5452
50,1066.751,67,4,230.2187,2053.9845,24.0998,0.9448,0.4396,45.8623,21.2807
51,974.5907,61,3,229.3834,1883.7764,34.5694,1.1817,0.3527,34.1181,19.5175
52,137.121,8,0,30.218,295.7245,2.2176,0.107,0.0463,0.0113,2.5355
53,1271.4929,80,4,337.5143,2370.5607,43.2349,1.0665,0.4645,46.6948,24.1902
54,94.7904,5,0,22.6745,200.8632,2.0564,0.0506,0.0266,0.0067,1.5445
55,51.2344,2,0,10.451,101.3674,1.1938,0.0196,0.0117,0.0028,0.651
56,40.1528,2,1,10.3964,84.8667,0.8184,0.0187,0.0119,12.5331,0.5396
57,928.1819,58,2,247.3133,1730.5491,34.4064,1.0035,0.3898,23.6089,18.4857
58,59.4147,3,0,13.4663,128.9998,2.0755,0.0785,0.0172,0.004,0.9988
59,41.0923,1,0,11.3924,61.1624,0.6402,0.0081,0.0056,0.0013,0.2846
60,241.4362,15,1,70.1646,460.4577,6.715,0.2162,0.0904,12.0357,5.0783
