hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,65.2956,4,61.2599,2.5334,7.1028,0.1714,0.0117,0.0068,0.0016,0.0869
2,11.1657,1,89.56,0.0,0.0,0.3232,0.0056,0.0059,0.0,0.0
3,60.1701,4,66.4782,2.9814,11.4648,0.2456,0.0104,0.0058,0.001,0.2024
4,418.7746,27,64.4738,3.0058,11.6253,0.1189,0.009,0.0045,0.0016,0.2069
5,92.4633,6,64.8906,3.9285,13.0993,0.4734,0.015,0.0066,0.0011,0.2666
6,14.9163,1,67.0408,0.0,0.0,0.4444,0.0075,0.005,0.0,0.0
7,15.0596,1,66.4028,0.0,0.0,0.4926,0.006,0.0046,0.0,0.0
8,57.4691,3,52.202,2.7913,9.846,0.2155,0.0085,0.0056,0.0014,0.0752
9,108.868,7,64.298,2.2054,11.2031,0.7287,0.0109,0.0063,0.0015,0.2328
10,368.8632,24,65.0648,2.3833,10.2701,0.1154,0.008,0.0046,0.002,0.3814
11,623.3829,40,64.166,2.4964,7.0165,0.2078,0.0112,0.0062,0.0018,0.1415
12,165.6166,11,66.4185,2.7764,12.5807,0.1931,0.0088,0.0046,0.0019,0.2017
13,419.2029,27,64.408,2.3498,7.471,0.2119,0.0091,0.0052,0.002,0.2044
14,32.7511,2,61.0667,2.4664,6.6247,0.2175,0.0104,0.0043,0.0099,0.2948
15,86.782,6,69.1388,2.4985,10.1575,0.323,0.0091,0.0055,0.0014,0.2136
16,23.6158,2,84.6891,2.6072,10.4189,0.1846,0.0086,0.0058,0.0014,0.2384
17,215.7606,14,64.8867,2.4469,7.4024,0.1534,0.01,0.0055,0.0022,0.1829
18,227.6897,15,65.8791,2.6566,10.6448,0.2054,0.0101,0.0055,0.0017,0.3472
19,11.5097,1,86.8832,0.0,0.0,0.1974,0.0036,0.0042,0.0,0.0
20,11.3961,1,87.7493,0.0,0.0,0.4831,0.0116,0.0059,0.0,0.0
21,11.17,1,89.5255,0.0,0.0,0.3596,0.0056,0.0044,0.0,0.0
22,11.3743,1,87.9175,0.0,0.0,0.4209,0.0203,0.0054,0.0,0.0
23,11.3046,1,88.4596,0.0,0.0,0.3715,0.0071,0.0051,0.0,0.0
24,11.0817,1,90.2389,0.0,0.0,0.3996,0.0057,0.0049,0.0,0.0
25,28.0135,2,71.3941,2.244,7.9684,0.1579,0.0101,0.0054,0.002,0.4197
26,11.1309,1,89.84,0.0,0.0,0.3405,0.0062,0.0054,0.0,0.0
27,108.1736,7,64.7108,2.6917,12.7099,0.2182,0.0131,0.0058,0.0019,0.2024
28,194.6711,12,61.6424,3.0798,12.2225,0.1953,0.0123,0.0058,0.0012,0.2233
29,179.8193,12,66.7337,2.5309,10.6914,0.1671,0.0099,0.0054,0.0012,0.3401
30,11.1937,1,89.336,0.0,0.0,0.5191,0.006,0.0059,0.0,0.0
31,207.2514,13,62.7258,2.4781,7.1098,0.168,0.0137,0.0054,0.0013,0.2229
32,465.6556,30,64.4253,2.72,12.82,0.154,0.0104,0.0054,0.002,0.2004
33,106.4216,7,65.7761,2.6198,11.3536,0.1466,0.0099,0.0055,0.0017,0.3015
34,406.4047,26,63.9756,2.4178,10.9815,0.2263,0.0112,0.0054,0.0015,0.2246
35,656.0365,42,64.0208,2.542,10.351,0.2183,0.0121,0.0054,0.002,0.1669
36,906.6899,58,63.9689,2.6102,10.2269,0.1225,0.0106,0.0046,0.0018,0.2022
37,90.256,6,66.4776,2.5061,7.1446,0.1926,0.01,0.007,0.0013,0.3078
38,340.5749,22,64.5967,2.7458,10.6752,0.2505,0.0101,0.0055,0.0027,0.1827
39,590.1905,38,64.386,2.2313,7.0807,0.2997,0.0102,0.0047,0.0022,0.1447
40,98.8637,7,70.8046,2.4562,10.2621,0.1517,0.0107,0.005,0.0013,0.2275
41,344.089,23,66.8432,2.4551,10.2544,0.1802,0.0116,0.0074,0.0016,0.2699
42,595.2066,39,65.5235,3.1229,12.6748,0.515,0.015,0.0055,0.0039,0.2365
43,90.3075,6,66.4397,2.4782,12.1859,0.1147,0.0076,0.0045,0.0106,0.2044
44,141.012,9,63.8244,2.368,7.3149,0.2286,0.0093,0.005,0.0013,0.2012
45,103.2157,7,67.8191,2.834,11.6229,0.2115,0.0119,0.0059,0.0012,0.2069
46,198.7492,13,65.4091,2.4356,7.475,0.149,0.0105,0.0048,0.0021,0.1362
47,448.6855,29,64.6332,2.5589,10.5208,0.3303,0.0095,0.0049,0.0012,0.1303
48,703.0864,45,64.0035,2.3912,11.4558,0.5216,0.0335,0.0053,0.0015,0.2853
