life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,38.475,1,0,4.6314,22.0091,0.7804,0.0081,0.0144,0.0033,0.2091
2,28.6555,1,0,5.1258,17.4839,6.3613,0.0092,0.0095,0.0015,0.1466
3,56.8643,2,0,11.1643,37.396,2.7769,0.0268,0.0173,0.0032,0.7177
4,107.7709,6,0,18.0564,82.7829,8.2542,0.0645,0.0404,0.0096,1.2232
5,79.0892,4,0,13.2099,59.332,2.0998,0.0496,0.0254,0.0062,0.9027
6,27.8184,1,0,5.6557,23.954,0.8067,0.0077,0.0075,0.0015,0.2379
7,78.3664,4,0,13.036,52.8451,7.6185,0.0413,0.0216,0.005,0.8354
8,1435.8514,40,3,102.0794,394.7578,40.2264,0.5648,0.2493,37.6841,8.4116
9,192.0791,11,1,30.5782,99.5751,3.9461,0.1084,0.0601,10.5606,2.3648
10,53.3014,3,0,10.8714,44.0029,6.3921,0.0302,0.0164,0.0058,0.5588
11,157.3242,9,1,25.6353,95.1597,5.6142,0.1969,0.0461,11.2705,2.0295
12,797.1801,1,0,133.0545,495.1692,0.7402,0.0076,0.0048,0.0013,0.1316
13,31.8866,1,0,4.8305,21.424,0.3346,0.0074,0.0056,0.0011,0.1679
14,33.7154,1,0,4.9259,21.0281,0.469,0.005,0.0043,0.0009,0.1121
15,26.9645,1,0,4.8612,17.8564,0.8706,0.0067,0.0052,0.0011,0.1634
16,62.0853,3,0,9.9618,42.4715,1.1077,0.0304,0.0166,0.0043,0.7113
17,1681.3295,29,2,909.0423,2789.16,18.6817,0.3739,0.1763,22.5672,6.6443
18,304.2833,15,1,53.8895,206.2733,26.3114,0.2888,0.076,10.963,2.4193
19,282.5668,17,1,49.111,182.0492,14.1869,0.188,0.0928,11.6255,3.9423
20,202.2572,11,0,34.4369,142.8577,6.5213,0.1081,0.0533,0.0149,2.342
21,29.2957,1,0,5.2553,23.1614,0.2311,0.0039,0.0043,0.001,0.4157
22,426.4972,23,1,69.0099,283.4842,22.7845,0.4458,0.1236,10.9558,4.6473
23,29.1364,1,0,4.9601,21.559,0.519,0.005,0.0047,0.0016,0.164
24,300.2673,18,1,47.5908,186.3175,15.8253,0.197,0.097,11.1462,3.9258
25,28.7607,1,0,6.094,19.484,0.9199,0.0228,0.0053,0.001,0.1463
26,48.0669,2,0,7.4114,33.3242,1.3136,0.1452,0.0103,0.0026,0.8257
27,47.4374,1,0,7.2624,23.7169,0.3131,0.0096,0.005,0.001,0.1507
28,62.6738,1,0,10.2676,37.3499,0.6653,0.0069,0.0057,0.0011,0.1906
29,503.875,1,0,83.3808,335.3595,0.6584,0.0072,0.0046,0.0011,0.2354
30,27.9185,1,0,5.5898,25.1901,0.3953,0.0085,0.0062,0.0013,0.1598
31,32.2022,1,0,5.076,17.442,0.3395,0.0089,0.0061,0.0011,0.206
32,31.8188,1,0,5.0592,22.5225,0.2644,0.0068,0.0051,0.0016,0.2988
33,72.1156,3,0,9.7859,37.5411,3.0374,0.1367,0.0191,0.0041,0.6284
34,21.0686,1,0,4.9485,20.3497,6.7402,0.039,0.0075,0.0017,0.2895
35,404.3124,25,1,67.1965,266.1663,15.8636,0.3318,0.2227,11.4345,5.7599
36,160.1961,1,0,25.1414,102.1904,0.4674,0.0071,0.0054,0.0017,0.1484
37,60.7675,3,0,10.0484,41.3155,1.873,0.0257,0.0159,0.0044,0.7503
38,33.0908,1,0,4.7301,23.1262,0.5771,0.0071,0.0047,0.0011,0.1909
39,45.9485,2,0,7.9455,31.9812,0.636,0.0212,0.0125,0.0027,0.4454
40,78.1521,4,0,12.6439,57.6592,1.943,0.0438,0.0229,0.0065,1.3555
41,31.046,1,1,4.684,22.1105,0.3318,0.0068,0.0045,11.3622,0.0949
42,50.1643,1,0,7.4904,35.1403,0.7203,0.007,0.0056,0.0011,0.1635
43,1004.6396,64,4,168.1215,664.3278,76.4459,0.7145,0.3458,47.0036,14.2123
44,673.927,42,2,109.8888,451.7997,30.6573,0.4548,0.2801,22.4707,8.5762
45,1003.0832,64,4,163.0386,666.9795,51.2662,1.042,0.3508,44.4656,11.9504
46,1003.5299,64,4,171.6778,618.3437,39.58,1.0657,0.3695,46.1571,11.6018
47,369.8005,21,1,59.5617,221.9699,27.7584,0.2613,0.1158,11.3037,4.5075
48,310.9113,19,1,51.1439,194.5917,21.6409,0.2702,0.1342,11.0076,4.353
49,74.4904,2,1,12.129,49.7071,0.6642,0.0158,0.0108,11.1886,0.2124
50,755.2182,47,2,123.7062,510.6751,29.7775,0.7576,0.3607,22.7127,10.345
