life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,32.209,1,0,5.8461,16.4991,0.6557,0.0091,0.014,0.0112,0.4147
2,29.8778,1,0,5.9723,20.2793,0.4099,0.0072,0.007,0.0012,0.3237
3,33.1059,1,0,5.8877,21.0344,0.2859,0.0066,0.0067,0.0012,0.2157
4,391.5614,21,1,74.236,271.4595,6.0021,0.214,0.2141,13.6712,5.4506
5,720.6511,43,1,135.9177,475.1055,27.3215,0.5543,0.2282,11.5101,9.7689
6,749.7234,2,0,142.6742,469.4548,0.4065,0.0144,0.0107,0.0025,0.3214
7,2557.0361,1,0,476.023,1635.357,0.2925,0.005,0.0047,0.0012,0.279
8,2451.351,1,0,464.7734,1637.4369,0.2276,0.1685,0.0044,0.0009,0.1551
9,31.9659,1,0,5.6369,23.511,0.538,0.0076,0.005,0.0013,0.3933
10,62.2162,2,0,11.4717,49.2708,0.4746,0.0165,0.0099,0.0026,0.5922
11,33.824,1,0,5.6332,17.3013,0.285,0.0063,0.0046,0.0009,0.2118
12,216.0969,13,1,43.6421,158.0782,3.2107,0.2635,0.0689,13.3881,3.0747
13,67.2916,3,0,11.5438,37.8388,1.0896,0.0287,0.0151,0.003,0.6182
14,28.5904,1,0,6.1556,24.855,0.3197,0.0054,0.0058,0.0014,0.2395
15,687.633,43,3,136.2266,481.5512,11.7371,0.4397,0.2225,33.3698,9.3714
16,125.0184,6,0,24.1686,86.2619,7.2895,0.0551,0.0315,0.0081,1.2288
17,179.3438,9,0,33.2206,112.4328,2.847,0.1068,0.0453,0.01,1.9285
18,28.5883,1,0,5.9317,22.4261,0.2509,0.0043,0.005,0.001,0.2373
19,157.7571,9,1,30.5045,100.0266,1.9414,0.0841,0.0483,11.1338,1.88
20,126.3875,7,0,28.4696,82.6327,9.3873,0.2431,0.0384,0.0085,1.6274
21,481.3825,1,0,90.0863,300.5155,0.2574,0.0056,0.0044,0.0013,0.2701
22,62.581,3,0,10.8501,34.9943,0.5253,0.0386,0.0154,0.0029,0.8058
23,33.4093,1,0,5.4524,22.369,0.2316,0.0043,0.0041,0.0007,0.3103
24,221.9984,11,0,43.7555,136.5314,4.9517,0.2264,0.0573,0.0146,2.5032
25,27.8784,1,0,6.5413,23.5622,0.3003,0.005,0.006,0.0014,0.3272
26,96.4109,4,0,16.9288,58.1138,0.9956,0.0369,0.0216,0.0048,0.8651
27,29.122,1,0,5.9837,20.6965,0.3519,0.0077,0.0054,0.001,0.2182
28,895.8611,56,4,165.5832,559.6057,14.7828,0.6236,0.3166,44.7934,12.489
29,95.3931,5,0,17.6444,59.2835,6.8578,0.047,0.0285,0.0054,1.0323
30,737.7025,46,3,135.3981,494.0696,26.0919,0.5326,0.3913,33.6366,10.3856
31,279.6233,17,1,57.0832,175.3978,10.4791,0.1725,0.0892,11.0862,3.4648
32,266.1936,16,1,54.9627,156.3962,5.7199,0.1795,0.0846,11.268,3.5582
33,1209.7229,74,4,223.7865,744.0947,19.0268,1.0007,0.3933,44.416,17.1975
34,564.607,35,1,111.6712,359.4265,19.1738,0.7247,0.1795,11.2821,7.6736
35,233.9953,14,1,44.0657,146.1334,3.1356,0.2071,0.073,11.3233,2.878
36,612.1527,38,1,115.3625,407.4517,9.9696,0.5088,0.2121,11.2328,10.1673
37,237.2,14,1,44.0598,154.7228,2.827,0.2444,0.0729,11.0041,3.305
38,275.8805,16,1,52.6653,192.5785,4.9033,0.2006,0.0856,11.1637,3.5883
39,2011.5658,129,1,375.3911,1327.3208,44.3276,1.9222,0.8128,11.3943,32.4571
40,486.2882,30,1,89.0254,318.1705,6.2599,0.3122,0.1592,11.2729,6.7527
41,1491.4659,94,5,274.1892,949.1014,18.7436,0.9633,0.4929,56.1976,21.19
42,266.3472,16,1,50.5691,184.5341,3.5864,0.254,0.0895,11.2981,3.5766
43,62.6896,3,0,11.1319,41.096,0.7899,0.0208,0.014,0.0025,0.6747
44,29.4597,1,0,6.1703,23.8314,0.3036,0.0069,0.006,0.0009,0.2383
45,2007.5973,125,5,373.7468,1332.1086,26.436,1.515,0.6764,55.6977,28.7731
46,156.0178,9,0,30.3351,106.5628,1.8268,0.0894,0.0489,0.0101,2.1247
47,32.1879,1,0,6.0941,25.0811,0.2429,0.0044,0.0059,0.0017,0.2011
48,266.5331,16,1,53.052,169.2208,3.0694,0.2999,0.0872,11.3661,4.3846
49,1553.7779,96,4,296.093,999.8725,30.7866,1.1957,0.5401,46.6149,21.7812
50,109.4826,5,0,22.2261,65.4627,1.536,0.0493,0.0284,0.007,1.0858
51,394.6076,22,1,73.6873,255.8372,8.5405,0.3209,0.2008,11.4243,6.5539
52,92.5286,5,0,17.4738,58.0042,7.116,0.2162,0.0262,0.0061,2.6245
53,2011.0816,128,2,374.575,1352.4631,47.7182,1.6576,0.7716,22.8941,30.5028
54,2012.76,124,6,385.6402,1331.9745,37.3288,1.6331,0.6836,66.843,27.6495
55,2003.9682,127,5,374.5699,1304.8259,22.9749,1.291,0.673,57.489,28.1653
56,92.2964,5,0,17.7616,53.8168,0.8575,0.0468,0.0286,0.0057,1.1526
57,31.8591,1,0,6.0222,17.1269,0.6233,0.0076,0.0048,0.0008,0.2032
58,61.8833,3,0,11.5015,48.2296,0.4785,0.0539,0.0158,0.0031,0.7041
59,34.4493,1,0,6.1922,22.9217,0.1915,0.004,0.005,0.0009,0.2518
60,486.4181,29,2,92.2785,336.1806,5.9935,0.3018,0.1582,22.4768,6.0193
61,62.4514,3,0,11.6073,37.1297,0.8724,0.0266,0.015,0.0041,0.684
62,33.4684,1,0,5.5968,18.781,0.4633,0.0069,0.0053,0.0012,0.2263
63,75.7678,4,0,16.1818,48.4741,1.53,0.0339,0.0207,0.0049,0.8808
64,124.3559,7,0,25.1086,91.8148,1.3591,0.0834,0.0387,0.0091,1.6796
65,2009.6333,128,4,377.3968,1267.9197,46.5713,1.6801,0.7038,45.2314,31.632
66,61.6228,3,0,10.815,40.5272,0.9686,0.0268,0.0118,0.0033,0.6282
67,45.3082,2,0,8.6627,36.4713,0.5426,0.0152,0.0117,0.0021,0.49
68,1070.2751,67,4,197.0622,666.5404,15.731,0.9232,0.3508,44.5593,14.5727
69,1383.485,86,5,258.481,846.834,18.7702,1.5886,0.4615,56.5366,19.7547
70,487.3703,29,2,90.4023,289.3326,5.8096,0.2946,0.1606,22.3253,6.8799
71,142.7382,7,0,26.5913,90.304,1.6455,0.0734,0.0386,0.0081,1.473
72,2007.3525,128,0,380.8901,1255.0554,25.9178,1.6211,0.6783,0.1534,29.5438
73,2012.0067,128,0,375.8502,1267.6834,30.2196,1.6364,0.6708,0.1537,29.4285
74,2008.5481,128,3,380.0849,1258.5397,44.1505,1.7455,0.7008,33.7831,27.9851
75,79.4569,4,0,14.7766,46.2614,0.7731,0.0392,0.0219,0.0048,0.8037
76,32.9563,1,0,5.5792,23.4699,0.2264,0.0053,0.0052,0.0013,0.2378
77,1820.4686,114,3,333.283,1175.494,26.7697,1.3931,0.6138,33.7085,26.6572
78,75.0149,4,0,15.7401,51.9141,0.9989,0.0336,0.0228,0.0046,0.9291
79,33.2181,1,0,5.6101,22.7549,0.3642,0.0087,0.0052,0.0012,0.2214
80,1995.7008,126,2,376.6071,1277.2377,32.5474,1.5938,0.6688,22.6476,29.0326
81,404.19,25,1,75.3076,278.0735,5.7093,0.3334,0.1335,11.6688,5.5721
82,67.1376,3,0,11.3333,38.2276,0.6545,0.0405,0.0163,0.0029,0.6659
83,324.8361,20,2,65.8376,211.3467,11.6233,0.4601,0.1104,22.6704,4.4083
84,1441.3622,90,3,272.9201,930.0734,22.1436,1.0737,0.4679,33.383,20.2595
85,972.6027,60,3,185.6111,645.538,24.5086,0.8716,0.3979,33.1145,14.6833
86,109.7678,6,0,20.1608,60.2008,1.5415,0.0584,0.0338,0.0074,1.2179
87,783.937,46,2,147.0939,539.2844,12.0157,0.4763,0.2478,22.2011,10.2606
88,2011.9651,127,5,375.5718,1339.7854,32.8693,1.9139,0.6746,55.5815,29.2413
89,2012.5873,128,3,374.3285,1330.8586,44.4068,1.5128,0.6952,33.7353,29.8507
90,62.303,3,0,12.3266,42.1492,0.7989,0.0311,0.0159,0.003,0.6629
91,29.3904,1,0,5.9142,23.3728,0.2559,0.0046,0.0054,0.0012,0.3687
92,220.561,13,1,40.8993,155.6997,2.7997,0.2462,0.0816,10.9956,2.7292
93,78.1181,4,0,14.7597,57.5208,1.0318,0.0353,0.0232,0.0043,0.8979
94,2008.9087,127,5,376.4578,1269.7541,28.6981,1.4765,0.6668,56.3442,28.5681
95,1429.3678,90,1,261.1639,922.9268,24.4716,1.2692,0.4782,11.5156,21.4448
96,294.115,18,1,59.4399,191.3474,4.5315,0.1928,0.1083,11.2579,4.4621
97,126.6174,7,0,20.4415,82.0733,5.1937,0.4558,0.0386,0.0087,2.1579
98,32.9103,1,0,4.888,17.4761,0.8887,0.0082,0.0046,0.001,0.2547
99,125.7198,6,0,21.9215,81.458,3.6523,0.0822,0.0346,0.0074,2.2876
100,29.5102,1,0,5.3644,22.5799,0.6477,0.0077,0.005,0.001,0.1887
101,707.4149,43,3,117.7288,410.0753,34.7065,0.5445,0.3893,33.9932,9.9296
102,714.6942,45,2,116.7405,422.553,23.2557,0.576,0.2785,23.1392,10.514
103,961.1736,59,3,160.4487,593.6506,39.8422,0.9212,0.7412,33.4823,15.5498
104,124.4786,7,0,19.9843,75.7568,2.349,0.0692,0.0372,0.0081,1.6776
105,28.6699,1,0,5.3291,17.5905,0.9323,0.0065,0.0049,0.0011,0.1941
106,157.6482,8,0,25.495,100.0347,3.8544,0.0841,0.0454,0.0108,1.7092
107,32.4524,1,0,4.9208,13.0446,0.3236,0.0054,0.0047,0.001,0.2245
108,2014.005,128,4,346.4918,1236.8749,99.5826,1.6397,0.835,45.5957,29.9088
109,400.877,24,1,69.3629,267.7355,14.6651,0.3154,0.1392,11.408,5.4571
110,828.6178,52,2,144.1749,551.7863,37.2471,0.6463,0.3087,22.5007,12.371
111,1208.0039,75,4,228.114,774.8017,51.8105,1.0361,0.4333,46.0492,16.5955
112,157.6955,9,0,31.5625,118.0038,4.3335,0.1622,0.0527,0.0115,2.1881
113,33.0396,1,1,5.5767,23.1516,0.256,0.0059,0.0058,11.2771,0.1456
114,2005.3879,128,7,390.9693,1389.7903,91.3847,2.1811,0.7514,79.3276,31.2088
115,57.0523,3,0,12.4967,38.0283,5.6181,0.1278,0.0169,0.0038,0.6551
116,945.1313,58,4,181.2667,609.916,46.48,0.8037,0.3531,44.4832,15.6712
117,309.2702,19,1,63.0937,216.3525,6.3007,0.3175,0.1024,11.4985,4.7962
118,2007.7221,128,3,390.0954,1339.5401,91.2517,2.1395,0.779,34.3778,32.6623
119,1882.1404,119,5,336.2046,1195.2546,38.9678,1.8728,0.7426,56.6457,28.9792
120,742.1665,46,2,142.261,485.3144,15.7881,0.5602,0.2489,22.012,10.3414
121,528.8716,33,2,99.6084,340.2915,11.9432,0.427,0.1748,22.4536,7.2725
122,125.3254,7,0,27.8702,69.8878,2.0902,0.1181,0.0368,0.008,1.5871
123,157.4507,9,1,29.1071,93.7481,2.1366,0.0868,0.0467,11.6873,1.9343
124,2008.361,128,5,381.0254,1251.6798,56.2768,1.532,0.7055,55.8441,30.9264
125,2008.4863,127,5,379.9217,1304.2808,72.8201,1.7214,0.6809,56.4658,29.319
126,79.3236,4,0,14.4054,48.2138,0.7764,0.0398,0.0207,0.0057,0.9764
127,37.6146,1,0,6.3534,20.6749,0.2807,0.0054,0.0063,0.0015,0.2442
128,132.4666,8,0,27.7671,100.2754,12.4806,0.1261,0.0439,0.0098,2.0395
129,29.2148,1,0,5.9195,21.5542,0.2473,0.0049,0.0061,0.0011,0.2063
130,158.935,7,1,30.5158,101.6157,2.4144,0.071,0.0384,11.2515,1.4472
131,108.3296,6,0,21.6635,68.1578,1.6676,0.0567,0.0324,0.0067,1.3845
132,33.5581,1,0,6.373,13.8894,0.3636,0.0076,0.0049,0.0011,0.1827
133,128.5483,7,0,24.0393,89.7604,2.2114,0.0686,0.0361,0.0076,1.4866
134,32.2769,1,0,5.7677,17.1396,0.3261,0.0065,0.0065,0.001,0.2062
135,109.1367,6,0,22.0136,65.5079,2.4324,0.0666,0.0365,0.0064,1.5401
136,37.5399,1,0,5.6976,17.2782,0.23,0.0043,0.0056,0.0011,0.2219
137,84.2461,5,0,19.4136,58.6078,4.1988,0.05,0.0293,0.0058,1.0747
138,2011.6263,127,4,375.6793,1278.918,62.242,2.0792,0.7901,44.6655,30.1924
139,2003.7577,128,4,372.3484,1215.2667,47.3504,1.6342,0.7191,45.3269,28.7553
140,59.9744,3,0,12.2819,37.375,1.243,0.0326,0.0166,0.0034,0.8803
141,6055.1514,2,0,9.3183,32.5764,0.7379,0.0156,0.0137,0.0021,0.5777
142,2666.6049,2,0,2097.6255,9192.9213,2.5558,0.0305,0.0118,0.0022,0.4326
