metric,mean,median,p95,p99,max,min
lock_to_click_ms,280.5761,199.1604,771.1464,892.8033,902.2555,10.971
fps,66.8654,65.0542,84.7351,90.8097,91.1494,57.4872
grab_ms,2.4129,2.5155,2.8375,3.3219,3.371,0.0
yolo_ms,9.2914,9.9439,12.7842,13.4331,14.4921,0.0
select_ms,0.2966,0.2029,0.7343,1.1444,1.6234,0.1023
mouse_ms,0.0107,0.0103,0.0152,0.0197,0.0298,0.0066
pid_ms,0.0056,0.0053,0.007,0.0096,0.0111,0.0043
align_click_ms,0.0016,0.0017,0.0024,0.0028,0.0028,0.0
move_ms,0.2746,0.2228,0.4811,1.1082,2.2109,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,5,6.94
25~50,3,4.17
50~100,11,15.28
100~250,23,31.94
250~500,19,26.39
500~1000,11,15.28
>1000,0,0.0
