life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,3861.2012,29,0,2719.8931,12676.4672,15.6502,0.7287,0.1874,0.0462,11.1651
2,9922.7759,4,0,5470.964,24789.3098,3.4767,0.0611,0.0204,0.0056,1.3998
3,57.5915,7,0,36.5743,158.3341,3.3365,0.1943,0.0393,0.0104,2.1493
4,2001.5816,399,0,1266.8932,4856.6391,173.7104,18.7115,1.7854,0.4233,174.7866
5,2004.6879,407,0,1245.7703,5002.3598,154.6657,9.8958,1.5915,0.355,133.1922
6,2004.2963,455,0,1286.4457,5185.4552,188.3265,5.6103,1.7565,0.4066,134.08
7,2006.9294,441,0,1389.3962,5591.6804,179.614,8.2682,1.9439,0.3809,112.7727
8,18841.5232,207,0,718.751,3233.9102,91.6919,4.3628,1.2258,0.2547,69.2916
9,94.6658,5,0,32.083,115.0809,4.0442,0.2021,0.0256,0.0058,1.7034
10,36.2366,3,0,12.5834,84.3118,1.2374,0.0297,0.0157,0.0036,0.8913
11,130.0517,16,0,70.1816,326.4888,11.6591,0.1955,0.0907,0.0207,5.1229
12,594.2267,1,0,125.1264,824.8369,0.3832,0.0056,0.0056,0.0013,0.4123
13,43.2855,2,0,9.79,64.4302,0.9539,0.0559,0.0112,0.0025,0.3556
14,31.9589,1,0,6.0958,37.9958,0.5812,0.0061,0.005,0.0009,0.1643
15,94.8004,1,0,19.5233,130.8599,0.7976,0.0059,0.0043,0.0012,0.2353
16,92.1055,5,0,18.3993,159.3707,2.0278,0.0492,0.0246,0.0062,1.6309
17,33.4535,1,0,6.3108,65.1254,0.4416,0.0046,0.0045,0.0011,0.2748
18,34.1217,1,0,6.3369,44.124,0.2711,0.0054,0.0059,0.0011,0.3063
19,74.4579,4,0,16.32,115.6037,1.8093,0.0496,0.0223,0.0053,1.2419
20,33.2297,1,0,7.3828,35.9809,0.3283,0.0054,0.0045,0.0012,0.2206
21,50.3512,2,0,10.3463,58.6824,0.9122,0.0254,0.0091,0.0564,0.3704
22,340.6296,21,1,73.87,474.0428,9.301,0.5847,0.1219,13.6087,6.3648
23,112.5113,6,0,22.3794,154.4764,2.7654,0.1141,0.0321,0.0079,2.0176
24,29.7793,1,0,7.5503,37.8712,0.3325,0.0067,0.005,0.0018,0.3982
25,106.5431,6,0,22.5005,178.5973,2.6774,0.1416,0.0644,0.0077,1.9057
26,33.793,1,0,7.8567,38.1324,0.5026,0.0144,0.0051,0.0008,0.3261
27,186.2121,11,1,42.9912,230.8082,4.5412,0.1208,0.062,11.7811,4.3258
28,79.763,4,0,17.132,106.9704,1.2594,0.0544,0.0217,0.0047,1.5247
29,28.7513,1,0,6.7191,42.8022,0.3922,0.006,0.0059,0.0013,0.35
30,79.7724,4,0,16.1448,110.8357,1.5821,0.041,0.0227,0.0045,1.429
31,33.1336,1,0,6.9867,41.3295,0.714,0.0053,0.0048,0.001,0.272
32,62.6896,3,0,13.482,88.3336,0.8872,0.0282,0.0142,0.0034,1.0231
33,124.9246,7,0,26.1059,175.859,2.4379,0.0957,0.041,0.0083,2.3705
34,91.0995,5,0,19.8791,131.4035,2.0761,0.0499,0.0279,0.0058,1.658
35,644.3188,2,0,129.4122,820.7504,1.3667,0.0171,0.0102,0.0025,0.5972
36,108.5754,5,0,20.9991,153.1729,1.8686,0.0556,0.0307,0.0084,1.4257
37,47.4502,2,0,9.2173,69.5065,0.8964,0.0168,0.0114,0.0022,0.6753
38,94.216,5,0,19.4976,127.8727,2.7975,0.0547,0.0288,0.0077,1.6888
39,49.4062,2,0,8.496,68.697,0.6489,0.0189,0.0122,0.0024,0.6865
40,75.7529,4,0,16.1661,98.723,1.5011,0.0363,0.0233,0.0054,1.2612
41,95.8445,4,0,18.6816,129.448,1.3668,0.0412,0.0233,0.0055,1.1343
42,471.9996,29,2,96.3294,612.7162,12.2954,0.518,0.1849,23.1454,9.7154
43,78.0179,4,0,16.2771,111.8781,1.9971,0.0614,0.0219,0.0042,1.7928
44,323.6923,19,1,67.5773,455.1743,8.8399,0.4244,0.1114,11.7553,6.1254
45,79.8892,4,0,17.7274,100.0449,2.1736,0.0401,0.021,0.0043,1.312
46,45.6416,2,0,12.442,51.9539,0.9827,0.1039,0.0106,0.0022,0.6795
47,83.245,4,0,14.7013,114.8405,1.8353,0.0467,0.0227,0.0056,1.4962
48,200.3453,11,1,46.5205,275.5888,4.6198,0.1728,0.0606,12.1811,3.1485
49,64.0302,3,0,15.4533,83.7961,1.6369,0.0432,0.0204,0.0041,0.9437
50,126.7501,7,0,26.4388,166.8408,8.642,0.1136,0.0365,0.0314,3.0224
51,77.0801,4,0,21.0067,105.7194,1.3125,0.0509,0.0241,0.0047,1.5763
52,43.2114,2,0,9.3749,62.9437,0.5985,0.017,0.0119,0.0028,0.6326
53,78.4445,4,0,20.491,98.2484,2.663,0.0455,0.0202,0.0039,1.357
54,46.8041,2,0,11.5055,62.6947,0.6619,0.0225,0.012,0.0024,0.6192
55,49.9064,2,0,9.6157,71.1396,1.1832,0.0246,0.0133,0.0019,0.7244
