metric,mean,median,p95,p99,max,min
lock_to_click_ms,201.0375,153.4,520.1564,672.4578,702.718,11.0368
fps,66.5522,65.2736,84.0238,90.5106,90.606,55.2068
grab_ms,2.6725,2.8045,3.19,3.4119,3.6732,0.0
yolo_ms,9.2174,9.9997,12.2226,13.5213,13.5586,0.0
select_ms,0.2172,0.1697,0.4616,0.515,0.568,0.099
mouse_ms,0.0119,0.0098,0.0139,0.0768,0.0879,0.0044
pid_ms,0.0052,0.0051,0.0063,0.0083,0.0117,0.0035
align_click_ms,0.0014,0.0014,0.0021,0.0022,0.0023,0.0
move_ms,0.2198,0.2179,0.3406,0.3996,0.4491,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,4,6.06
25~50,1,1.52
50~100,12,18.18
100~250,34,51.52
250~500,11,16.67
500~1000,4,6.06
>1000,0,0.0
