life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,49.044,2,0,9.3181,28.6614,1.0845,0.0173,0.0297,0.0152,0.3289
2,1079.1361,68,4,204.0459,651.7375,14.584,0.983,0.3502,49.0615,15.3759
3,267.0476,16,1,53.2076,182.8882,3.469,0.1905,0.0865,11.2603,3.3295
4,61.5203,3,0,11.1084,40.8922,0.824,0.0257,0.0159,0.0035,0.6636
5,29.9491,1,0,5.6043,20.3268,0.1912,0.0033,0.0038,0.0008,0.3389
6,907.7298,14,1,171.1147,532.6159,2.8085,0.1915,0.0692,11.1758,3.1172
7,49.8497,2,0,7.997,30.928,0.4303,0.0143,0.0101,0.002,0.4124
8,233.5954,13,1,42.2886,139.6012,3.7293,0.1139,0.0632,11.1249,2.6197
9,112.0843,6,1,19.8095,72.2422,1.388,0.051,0.0306,11.6153,1.2313
10,387.5086,2,0,73.631,248.2775,0.7563,0.0136,0.0089,0.0025,0.3953
11,32.9563,1,0,5.5566,24.4365,0.2802,0.0051,0.0045,0.0011,0.2096
12,425.038,25,2,76.5163,260.3732,6.2294,0.6129,0.1271,22.3927,5.1086
13,878.8675,26,1,159.1569,556.6644,5.6025,0.3362,0.1345,11.0424,5.1077
14,28.9961,1,0,6.0322,19.5676,0.2827,0.0053,0.0052,0.0015,0.2364
15,33.6643,1,0,5.8409,17.257,0.192,0.0086,0.0056,0.0009,0.1892
16,75.9327,4,0,14.1882,55.0246,1.071,0.0298,0.0183,0.005,0.7655
17,31.7253,1,0,5.3563,19.7543,0.2721,0.0053,0.0054,0.0014,0.2778
18,346.1683,21,2,63.7562,216.7078,5.1823,0.2331,0.1103,22.6577,4.3124
19,61.9203,3,0,11.2176,38.8266,0.8653,0.0243,0.0147,0.0035,0.6751
20,29.9576,1,0,5.7277,16.9936,0.1947,0.0034,0.0044,0.0007,0.2775
21,895.629,25,1,160.6066,569.3632,4.718,0.2237,0.1252,11.4764,5.2062
22,120.8399,6,0,22.5931,84.0615,0.9075,0.0443,0.0279,0.006,1.2502
23,146.1671,8,0,26.4065,86.723,1.4726,0.0679,0.04,0.0104,2.1277
24,736.1204,25,2,132.8616,454.0936,4.444,0.2196,0.1235,22.5968,5.3231
25,59.5109,3,0,11.417,44.8438,0.8427,0.0222,0.0152,0.0034,0.533
26,78.1201,4,0,14.0312,48.5957,1.024,0.0306,0.0187,0.0047,0.8377
27,33.2612,1,0,5.5952,18.4073,0.4421,0.0061,0.0047,0.0011,0.2004
28,407.928,25,2,72.4926,252.3411,4.7768,0.2722,0.1245,22.3938,5.3837
29,45.6098,1,0,8.5214,30.3352,0.4837,0.0069,0.0059,0.0012,0.2363
30,62.6499,3,0,11.6418,44.2569,0.4741,0.023,0.0138,0.0027,0.6867
31,28.9693,1,0,5.5288,18.5075,0.2818,0.0052,0.0044,0.0012,0.2142
32,537.2308,30,2,100.6748,349.8095,5.857,0.3163,0.152,22.0523,6.6624
33,547.0211,8,1,101.967,336.3087,1.9985,0.2767,0.0445,11.4419,1.5907
34,62.0511,3,0,11.5978,42.3809,1.0722,0.2566,0.0169,0.0031,0.7322
35,32.4683,1,0,5.9947,19.0693,0.5083,0.0048,0.0049,0.0011,0.177
36,62.4932,3,0,11.754,41.0442,0.7762,0.024,0.0133,0.0027,0.6703
37,28.8232,1,0,5.5804,17.8737,0.3113,0.0054,0.0054,0.0011,0.1807
38,253.9279,15,1,47.5672,156.9112,3.5246,0.1704,0.0702,11.3638,2.7681
