hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,131.2747,9,68.5585,2.8507,29.2797,0.2299,0.0099,0.0053,0.0008,0.1951
2,400.6362,26,64.8968,2.7426,34.2481,0.3553,0.017,0.0057,0.0012,0.2279
3,11.2106,1,89.2013,0.0,0.0,0.6186,0.0073,0.0068,0.0,0.0
4,282.1844,18,63.7881,4.0047,25.4741,0.443,0.0327,0.0055,0.0009,0.1833
5,611.763,39,63.7502,2.7414,19.8267,0.457,0.043,0.006,0.0011,0.6476
6,907.8545,58,63.8869,2.9196,23.7088,0.6083,0.041,0.0046,0.0009,0.2093
7,371.7772,24,64.5548,2.4001,23.1773,0.2223,0.0085,0.0048,0.0012,0.1913
8,341.1486,22,64.488,2.6249,24.457,0.1676,0.027,0.0069,0.0011,0.1797
9,657.6414,42,63.8646,2.7941,33.1076,0.5005,0.0094,0.0045,0.0012,0.2481
10,971.5634,62,63.8147,2.6387,30.7297,0.8481,0.0101,0.006,0.001,0.2327
11,1349.2904,86,63.7372,2.7549,33.8045,0.2961,0.0117,0.0066,0.0011,0.1996
12,152.9,10,65.4022,2.8681,31.8773,0.4742,0.0128,0.0058,0.0017,0.2764
13,448.6786,29,64.6342,2.7768,27.0341,0.34,0.01,0.0046,0.0013,0.219
14,233.1278,15,64.3424,2.712,33.5591,0.4327,0.0141,0.0069,0.0014,0.1969
15,493.7547,31,62.7842,3.9596,31.6235,3.3005,0.0185,0.0056,0.0022,0.2293
16,205.3525,13,63.3058,2.7287,33.2249,0.343,0.012,0.0065,0.0011,0.2202
17,11.0673,1,90.3563,0.0,0.0,0.6368,0.0065,0.0061,0.0,0.0
18,262.6773,17,64.7182,3.6853,28.8512,0.5947,0.0769,0.0056,0.0012,0.1937
19,590.5521,38,64.3466,2.8771,33.1604,0.1905,0.01,0.0076,0.001,0.2317
20,888.7906,57,64.1321,2.323,34.1433,0.4541,0.0094,0.0052,0.0009,0.2047
21,12.0062,1,83.2903,0.0,0.0,0.4406,0.0253,0.0062,0.0,0.0
22,313.6499,20,63.7654,2.6909,26.768,0.3939,0.0105,0.0061,0.0013,0.2625
23,577.8766,37,64.0275,2.8477,29.3503,0.3551,0.0091,0.0058,0.0009,0.2281
24,841.6258,53,62.9734,3.2687,31.1008,0.4674,0.0126,0.0065,0.0013,0.2651
25,1245.4972,79,63.4285,2.7316,31.9428,0.4111,0.0098,0.0047,0.0013,0.2623
26,1498.4303,95,63.3997,3.0491,29.3992,0.3593,0.0119,0.0067,0.0015,0.22
27,1875.5911,119,63.4467,4.7647,22.3381,0.4273,0.0118,0.0063,0.001,0.1752
28,18.4071,2,108.6537,2.8682,46.4404,0.3308,0.009,0.0056,0.0011,0.1686
29,142.7726,9,63.0373,3.3155,31.9879,0.14,0.0099,0.0051,0.0011,0.2303
30,120.3415,8,66.4775,3.693,29.7467,0.3021,0.02,0.0049,0.0012,0.2357
31,373.8825,24,64.1913,3.1119,29.687,0.4553,0.0098,0.0053,0.001,0.2322
32,644.4403,41,63.6211,3.6365,30.0329,0.128,0.012,0.0054,0.002,0.1908
33,900.4486,57,63.3018,3.0061,32.3363,5.2853,0.0139,0.0072,0.0013,0.1635
34,1160.8828,74,63.7446,3.5085,29.6042,0.4391,0.0122,0.0066,0.0022,0.2058
35,1427.7207,91,63.738,3.1284,31.8169,0.4095,0.0095,0.0046,0.0013,0.1818
36,1689.9593,108,63.9069,3.2595,29.6768,0.1605,0.0107,0.0059,0.0023,0.2198
37,1944.5518,124,63.7679,3.1443,32.0643,0.4405,0.0102,0.0059,0.0019,0.2531
38,185.8454,12,64.5698,3.457,32.3891,0.2204,0.0095,0.0094,0.0016,0.1539
39,452.4844,29,64.0906,3.3301,34.2393,0.2705,0.0118,0.0074,0.0021,0.1909
40,701.7112,45,64.1289,3.0371,33.7177,0.3648,0.0127,0.0055,0.0021,0.2281
41,956.6822,61,63.762,3.3385,32.6764,0.2681,0.0093,0.0046,0.0018,0.1591
42,1209.1537,77,63.6809,4.3298,31.7116,0.6414,0.0145,0.0064,0.0019,0.1516
43,1473.5458,94,63.7917,3.2015,30.5756,0.4225,0.01,0.0053,0.0018,0.2543
44,180.1321,12,66.6178,3.1903,34.0859,0.8717,0.011,0.0054,0.0012,0.211
45,166.2222,11,66.1765,3.5518,29.4939,1.0442,0.0091,0.0043,0.0009,0.2064
46,419.6103,27,64.3454,3.1857,32.5673,0.4029,0.011,0.0063,0.0009,0.184
47,730.8644,47,64.3074,2.4798,28.8912,0.3687,0.0176,0.0055,0.0012,0.6802
48,186.5072,12,64.3407,2.7459,30.4182,0.4686,0.0128,0.0059,0.0014,0.1841
49,120.7019,8,66.279,2.8304,30.5656,0.6368,0.0122,0.0056,0.0014,0.2871
50,389.6224,25,64.1647,2.9741,26.0785,0.3476,0.0114,0.0044,0.0021,0.2131
51,637.8368,41,64.2798,2.8224,35.0949,0.3873,0.011,0.0055,0.0017,0.1703
52,903.595,58,64.188,2.7047,32.6306,0.1521,0.0089,0.0054,0.0012,0.0947
53,1156.7225,74,63.9739,2.806,31.6245,0.1939,0.0087,0.0041,0.0018,0.1672
54,1423.8353,91,63.9119,3.0555,29.4306,0.271,0.0095,0.0057,0.0017,0.2156
55,1675.077,107,63.8777,3.1996,28.1059,0.57,0.0291,0.0067,0.0014,0.219
56,1931.7851,123,63.6717,4.7109,31.3729,0.3509,0.016,0.0091,0.0019,0.2154
57,186.2742,12,64.4212,2.9186,31.1733,0.3888,0.0145,0.0079,0.0014,0.2744
58,448.7185,29,64.6285,3.0688,29.1705,0.1519,0.0107,0.0053,0.0014,0.1806
59,702.6212,45,64.0459,3.022,31.2121,0.6162,0.011,0.006,0.0016,0.4314
60,952.4284,61,64.0468,2.699,30.1553,0.348,0.014,0.0068,0.0018,0.1394
61,1218.799,78,63.9974,2.8454,29.6823,0.4115,0.0105,0.0061,0.0019,0.1283
62,1484.9779,95,63.974,2.86,29.7093,0.1726,0.0099,0.0055,0.0016,0.1476
63,172.944,11,63.6044,2.7432,34.1159,0.5876,0.0093,0.0046,0.0015,0.2004
64,622.8169,40,64.2243,2.8457,31.4771,0.3681,0.0218,0.0063,0.0012,0.2479
65,153.4522,10,65.1669,2.5686,32.8986,0.4421,0.0313,0.0056,0.001,0.2103
66,198.9146,13,65.3547,2.8039,28.8404,0.2539,0.0249,0.0064,0.0008,0.1933
67,619.2739,39,62.977,5.5562,30.5746,5.3423,0.0151,0.0062,0.0008,0.2952
68,873.5059,56,64.1095,2.8378,30.8445,0.1449,0.0087,0.0058,0.0023,0.2599
69,1129.2377,72,63.7598,3.01,32.9858,0.492,0.0108,0.0057,0.0021,0.2858
70,1394.4904,89,63.8226,2.9391,29.5419,0.1678,0.0105,0.0062,0.0017,0.245
71,1645.4637,105,63.8118,2.7971,28.4922,0.3913,0.0089,0.0061,0.0015,0.2552
72,1899.8959,121,63.6877,2.7216,24.1838,0.4845,0.0105,0.0055,0.0015,0.3218
73,11.145,1,89.7263,0.0,0.0,0.8884,0.007,0.0058,0.0,0.0
74,11.2959,1,88.5277,0.0,0.0,1.8517,0.0066,0.0047,0.0,0.0
75,148.3626,10,67.4024,2.9621,29.2245,0.3612,0.0109,0.0062,0.0011,0.2451
76,416.4689,27,64.8308,2.8772,30.707,0.2488,0.1031,0.0058,0.001,0.2551
77,681.8,44,64.5351,2.5237,31.2567,0.4587,0.0093,0.0056,0.0015,0.1851
