hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,97.3999,7,71.8687,3.371,8.8983,0.1995,0.0156,0.0071,0.0013,2.2109
2,102.648,7,68.1942,2.5128,9.5013,0.1709,0.011,0.0052,0.0019,0.2278
3,106.2121,7,65.9059,2.4638,11.5921,0.1023,0.0085,0.005,0.0018,0.346
4,360.9111,23,63.7276,2.4696,11.1646,0.2458,0.0104,0.0049,0.0019,0.2102
5,10.971,1,91.1494,0.0,0.0,0.5241,0.0066,0.005,0.0,0.0
6,232.2754,15,64.5785,2.5196,11.791,0.5047,0.0122,0.0052,0.0018,0.2589
7,498.9579,32,64.1337,2.4301,7.0142,0.6688,0.0153,0.0062,0.0019,0.192
8,85.7805,6,69.946,2.583,11.2516,0.3713,0.01,0.0067,0.0013,0.2159
9,28.7994,2,69.4459,2.3716,12.8943,0.6057,0.0128,0.005,0.0022,0.3679
10,103.3311,7,67.7434,2.5614,11.9066,0.2061,0.009,0.0077,0.0014,0.2196
11,356.4346,23,64.528,2.4183,12.0212,0.1554,0.0106,0.0053,0.0019,0.2154
12,102.7773,7,68.1084,2.7211,11.4914,0.1245,0.0096,0.0051,0.0019,0.2321
13,366.5976,23,62.7391,3.122,9.6642,0.4647,0.0298,0.0111,0.0019,0.3845
14,186.1,12,64.4815,2.5923,8.0224,0.1729,0.0103,0.0059,0.0019,0.4017
15,107.1748,7,65.3139,2.4753,7.9134,0.1701,0.0105,0.0057,0.0013,0.5331
16,356.8683,23,64.4495,2.5202,12.0472,0.3262,0.0096,0.0056,0.0019,0.4484
17,623.7337,40,64.1299,2.3943,7.5776,0.1362,0.0105,0.006,0.0016,0.3385
18,124.7968,8,64.1042,2.5199,7.6771,0.4519,0.0154,0.0069,0.0017,0.2267
19,388.0385,25,64.4266,2.6843,10.8779,0.7741,0.0103,0.0053,0.0028,0.2639
20,640.4342,41,64.0191,2.5827,7.6812,0.13,0.0121,0.0051,0.0022,0.2135
21,902.2555,58,64.2833,2.517,10.5968,0.2434,0.0117,0.0057,0.0026,0.2155
22,203.0239,13,64.0319,2.6142,7.8045,0.1665,0.009,0.0051,0.0014,0.2233
23,231.6871,15,64.7425,2.6492,9.9533,0.4399,0.0106,0.0057,0.0024,0.2198
24,498.9969,32,64.1287,2.6764,11.2011,0.1464,0.0091,0.0046,0.002,0.2014
25,873.1332,56,64.1368,2.6381,10.9097,0.2388,0.0112,0.0052,0.0017,0.1992
26,208.304,13,62.4088,2.4783,6.9386,0.2259,0.0111,0.005,0.0017,0.3212
27,465.1479,30,64.4956,2.3877,13.0006,0.1173,0.0096,0.0047,0.0016,0.1805
