metric,mean,median,p95,p99,max,min
lock_to_click_ms,151.9908,114.674,365.1611,381.9627,385.4388,11.4524
fps,65.3605,64.8999,81.7902,87.0237,87.3179,53.4437
grab_ms,2.4382,2.6231,3.138,3.2611,3.2814,0.0
yolo_ms,9.3194,10.3381,12.8781,13.3605,13.4517,0.0
select_ms,0.3102,0.2339,0.5838,1.5326,1.9431,0.1025
mouse_ms,0.0122,0.0099,0.0194,0.06,0.0773,0.0062
pid_ms,0.0056,0.0054,0.0068,0.0096,0.0107,0.004
align_click_ms,0.0022,0.0013,0.0026,0.0197,0.0274,0.0
move_ms,0.2558,0.2253,0.5569,0.7757,0.7989,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,3,9.38
25~50,0,0.0
50~100,6,18.75
100~250,17,53.12
250~500,6,18.75
500~1000,0,0.0
>1000,0,0.0
