life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,859.3292,5,0,341.8037,971.1573,8.7359,0.1082,0.0416,0.0109,1.5634
2,282.7766,17,1,55.4304,189.5112,19.4697,0.2052,0.0915,14.5243,4.4504
3,75.4349,4,0,14.2524,51.0593,1.6848,0.0407,0.0214,0.0052,0.7754
4,196.0378,11,1,34.7749,118.7458,11.7941,0.1093,0.0623,11.3931,3.0237
5,74.1813,4,0,15.4994,51.9111,7.2493,0.044,0.0249,0.0066,1.031
6,144.5599,8,0,24.6706,97.9913,14.184,0.0782,0.05,0.0123,1.8996
7,26.6426,1,0,5.4867,22.8473,1.1666,0.0077,0.0061,0.0021,0.6511
8,78.8654,4,0,14.8376,56.1446,1.5003,0.0364,0.0229,0.0057,1.0034
9,32.5601,1,0,6.0345,22.7542,0.3224,0.0058,0.0052,0.0014,0.2482
10,63.2326,3,0,11.4045,40.5409,4.4349,0.3094,0.0962,0.0045,1.4441
11,27.0508,1,0,5.7483,22.3848,0.5436,0.0071,0.0054,0.0016,0.2019
12,456.1823,28,2,87.7194,307.1831,18.5422,0.4205,0.1602,21.9646,6.8274
13,291.7422,16,1,53.4733,193.8452,6.6882,0.1573,0.0867,14.7693,4.0863
14,111.5954,3,0,18.9959,68.2878,5.8672,0.0252,0.0144,0.0054,0.6803
15,38.5565,1,0,9.0615,30.9226,8.1538,0.0122,0.0061,0.0021,0.1948
16,265.875,1,0,51.6337,173.225,0.652,0.0095,0.0052,0.0014,0.6747
17,27.3075,1,0,5.8238,21.9647,0.9005,0.0074,0.0064,0.0012,0.1834
18,32.4816,1,0,5.4852,24.7441,0.3529,0.0071,0.0045,0.0015,0.186
19,29.0279,1,0,5.6061,17.4622,0.295,0.0074,0.0063,0.002,0.2309
20,333.7568,19,1,66.1924,205.2983,23.815,0.2423,0.106,11.1565,3.7219
21,92.0333,4,0,17.5762,63.0276,10.9067,0.0363,0.0233,0.0059,0.7697
22,442.9801,26,2,80.7663,302.1923,23.7127,0.8372,0.1793,21.7569,5.9675
23,76.7554,4,0,14.2509,53.1736,4.0748,0.0311,0.0201,0.0054,0.7511
24,314.6391,19,1,58.8962,209.2308,15.4626,0.2006,0.1027,11.0855,4.6909
25,60.2632,3,0,12.1223,42.6428,1.26,0.0256,0.0153,0.0044,0.5993
26,33.1638,1,0,6.469,18.5808,0.2287,0.0056,0.0043,0.0016,0.2945
