hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,185.4664,11,59.3099,3.2018,11.9565,0.1381,0.012,0.0058,0.0014,0.1602
2,528.7602,34,64.3014,2.909,7.4228,0.6794,0.0101,0.0055,0.0011,0.2922
3,72.6783,5,68.7963,3.5275,12.358,0.1285,0.0065,0.0043,0.0012,0.2746
4,106.7555,7,65.5704,2.8094,11.4741,0.1501,0.0117,0.0055,0.0014,0.2479
5,373.4467,24,64.2662,3.0268,7.8332,0.1899,0.0119,0.0054,0.0023,0.1939
6,624.0583,40,64.0966,2.614,11.3242,0.3345,0.01,0.0049,0.0018,0.143
7,88.6334,6,67.6946,5.0224,9.4238,0.1396,0.0103,0.006,0.0008,0.235
8,11.0733,1,90.3073,0.0,0.0,0.3442,0.0126,0.0049,0.0,0.0
9,261.4921,17,65.0115,2.5928,9.6749,0.1978,0.0149,0.0226,0.0017,0.208
10,548.7632,35,63.7798,2.7577,7.366,0.1224,0.0098,0.0046,0.0011,0.2309
11,811.4649,52,64.0816,3.0238,11.1487,0.1226,0.0098,0.0055,0.0014,0.2848
12,91.5488,6,65.5388,2.7889,11.0454,0.1674,0.0169,0.0078,0.0011,0.2987
13,369.8724,24,64.8872,3.0161,6.1768,0.1279,0.0096,0.0052,0.0013,0.1803
14,624.5206,40,64.0491,2.9284,6.594,0.1479,0.0108,0.0055,0.0012,0.1054
15,199.8167,13,65.0596,2.977,7.3756,0.9518,0.0122,0.0053,0.0015,0.2314
16,186.8176,12,64.2338,2.9775,7.9067,0.6655,0.0111,0.0067,0.0009,0.1837
17,358.3667,23,64.1801,2.8924,9.9348,0.5483,0.0113,0.0058,0.0012,0.2048
18,652.5814,41,62.8274,2.8311,7.6694,0.1257,0.0099,0.0046,0.0016,0.232
19,923.121,58,62.8303,2.8209,7.6454,0.1278,0.0103,0.0051,0.0009,0.1802
20,1189.9663,74,62.1866,2.8255,10.8854,0.2127,0.0095,0.0054,0.0011,0.2184
21,410.3795,26,63.356,2.9208,8.1585,1.4576,0.1271,0.0067,0.0011,0.1994
22,125.0413,8,63.9789,3.0609,8.289,0.3176,0.0122,0.0054,0.0012,0.2296
23,153.2283,10,65.2621,2.8087,12.3128,0.5916,0.0102,0.005,0.0018,0.2134
24,153.2762,10,65.2417,2.6375,7.2202,0.6362,0.0103,0.0055,0.0011,0.1878
25,228.5731,15,65.6245,3.8347,13.052,0.1249,0.0139,0.0051,0.0012,0.2204
26,669.3734,43,64.2392,2.8711,10.0451,0.3791,0.028,0.0056,0.0012,0.217
27,422.8398,27,63.854,2.8032,6.9886,0.1645,0.0116,0.0055,0.0011,0.176
28,215.5527,14,64.9493,2.8831,9.7629,0.4381,0.0095,0.006,0.0012,0.1647
29,478.5916,31,64.7734,3.2992,12.4595,0.6423,0.0119,0.0064,0.0013,0.2452
30,731.5244,47,64.2494,2.7985,9.6156,0.153,0.0086,0.0049,0.0017,0.2182
31,981.8973,63,64.1615,2.6673,10.6561,0.1455,0.0089,0.005,0.0018,0.2353
32,1407.0147,90,63.9652,2.7,10.7198,0.1361,0.0092,0.0055,0.0016,0.2547
33,181.8231,12,65.9982,2.8702,12.452,0.1544,0.0088,0.0054,0.0015,0.2065
34,402.6086,25,62.095,2.7568,7.1656,0.1757,0.01,0.0054,0.001,0.2015
35,652.8026,40,61.2743,2.6465,7.2192,0.1528,0.0111,0.0064,0.0019,0.1903
36,923.1425,57,61.7456,2.7984,7.3412,0.1459,0.0097,0.0057,0.0024,0.3045
37,1422.6092,89,62.5611,2.8405,11.3404,0.1097,0.0074,0.0037,0.0009,0.1736
38,1894.0046,119,62.8298,2.94,11.9845,0.4148,0.0084,0.0042,0.0012,0.2668
39,186.5225,12,64.3354,2.8144,8.0853,0.1603,0.0103,0.0055,0.002,0.3172
40,235.1914,15,63.7778,4.1134,10.9819,0.1722,0.0144,0.0074,0.0011,0.2332
41,685.4482,44,64.1916,2.7578,11.7187,0.2234,0.0104,0.005,0.0014,0.2043
42,1220.7967,77,63.0736,2.9146,10.7888,0.9009,0.0096,0.0046,0.0009,0.3103
43,1473.1321,92,62.452,2.8033,10.8956,0.1371,0.0097,0.0052,0.0015,0.1996
44,264.007,17,64.3922,2.8529,10.6799,0.1389,0.0101,0.0064,0.0018,0.2567
45,32.4537,2,61.6263,3.0893,8.0478,0.1616,0.0105,0.0051,0.0008,0.2163
46,1687.1638,107,63.42,2.8338,11.3583,0.5849,0.0121,0.0041,0.0014,0.2013
47,28.1293,2,71.1002,2.6798,10.9216,0.1425,0.0105,0.0058,0.0011,0.2435
48,304.2425,19,62.4502,3.0909,12.8464,6.9354,0.014,0.0054,0.0017,0.2202
49,562.0033,36,64.0566,3.4358,7.3695,0.1474,0.0105,0.0053,0.0019,0.2003
50,844.0003,52,61.6114,2.8413,7.9554,0.2167,0.0091,0.0054,0.0018,0.211
51,1390.4581,85,61.1309,2.6286,12.1875,0.1551,0.0094,0.0048,0.0012,0.9851
52,1644.5937,101,61.4133,2.6312,7.7835,0.2086,0.0107,0.0052,0.002,0.2367
53,290.527,19,65.3984,3.4954,12.7739,0.2118,0.009,0.0052,0.0017,0.2066
54,1233.1313,79,64.0645,3.0425,11.2834,0.148,0.0109,0.0055,0.0013,0.2
55,1498.7553,96,64.0532,2.8481,11.3396,0.1328,0.0109,0.006,0.0014,0.2227
56,1748.2735,112,64.0632,3.2066,11.4146,0.1212,0.0091,0.0047,0.001,0.5535
57,1999.546,127,63.5144,2.4638,11.1914,0.1309,0.0107,0.005,0.0012,0.1996
58,168.2572,11,65.3761,2.8226,11.984,0.2165,0.01,0.005,0.0015,0.1879
59,419.3861,26,61.9954,2.8348,9.9055,0.2044,0.0098,0.0051,0.0019,0.2107
60,561.4786,36,64.1164,3.0547,10.701,0.2193,0.0102,0.0055,0.0014,0.2589
61,812.4432,52,64.0045,2.989,11.0648,0.1459,0.0112,0.0051,0.0011,0.2557
62,1066.286,68,63.7728,2.7751,11.2234,0.3558,0.0112,0.0055,0.0018,0.1951
63,1331.9366,85,63.8169,4.3673,12.9785,0.7925,0.0108,0.0054,0.0016,0.2201
64,244.9792,16,65.3117,3.4804,10.21,0.1399,0.0097,0.0047,0.0019,0.1874
65,514.9292,33,64.0865,2.8262,8.8647,0.1521,0.0099,0.0054,0.0015,0.1966
66,781.6034,50,63.9711,2.8904,11.4019,0.2366,0.0099,0.0043,0.0019,0.2231
67,1049.133,67,63.8623,2.7774,8.268,0.4065,0.0154,0.0062,0.0012,0.2087
68,245.0137,16,65.3025,2.6702,7.0588,0.1537,0.0086,0.0055,0.0028,0.264
69,495.0288,32,64.6427,3.0702,10.6347,0.11,0.0101,0.0048,0.0019,0.229
70,762.2461,49,64.2837,2.8807,7.043,0.1189,0.0113,0.0106,0.0017,0.1867
71,1048.5699,67,63.8966,2.6407,8.0454,0.1496,0.0089,0.0055,0.0008,0.1518
72,1298.3735,82,63.1559,2.7001,10.4743,0.1914,0.0085,0.0048,0.0014,0.1917
73,169.8312,11,64.7702,2.7799,10.0878,0.1301,0.0091,0.0051,0.0016,0.2012
74,420.2783,27,64.2431,2.7254,9.7732,0.2119,0.0091,0.0095,0.0022,0.3269
75,607.7465,39,64.1715,2.8972,9.8957,0.1233,0.0094,0.0047,0.0014,0.2356
76,1753.7941,112,63.8615,2.9172,9.4608,0.2461,0.0094,0.0067,0.0012,0.1964
77,2003.8113,128,63.8783,3.1819,11.1485,0.1556,0.0106,0.0065,0.0017,0.1952
78,136.3244,9,66.019,2.9109,9.2995,0.2522,0.0094,0.0056,0.0013,0.2365
79,1502.961,95,63.2086,2.8306,7.6619,0.2658,0.0125,0.0068,0.0011,0.2662
80,1753.0652,111,63.3177,2.8289,8.2828,0.1637,0.0087,0.0057,0.0019,0.1804
81,845.1146,54,63.8967,2.7619,6.7802,0.163,0.0102,0.0053,0.0012,0.2191
82,1098.519,70,63.7222,2.84,8.2883,0.1412,0.0098,0.0053,0.0017,0.2092
83,262.0262,17,64.879,3.0597,9.8807,0.1763,0.0127,0.0054,0.0012,0.2456
84,57.8711,4,69.1191,5.7632,9.4494,0.7191,0.0128,0.0063,0.0009,0.1927
85,308.0338,20,64.9279,4.0298,7.9811,0.2623,0.0104,0.0056,0.0016,0.2056
86,248.2538,16,64.4502,3.0406,12.4909,0.1187,0.0086,0.0042,0.0015,0.1831
87,499.1818,32,64.1049,2.934,10.5794,0.1687,0.011,0.0054,0.0015,0.2153
88,1328.0828,85,64.002,2.731,12.4971,0.4189,0.0106,0.0063,0.0014,0.2606
89,215.5308,14,64.9559,2.8954,11.7719,0.3331,0.0107,0.0056,0.0019,0.1954
90,622.7661,40,64.2296,2.8209,10.3043,0.1085,0.0103,0.0056,0.0008,0.1834
91,889.7784,56,62.937,2.9014,10.8451,0.136,0.0102,0.0047,0.0018,0.2462
92,92.2418,6,65.0464,4.1076,11.974,0.2594,0.0112,0.006,0.0011,0.1381
93,606.6669,38,62.6373,2.6266,11.5858,0.3464,0.0088,0.0051,0.0014,0.2187
94,219.1218,14,63.8914,2.8115,12.0857,0.2312,0.01,0.0059,0.001,0.2309
95,469.2355,30,63.9338,2.9883,11.0095,0.2401,0.0102,0.0049,0.0017,0.2578
96,719.9169,46,63.8963,2.9282,13.1784,0.8606,0.0088,0.0049,0.0013,0.1969
97,1676.9379,107,63.8068,2.7693,12.3145,0.2097,0.0086,0.0052,0.0009,0.4115
98,1931.7254,122,63.156,2.8635,13.3313,0.1549,0.011,0.0055,0.0016,0.2149
