metric,mean,median,p95,p99,max,min
lock_to_click_ms,423.5473,261.3226,1485.2244,1902.931,2010.3158,10.8489
fps,67.1125,64.5784,89.5498,91.0132,92.1752,52.1127
grab_ms,2.308,2.464,2.9237,3.9879,12.4548,0.0
yolo_ms,8.6105,9.6548,12.3941,13.5567,33.0032,0.0
select_ms,0.3031,0.1929,0.7386,2.3725,4.5595,0.0965
mouse_ms,0.0124,0.0101,0.0188,0.074,0.1616,0.0031
pid_ms,0.0058,0.0052,0.0066,0.0128,0.1476,0.0028
align_click_ms,0.0016,0.0014,0.0022,0.0033,0.0509,0.0
move_ms,0.2262,0.2155,0.4385,0.8062,1.3255,0.0

lock_to_click_ms_dist_bin,count,percent
<10,0,0.0
10~25,54,10.02
25~50,6,1.11
50~100,51,9.46
100~250,151,28.01
250~500,127,23.56
500~1000,92,17.07
>1000,58,10.76
