hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,246.6655,16,64.8652,3.6366,24.0806,0.4214,0.0118,0.0056,0.0016,0.3169
2,121.6781,8,65.7472,5.1159,18.3362,0.4927,0.0111,0.0058,0.0026,0.7278
3,119.7711,8,66.7941,3.0113,24.279,0.6091,0.0381,0.0047,0.0012,0.3678
4,369.8156,24,64.8972,2.4823,23.8853,0.3882,0.0339,0.0052,0.0018,0.3046
5,103.9848,6,57.7007,4.3666,18.1261,0.1278,0.0597,0.0045,0.0018,0.3446
6,106.2205,6,56.4863,4.4999,19.3641,0.694,0.0128,0.0074,0.0014,0.3133
7,164.2801,11,66.9588,2.7591,23.1434,0.1228,0.034,0.0051,0.0011,0.3426
8,11.6163,1,86.0859,0.0,0.0,0.2601,0.0043,0.0049,0.0,0.0
9,11.575,1,86.3931,0.0,0.0,0.2518,0.0066,0.0055,0.0,0.0
10,123.4165,8,64.8212,3.9312,23.1547,0.3283,0.0094,0.0056,0.0009,0.3311
11,406.2904,26,63.9936,3.2702,26.9289,0.5116,0.0094,0.0062,0.0014,0.3223
12,657.0326,42,63.9238,3.6053,22.6179,0.6047,0.0158,0.0057,0.0017,0.2505
13,11.8758,1,84.2049,0.0,0.0,0.3686,0.0067,0.0052,0.0,0.0
14,181.604,12,66.0778,3.2194,20.8655,0.1233,0.0093,0.0047,0.0012,0.3119
15,433.1521,28,64.6424,3.8347,24.9491,0.5716,0.0141,0.009,0.0016,0.3023
16,171.0654,10,58.4572,3.6171,20.29,0.3388,0.0123,0.0049,0.001,0.3193
17,193.8275,13,67.0699,3.1863,21.8495,0.3024,0.0127,0.0058,0.0014,0.3427
18,450.6113,27,59.9186,4.9261,18.3652,0.4635,0.0194,0.0052,0.0014,0.2626
19,701.9248,41,58.4108,3.5475,20.8216,0.5923,0.0115,0.0049,0.002,0.3021
20,278.8796,18,64.544,3.3717,22.0765,0.429,0.0087,0.0041,0.0011,0.3324
21,536.7364,34,63.3458,3.4661,19.0389,0.1811,0.0121,0.0057,0.0017,0.273
22,139.7065,9,64.4208,3.1201,19.854,0.1534,0.0106,0.0056,0.0011,0.3369
23,390.5104,25,64.0188,3.302,20.1688,0.217,0.0097,0.004,0.0017,0.4217
24,137.1083,9,65.6415,3.6084,27.3723,0.4224,0.0112,0.0067,0.001,0.4182
25,417.5193,27,64.6677,5.3507,21.2601,0.1485,0.0101,0.0051,0.0013,0.3436
26,685.8953,44,64.1497,6.0931,20.0247,0.527,0.0117,0.0052,0.001,0.2953
27,953.2451,61,63.9919,2.7964,25.216,0.2954,0.0098,0.0057,0.0014,0.3252
28,1218.2881,78,64.0243,5.4783,15.7532,0.0996,0.0111,0.0047,0.0016,0.2836
29,214.7404,14,65.195,3.0496,20.191,0.1221,0.009,0.0049,0.0011,0.3099
30,514.6269,33,64.1241,3.424,21.3096,0.5056,0.0344,0.0062,0.0013,0.3725
