hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,15.7743,1,63.3943,0.0,0.0,3.7139,0.0163,0.0078,0.0,0.0
2,136.9006,9,65.7411,3.1371,29.9949,0.2139,0.012,0.0065,0.0012,0.2189
3,518.388,33,63.6589,4.2817,33.7787,0.4615,0.0138,0.0052,0.0016,0.1994
4,811.2587,52,64.0979,2.7324,31.3438,0.3202,0.0102,0.0055,0.0023,0.3908
5,158.3715,11,69.4569,3.0664,30.2442,0.2361,0.0123,0.0042,0.0014,0.2377
6,294.2202,19,64.5775,2.8863,33.29,0.383,0.0103,0.0047,0.0013,0.2383
7,548.8374,35,63.7712,3.4848,29.8109,0.3353,0.0144,0.0074,0.0024,0.2916
8,119.7668,8,66.7965,3.0527,30.1265,0.1539,0.0091,0.0046,0.0012,0.2136
9,433.122,28,64.6469,2.9947,21.0956,0.4415,0.0095,0.0043,0.0012,0.1861
10,828.7908,53,63.9486,3.4558,29.2497,0.3092,0.0115,0.0056,0.0014,0.3672
11,1094.345,70,63.9652,2.8387,32.4251,0.3882,0.0409,0.0047,0.0014,0.2453
12,11.1384,1,89.7795,0.0,0.0,0.4133,0.0055,0.0047,0.0,0.0
13,11.0093,1,90.8323,0.0,0.0,0.8724,0.0142,0.006,0.0,0.0
14,11.3681,1,87.9654,0.0,0.0,0.6511,0.016,0.0058,0.0,0.0
15,122.0824,8,65.5295,3.6043,28.9549,0.4989,0.0164,0.0071,0.0015,0.2568
16,134.7534,9,66.7887,3.4495,32.4621,0.1531,0.0125,0.0067,0.0017,0.2434
17,388.1199,25,64.4131,6.1571,17.6846,0.1269,0.0115,0.0063,0.0021,0.132
18,343.6989,22,64.0095,3.0249,34.6618,0.4205,0.0192,0.0069,0.0023,0.3258
19,605.4491,39,64.415,2.8486,23.9032,0.2033,0.0116,0.0052,0.0012,0.2632
20,933.8799,60,64.2481,2.7415,29.182,0.631,0.0101,0.0052,0.0015,0.1839
21,169.1256,11,65.0404,3.9863,32.0499,0.4644,0.0144,0.0068,0.0012,0.2611
22,11.503,1,86.9338,0.0,0.0,0.7191,0.0083,0.0047,0.0,0.0
23,386.7017,25,64.6493,2.9518,30.428,0.2993,0.0107,0.0051,0.0013,0.2688
24,11.3251,1,88.2994,0.0,0.0,0.6335,0.0781,0.0075,0.0,0.0
25,329.2526,21,63.7808,2.9826,29.5405,0.2428,0.0158,0.0056,0.0012,0.1831
26,825.2644,52,63.0101,10.0938,33.3905,0.4807,0.0503,0.0061,0.0012,0.1936
27,1093.1969,69,63.1176,4.8057,31.583,0.2655,0.0174,0.0066,0.0015,0.1804
28,1477.6465,94,63.6147,2.8082,26.3883,0.2842,0.0109,0.0049,0.0012,0.2004
29,1744.9928,111,63.6106,2.81,22.0615,0.4694,0.0109,0.0052,0.0013,0.1993
30,11.0953,1,90.1283,0.0,0.0,0.4616,0.0082,0.0065,0.0,0.0
31,136.689,9,65.8429,2.9429,26.8653,0.4708,0.011,0.0062,0.0015,0.1446
32,198.6426,13,65.4442,2.6215,30.7228,0.3835,0.0093,0.0054,0.0019,0.2074
33,466.249,30,64.3433,3.1091,22.9247,0.1519,0.0093,0.006,0.0013,0.2128
34,824.7373,53,64.2629,2.9082,23.5067,0.7935,0.0087,0.0046,0.001,0.2328
35,1153.8426,73,63.2669,2.71,31.582,0.141,0.0099,0.0045,0.0013,0.186
36,1562.2863,99,63.3687,2.8029,28.6403,0.4979,0.0135,0.006,0.0019,0.2198
37,1862.4482,116,62.2836,3.0469,30.7036,0.3621,0.0106,0.0052,0.0013,0.1872
38,12.4505,1,80.3181,0.0,0.0,0.4317,0.01,0.0056,0.0,0.0
39,11.0194,1,90.749,0.0,0.0,0.4324,0.0077,0.0061,0.0,0.0
40,11.0394,1,90.5846,0.0,0.0,0.8976,0.0073,0.0041,0.0,0.0
41,227.9417,15,65.8063,2.652,29.5033,0.4459,0.0115,0.0045,0.0012,0.1975
42,514.9272,33,64.0867,3.0756,31.5341,0.3466,0.0401,0.0054,0.001,0.176
43,11.3351,1,88.2215,0.0,0.0,0.6803,0.0418,0.0069,0.0,0.0
44,343.1221,22,64.1171,2.9485,22.8938,0.3818,0.0159,0.0056,0.0011,0.1981
45,705.5337,45,63.7815,2.9778,29.5679,0.3291,0.0107,0.0048,0.0018,0.2115
46,1035.1296,66,63.7601,2.8113,26.7718,0.4389,0.0112,0.0062,0.0015,0.386
47,1298.5669,83,63.9166,2.7997,17.6922,0.2602,0.0133,0.0065,0.0019,0.2501
48,1628.0494,104,63.8801,2.5513,31.4535,0.3632,0.0106,0.0059,0.0011,0.213
49,1940.8123,124,63.8908,3.31,28.7557,0.5019,0.0119,0.0054,0.0017,0.3086
50,418.7774,27,64.4734,3.0066,31.2127,0.2493,0.0109,0.0044,0.0015,0.1779
51,697.4498,45,64.5208,2.7848,29.3392,0.2803,0.0102,0.0062,0.0011,0.1551
52,124.4111,9,72.3408,2.6197,29.135,0.614,0.0097,0.0042,0.0009,0.2077
53,441.8531,29,65.6327,2.7137,23.6678,0.4239,0.0094,0.0053,0.0014,0.1563
54,165.8043,10,60.3121,2.7337,29.3317,0.6381,0.0098,0.0704,0.0021,0.332
55,244.7313,16,65.3778,3.1115,30.5713,0.2113,0.0099,0.0041,0.0012,0.2023
56,546.4924,35,64.0448,3.6666,22.1943,0.6143,0.0104,0.0051,0.0015,0.3245
57,857.2415,55,64.1593,2.9947,29.9477,0.6907,0.03,0.007,0.0012,0.2071
58,22.5434,2,88.7178,3.1055,24.3271,0.6863,0.0083,0.0047,0.001,0.2443
59,492.7409,32,64.9429,2.5015,29.2609,0.5095,0.0085,0.0043,0.0015,0.4457
60,749.4764,48,64.0447,4.6858,30.3931,0.3681,0.0127,0.0057,0.0019,0.2237
61,1046.9705,67,63.9942,2.7366,22.1452,0.3997,0.0104,0.0054,0.0014,0.2103
62,1342.7637,86,64.047,2.747,31.1283,0.3531,0.0089,0.004,0.0012,0.3235
63,120.9841,8,66.1244,3.3878,28.4466,0.3188,0.0103,0.0046,0.0013,0.189
64,106.2619,7,65.875,3.0207,32.0996,0.4817,0.017,0.0051,0.0015,0.1974
65,120.5987,8,66.3357,2.654,32.324,0.7039,0.0105,0.0053,0.0017,0.3013
66,373.3639,24,64.2805,2.631,29.6791,0.1397,0.0096,0.0049,0.0013,0.1658
67,731.832,47,64.2224,2.7185,29.8752,0.2687,0.0083,0.0053,0.0016,0.4204
68,1065.1146,68,63.8429,2.8081,30.952,0.355,0.0083,0.0041,0.0014,0.2278
69,136.4434,9,65.9614,2.7678,24.6982,0.314,0.0096,0.0056,0.0013,0.3711
70,435.9676,28,64.225,2.6004,31.5984,0.2799,0.0111,0.0056,0.0011,0.2118
71,748.148,48,64.1584,2.7089,34.4043,0.1498,0.0091,0.0051,0.0017,0.229
72,123.7307,8,64.6565,3.0617,31.012,0.2294,0.0102,0.0051,0.0009,0.2322
73,702.547,45,64.0527,2.8028,27.4798,0.4296,0.0111,0.0055,0.0016,0.1999
74,106.8237,7,65.5285,2.6897,30.5142,0.7469,0.0087,0.0052,0.0014,0.2442
75,141.3886,9,63.6544,2.6773,33.4604,0.3665,0.0269,0.0058,0.0015,0.1917
76,120.5163,8,66.3811,2.5295,33.4853,0.3794,0.0098,0.0053,0.0014,0.2817
77,420.1295,27,64.2659,3.1625,27.9185,0.6254,0.0353,0.0044,0.0011,0.3701
78,704.913,45,63.8377,2.5126,30.7175,0.3719,0.0105,0.0063,0.0013,0.2023
79,243.4473,16,65.7226,2.6998,32.4434,0.4157,0.0102,0.0055,0.0015,0.2306
80,27.8977,2,71.6905,2.9602,25.8515,0.9131,0.0088,0.0046,0.0013,0.1734
81,134.5034,9,66.9128,2.799,30.0912,0.178,0.0104,0.0051,0.001,0.2127
82,11.1023,1,90.0714,0.0,0.0,0.7693,0.0081,0.0055,0.0,0.0
83,106.5083,7,65.7226,3.1068,28.0752,0.7152,0.0421,0.0055,0.0012,0.1165
