epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,865.399,0.91055,0.46451,0.00447,0.9505,0.92025,0.96447,0.75677,0.83507,0.37167,0.00465,0.00132868,0.00132868,0.00132868
43,885.941,0.89836,0.44634,0.00449,0.9553,0.91981,0.96472,0.75012,0.84083,0.37254,0.00455,0.00132043,0.00132043,0.00132043
44,905.713,0.89256,0.45154,0.00453,0.95089,0.92391,0.96627,0.74919,0.8522,0.36646,0.00477,0.00131218,0.00131218,0.00131218
45,925.823,0.89922,0.4515,0.00453,0.94869,0.93417,0.9664,0.75912,0.84071,0.35654,0.00469,0.00130393,0.00130393,0.00130393
46,946.058,0.89969,0.44733,0.00456,0.95314,0.92809,0.96554,0.76275,0.82449,0.36748,0.00458,0.00129568,0.00129568,0.00129568
47,965.87,0.88673,0.44925,0.00455,0.95553,0.92342,0.96933,0.75874,0.82529,0.36456,0.00447,0.00128742,0.00128742,0.00128742
48,986.376,0.89613,0.44948,0.00463,0.95113,0.93021,0.9667,0.76009,0.82442,0.34954,0.00457,0.00127917,0.00127917,0.00127917
49,1006.47,0.89158,0.44058,0.00448,0.95176,0.92655,0.96674,0.77015,0.79691,0.36141,0.00437,0.00127092,0.00127092,0.00127092
50,1026.56,0.87614,0.42908,0.00437,0.95732,0.93315,0.97068,0.77102,0.7928,0.3509,0.00429,0.00126267,0.00126267,0.00126267
51,1046.9,0.86929,0.43612,0.00448,0.95456,0.9308,0.96981,0.77122,0.79253,0.34403,0.00418,0.00125442,0.00125442,0.00125442
52,1066.82,0.88493,0.4372,0.00437,0.94167,0.9315,0.96612,0.76474,0.82497,0.36777,0.00457,0.00124617,0.00124617,0.00124617
53,1086.93,0.86467,0.43606,0.00452,0.95851,0.92976,0.97021,0.76584,0.80551,0.35155,0.00427,0.00123791,0.00123791,0.00123791
54,1107.29,0.8752,0.43325,0.00428,0.96093,0.92867,0.97173,0.76283,0.82352,0.35142,0.00443,0.00122966,0.00122966,0.00122966
55,1127.22,0.8745,0.43205,0.0043,0.95525,0.92823,0.96928,0.77966,0.76934,0.3446,0.0042,0.00122141,0.00122141,0.00122141
56,1147.74,0.87311,0.42817,0.00439,0.95959,0.92847,0.97064,0.76897,0.801,0.35488,0.00428,0.00121316,0.00121316,0.00121316
57,1167.8,0.86081,0.42391,0.0043,0.95628,0.9297,0.96908,0.77464,0.78978,0.3507,0.00438,0.00120491,0.00120491,0.00120491
58,1187.79,0.85905,0.42417,0.00422,0.95394,0.93115,0.96775,0.77082,0.78894,0.34958,0.00427,0.00119666,0.00119666,0.00119666
59,1208.3,0.86228,0.42889,0.0043,0.95148,0.92908,0.96589,0.77381,0.79162,0.35699,0.0044,0.0011884,0.0011884,0.0011884
60,1228.35,0.86399,0.4138,0.00435,0.9533,0.93248,0.96855,0.76412,0.8203,0.34165,0.00446,0.00118015,0.00118015,0.00118015
61,1248.71,0.84019,0.41181,0.00412,0.95477,0.93557,0.96799,0.76881,0.80933,0.33941,0.00441,0.0011719,0.0011719,0.0011719
62,1268.78,0.85069,0.42066,0.00411,0.95653,0.93369,0.96846,0.76574,0.80532,0.34965,0.00435,0.00116365,0.00116365,0.00116365
63,1288.56,0.84973,0.41673,0.00413,0.96225,0.93233,0.97215,0.78057,0.76865,0.34047,0.00405,0.0011554,0.0011554,0.0011554
64,1309.12,0.85387,0.40892,0.00424,0.95597,0.94381,0.97104,0.78041,0.77754,0.32914,0.00422,0.00114715,0.00114715,0.00114715
65,1329.33,0.84512,0.4135,0.00409,0.95426,0.93873,0.96878,0.76698,0.80697,0.3345,0.00441,0.00113889,0.00113889,0.00113889
66,1349.43,0.84163,0.40989,0.00428,0.95986,0.93776,0.9717,0.79005,0.75509,0.31834,0.00398,0.00113064,0.00113064,0.00113064
67,1369.76,0.84323,0.40755,0.00423,0.95824,0.93772,0.97002,0.77852,0.7798,0.34734,0.00434,0.00112239,0.00112239,0.00112239
68,1389.7,0.83462,0.39814,0.00418,0.96198,0.93708,0.97103,0.78237,0.78136,0.32744,0.00424,0.00111414,0.00111414,0.00111414
69,1409.5,0.84234,0.41017,0.00423,0.95455,0.93965,0.97337,0.78248,0.77208,0.31746,0.00406,0.00110589,0.00110589,0.00110589
70,1429.76,0.82168,0.39513,0.00403,0.96004,0.93326,0.97024,0.78932,0.7437,0.3184,0.00393,0.00109764,0.00109764,0.00109764
71,1449.71,0.8364,0.40519,0.00409,0.95933,0.93658,0.97047,0.78735,0.74878,0.31875,0.00386,0.00108938,0.00108938,0.00108938
72,1470.08,0.81787,0.3924,0.00398,0.95799,0.93889,0.97394,0.77486,0.78723,0.33173,0.00409,0.00108113,0.00108113,0.00108113
73,1490.21,0.82681,0.39514,0.00415,0.96062,0.93377,0.97095,0.78394,0.77833,0.32599,0.00421,0.00107288,0.00107288,0.00107288
74,1510.03,0.8147,0.39072,0.00404,0.9649,0.93593,0.96987,0.78839,0.75929,0.32496,0.00413,0.00106463,0.00106463,0.00106463
75,1530.77,0.83126,0.39887,0.00397,0.96202,0.93539,0.97394,0.78621,0.76311,0.31284,0.00398,0.00105638,0.00105638,0.00105638
76,1550.53,0.82082,0.38831,0.00405,0.95957,0.9379,0.9708,0.78863,0.75099,0.31751,0.004,0.00104813,0.00104813,0.00104813
77,1570.58,0.81385,0.39124,0.00395,0.95567,0.94353,0.97265,0.79148,0.75108,0.32635,0.00406,0.00103987,0.00103987,0.00103987
78,1590.5,0.80334,0.39313,0.00408,0.95868,0.93483,0.97377,0.78705,0.76372,0.31925,0.00409,0.00103162,0.00103162,0.00103162
79,1610.29,0.81459,0.38391,0.00395,0.95995,0.93901,0.97441,0.79665,0.73291,0.30906,0.00379,0.00102337,0.00102337,0.00102337
80,1630.73,0.81962,0.39248,0.00395,0.96076,0.93606,0.97279,0.79127,0.73887,0.31773,0.00384,0.00101512,0.00101512,0.00101512
81,1650.81,0.80323,0.38269,0.00386,0.96798,0.93604,0.97267,0.79044,0.74695,0.31759,0.00393,0.00100687,0.00100687,0.00100687
82,1670.81,0.80637,0.38521,0.00382,0.95792,0.94216,0.97263,0.79539,0.73134,0.3191,0.00381,0.000998616,0.000998616,0.000998616
83,1691.05,0.81488,0.39269,0.00401,0.9552,0.93805,0.97211,0.79153,0.74663,0.32277,0.004,0.000990365,0.000990365,0.000990365
84,1711.03,0.79752,0.3745,0.00381,0.96101,0.93996,0.97434,0.79451,0.74076,0.31267,0.00398,0.000982113,0.000982113,0.000982113
85,1731.23,0.81493,0.39724,0.00394,0.96071,0.94452,0.97384,0.78809,0.75601,0.3096,0.00398,0.000973861,0.000973861,0.000973861
86,1751.19,0.79994,0.37944,0.00378,0.95462,0.94909,0.9751,0.79513,0.72611,0.31298,0.00378,0.00096561,0.00096561,0.00096561
87,1771.16,0.79796,0.37934,0.00385,0.95768,0.94034,0.9727,0.79794,0.72634,0.30411,0.00383,0.000957358,0.000957358,0.000957358
88,1791.56,0.79653,0.38409,0.00391,0.95859,0.94457,0.974,0.79617,0.7337,0.30679,0.00388,0.000949106,0.000949106,0.000949106
89,1812,0.80322,0.38619,0.00391,0.96085,0.94551,0.97522,0.78275,0.76678,0.31452,0.00404,0.000940855,0.000940855,0.000940855
90,1832.03,0.78966,0.37345,0.00377,0.96333,0.94273,0.97453,0.79789,0.73835,0.30589,0.00394,0.000932603,0.000932603,0.000932603
91,1852.49,0.7846,0.36829,0.00374,0.96396,0.94456,0.97429,0.79446,0.73824,0.30769,0.00395,0.000924352,0.000924352,0.000924352
92,1872.15,0.78109,0.37412,0.00383,0.96774,0.94078,0.97199,0.78878,0.75324,0.30814,0.00391,0.0009161,0.0009161,0.0009161
93,1892.38,0.79597,0.37802,0.00376,0.95838,0.94163,0.97403,0.79554,0.73189,0.31221,0.0038,0.000907848,0.000907848,0.000907848
94,1912.24,0.78191,0.37061,0.00374,0.96623,0.94179,0.97527,0.80185,0.70917,0.3035,0.00361,0.000899597,0.000899597,0.000899597
95,1932.25,0.77857,0.37093,0.00374,0.96504,0.94356,0.97558,0.80152,0.71374,0.30295,0.00372,0.000891345,0.000891345,0.000891345
96,1952.57,0.7826,0.37131,0.00367,0.96483,0.94212,0.9754,0.80163,0.71685,0.30452,0.00366,0.000883093,0.000883093,0.000883093
97,1972.48,0.78765,0.36696,0.00366,0.9598,0.95093,0.97568,0.79992,0.72279,0.29482,0.00383,0.000874842,0.000874842,0.000874842
98,1992.7,0.78321,0.37056,0.00367,0.96606,0.94074,0.97498,0.80662,0.70478,0.30182,0.00358,0.00086659,0.00086659,0.00086659
99,2013.18,0.77938,0.36315,0.00374,0.95864,0.94921,0.97558,0.80223,0.7119,0.29218,0.00371,0.000858338,0.000858338,0.000858338
100,2032.93,0.76227,0.35168,0.00364,0.96026,0.95018,0.97564,0.80355,0.70978,0.30075,0.0037,0.000850087,0.000850087,0.000850087
101,2053.22,0.76807,0.35967,0.00364,0.9682,0.94508,0.97463,0.80317,0.71632,0.29591,0.00373,0.000841835,0.000841835,0.000841835
102,2073.36,0.78147,0.36371,0.00368,0.96467,0.94704,0.97614,0.8042,0.71267,0.2978,0.00374,0.000833583,0.000833583,0.000833583
103,2093.57,0.76265,0.36168,0.00359,0.9636,0.94739,0.97531,0.79189,0.74114,0.30632,0.00382,0.000825332,0.000825332,0.000825332
104,2114.03,0.76155,0.35594,0.00354,0.96224,0.94917,0.97552,0.80745,0.69619,0.29249,0.00367,0.00081708,0.00081708,0.00081708
105,2134.16,0.76202,0.36023,0.00363,0.96371,0.94845,0.97676,0.80093,0.71969,0.29564,0.00375,0.000808828,0.000808828,0.000808828
106,2154.31,0.75507,0.35694,0.0036,0.9646,0.94738,0.97643,0.80442,0.71298,0.29772,0.00371,0.000800577,0.000800577,0.000800577
107,2174.67,0.75281,0.35059,0.00354,0.96664,0.94919,0.97732,0.8086,0.70123,0.29339,0.0036,0.000792325,0.000792325,0.000792325
108,2194.45,0.7633,0.35644,0.00348,0.96766,0.94833,0.97646,0.80526,0.70795,0.29344,0.00361,0.000784073,0.000784073,0.000784073
109,2214.77,0.76014,0.35183,0.00355,0.96736,0.94628,0.97586,0.80655,0.71137,0.29717,0.0037,0.000775822,0.000775822,0.000775822
110,2234.74,0.76107,0.35172,0.00352,0.96433,0.94878,0.9773,0.80843,0.7,0.28804,0.00354,0.00076757,0.00076757,0.00076757
111,2255.02,0.75731,0.35244,0.00357,0.96392,0.95158,0.97699,0.80588,0.7076,0.29236,0.00358,0.000759318,0.000759318,0.000759318
112,2275.38,0.75094,0.36151,0.00371,0.96311,0.94794,0.97694,0.80824,0.70487,0.29383,0.00362,0.000751067,0.000751067,0.000751067
113,2296.03,0.75695,0.35463,0.00349,0.96217,0.95205,0.9769,0.81356,0.68853,0.28446,0.00349,0.000742815,0.000742815,0.000742815
114,2316.29,0.73582,0.34138,0.00346,0.96479,0.95213,0.97708,0.80861,0.70373,0.28944,0.00356,0.000734564,0.000734564,0.000734564
115,2336.85,0.7538,0.34733,0.00347,0.96422,0.9521,0.97663,0.80666,0.70884,0.28767,0.00358,0.000726312,0.000726312,0.000726312
116,2356.65,0.7436,0.34635,0.00351,0.97129,0.9469,0.97738,0.81115,0.69591,0.28578,0.00347,0.00071806,0.00071806,0.00071806
117,2376.77,0.73905,0.34127,0.00348,0.9749,0.94183,0.97774,0.81317,0.69578,0.28032,0.00354,0.000709809,0.000709809,0.000709809
118,2397.04,0.74388,0.35124,0.00359,0.9713,0.94622,0.97804,0.81551,0.68064,0.28998,0.00346,0.000701557,0.000701557,0.000701557
119,2417.19,0.74831,0.34947,0.00349,0.96432,0.94792,0.97642,0.80618,0.71095,0.28874,0.00361,0.000693305,0.000693305,0.000693305
120,2437.66,0.7395,0.34418,0.00343,0.96811,0.95007,0.97863,0.8121,0.69379,0.28912,0.00352,0.000685054,0.000685054,0.000685054
121,2457.71,0.72886,0.33776,0.00337,0.9648,0.95087,0.97664,0.80992,0.69874,0.29146,0.00359,0.000676802,0.000676802,0.000676802
122,2477.75,0.72131,0.33354,0.0034,0.96847,0.94758,0.97739,0.81154,0.69337,0.28914,0.00356,0.00066855,0.00066855,0.00066855
123,2498.02,0.73129,0.34061,0.00333,0.97147,0.94677,0.97773,0.81448,0.68556,0.29024,0.00345,0.000660299,0.000660299,0.000660299
124,2517.91,0.7223,0.32869,0.00339,0.96525,0.9514,0.97759,0.81718,0.67578,0.27877,0.00338,0.000652047,0.000652047,0.000652047
125,2538.02,0.72468,0.34305,0.00338,0.97662,0.94468,0.97858,0.81822,0.67431,0.27832,0.00336,0.000643795,0.000643795,0.000643795
126,2558.01,0.72018,0.33496,0.00339,0.97502,0.94242,0.97677,0.81103,0.69453,0.28489,0.00355,0.000635544,0.000635544,0.000635544
127,2580.09,0.71786,0.33797,0.00329,0.96693,0.94848,0.97722,0.81296,0.69301,0.2875,0.00349,0.000627292,0.000627292,0.000627292
128,2600.61,0.72138,0.33018,0.00331,0.97104,0.94726,0.97839,0.81158,0.69807,0.2809,0.00351,0.00061904,0.00061904,0.00061904
129,2620.34,0.7142,0.32485,0.00328,0.96667,0.94934,0.97825,0.81659,0.68415,0.27659,0.00343,0.000610789,0.000610789,0.000610789
130,2640.55,0.71191,0.3297,0.0033,0.96909,0.94529,0.97774,0.81542,0.68523,0.28059,0.00348,0.000602537,0.000602537,0.000602537
131,2660.96,0.7186,0.33726,0.00329,0.96583,0.94895,0.97799,0.81487,0.68285,0.28414,0.0034,0.000594286,0.000594286,0.000594286
132,2680.71,0.72584,0.33409,0.00333,0.96998,0.9463,0.97729,0.81479,0.68406,0.27576,0.0034,0.000586034,0.000586034,0.000586034
133,2701.18,0.70841,0.32314,0.00327,0.97063,0.94679,0.97802,0.81382,0.69096,0.27694,0.00346,0.000577782,0.000577782,0.000577782
134,2721.34,0.71548,0.33337,0.0032,0.96782,0.95494,0.979,0.81748,0.68636,0.27167,0.00348,0.000569531,0.000569531,0.000569531
135,2741.13,0.72262,0.33605,0.00327,0.97065,0.9476,0.97679,0.81559,0.68223,0.28306,0.00338,0.000561279,0.000561279,0.000561279
136,2761.55,0.7041,0.32039,0.00323,0.96601,0.95425,0.97894,0.81778,0.67112,0.27424,0.00335,0.000553027,0.000553027,0.000553027
137,2781.37,0.70053,0.32682,0.00334,0.96414,0.95199,0.97717,0.81561,0.68001,0.27763,0.00337,0.000544776,0.000544776,0.000544776
138,2801.68,0.70379,0.32251,0.00327,0.96634,0.95094,0.9777,0.81859,0.67156,0.27702,0.00333,0.000536524,0.000536524,0.000536524
139,2821.96,0.70382,0.32582,0.0032,0.9698,0.9512,0.97749,0.81925,0.6708,0.27156,0.00331,0.000528272,0.000528272,0.000528272
140,2842.02,0.7051,0.32446,0.00323,0.96885,0.95133,0.97868,0.82379,0.66177,0.27565,0.00327,0.000520021,0.000520021,0.000520021
141,2862.39,0.71328,0.32577,0.00323,0.97103,0.95027,0.97733,0.81921,0.67055,0.27884,0.00332,0.000511769,0.000511769,0.000511769
142,2882.54,0.6977,0.32033,0.00309,0.96996,0.95164,0.97812,0.81986,0.66872,0.27437,0.00338,0.000503517,0.000503517,0.000503517
143,2902.35,0.70742,0.32078,0.00319,0.96755,0.95507,0.97838,0.81933,0.67127,0.27272,0.00341,0.000495266,0.000495266,0.000495266
144,2922.48,0.69079,0.31317,0.00312,0.96789,0.95611,0.97845,0.81871,0.67501,0.2719,0.00338,0.000487014,0.000487014,0.000487014
145,2942.39,0.70421,0.32828,0.00324,0.96744,0.95356,0.97782,0.81892,0.66821,0.27169,0.00336,0.000478762,0.000478762,0.000478762
146,2962.75,0.70058,0.31817,0.00321,0.97012,0.95474,0.97835,0.81893,0.67225,0.27331,0.00334,0.000470511,0.000470511,0.000470511
147,2983.09,0.69089,0.31976,0.00318,0.97043,0.95348,0.97947,0.82289,0.66555,0.27378,0.00328,0.000462259,0.000462259,0.000462259
148,3002.9,0.68941,0.32215,0.0031,0.96489,0.95593,0.97861,0.8216,0.66944,0.27442,0.00334,0.000454007,0.000454007,0.000454007
149,3023.39,0.69064,0.31838,0.00296,0.96711,0.95295,0.97837,0.82344,0.66129,0.27662,0.00332,0.000445756,0.000445756,0.000445756
150,3043.35,0.69086,0.31834,0.00304,0.97205,0.95184,0.97859,0.82202,0.6657,0.27479,0.00331,0.000437504,0.000437504,0.000437504
151,3063.19,0.6837,0.30555,0.00307,0.9696,0.95494,0.97915,0.82404,0.66514,0.27031,0.00329,0.000429253,0.000429253,0.000429253
152,3083.51,0.69138,0.31931,0.00309,0.97082,0.95231,0.97841,0.82021,0.6688,0.27849,0.00333,0.000421001,0.000421001,0.000421001
153,3103.35,0.68368,0.31255,0.00305,0.97008,0.94972,0.97835,0.82073,0.66747,0.27458,0.00333,0.000412749,0.000412749,0.000412749
154,3123.45,0.67906,0.31522,0.00307,0.96901,0.95333,0.97894,0.82295,0.66227,0.27448,0.00332,0.000404498,0.000404498,0.000404498
155,3143.9,0.69973,0.3191,0.00309,0.96901,0.9507,0.97926,0.82524,0.65732,0.27766,0.00323,0.000396246,0.000396246,0.000396246
156,3164,0.68116,0.31281,0.00299,0.97318,0.95065,0.97888,0.82359,0.6615,0.27211,0.00328,0.000387994,0.000387994,0.000387994
157,3184.27,0.6722,0.31308,0.00301,0.96976,0.95572,0.97925,0.82206,0.65919,0.27034,0.00324,0.000379743,0.000379743,0.000379743
158,3204.15,0.67217,0.30985,0.00308,0.96953,0.95624,0.97923,0.82436,0.66299,0.26987,0.00326,0.000371491,0.000371491,0.000371491
159,3224.23,0.68025,0.31044,0.00305,0.9697,0.95228,0.97914,0.82249,0.66295,0.27375,0.00329,0.000363239,0.000363239,0.000363239
160,3244.59,0.68234,0.31422,0.00297,0.96784,0.95352,0.97895,0.82677,0.65326,0.27484,0.00321,0.000354988,0.000354988,0.000354988
161,3264.63,0.68038,0.31362,0.00303,0.96453,0.95665,0.97824,0.82491,0.65715,0.27733,0.00321,0.000346736,0.000346736,0.000346736
162,3284.91,0.66739,0.30464,0.00294,0.9678,0.95284,0.9791,0.8231,0.66085,0.27651,0.00325,0.000338484,0.000338484,0.000338484
163,3305.08,0.66765,0.30491,0.00294,0.97119,0.9507,0.9793,0.8203,0.66692,0.27633,0.00327,0.000330233,0.000330233,0.000330233
164,3325.15,0.66411,0.305,0.00296,0.97265,0.95108,0.97915,0.82691,0.65068,0.27185,0.0032,0.000321981,0.000321981,0.000321981
165,3345.74,0.67781,0.31205,0.00296,0.97296,0.95446,0.97947,0.82835,0.64658,0.26787,0.00321,0.000313729,0.000313729,0.000313729
166,3365.86,0.68778,0.31267,0.00294,0.97257,0.95144,0.97859,0.82331,0.65891,0.27632,0.00323,0.000305478,0.000305478,0.000305478
167,3386.06,0.65932,0.3036,0.00295,0.97064,0.9539,0.97858,0.82968,0.64531,0.27105,0.00317,0.000297226,0.000297226,0.000297226
