epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,305.227,1.40344,0.69226,0.00838,0.93123,0.90909,0.91919,0.52213,2.0005,0.92446,0.02077,0.0009605,0.0009605,0.0009605
44,312.442,1.39774,0.79684,0.00796,0.96477,0.81818,0.90475,0.5274,2.10099,0.95555,0.02189,0.00093575,0.00093575,0.00093575
45,319.552,1.27979,0.67107,0.00791,0.93123,0.87879,0.89655,0.54715,2.07991,0.92959,0.02191,0.000911,0.000911,0.000911
46,326.898,1.29505,0.62157,0.00777,0.91094,0.87879,0.91591,0.51165,2.09605,0.82828,0.02216,0.00088625,0.00088625,0.00088625
47,333.791,1.24966,0.63854,0.00799,0.99357,0.84848,0.91694,0.5098,2.11098,0.93035,0.02276,0.0008615,0.0008615,0.0008615
48,340.69,1.33101,0.54428,0.00829,0.96348,0.87879,0.91861,0.51208,2.15621,0.90961,0.02341,0.00083675,0.00083675,0.00083675
49,347.838,1.21297,0.63889,0.00859,1,0.84598,0.93292,0.52889,2.09331,0.97124,0.02236,0.000812,0.000812,0.000812
50,354.727,1.14268,0.66338,0.00674,0.99222,0.84848,0.92609,0.51347,2.02162,0.96326,0.02121,0.00078725,0.00078725,0.00078725
51,361.651,1.31274,0.64535,0.00686,0.93525,0.87554,0.91389,0.49499,2.01389,1.01218,0.02085,0.0007625,0.0007625,0.0007625
52,368.73,1.03075,0.53353,0.0073,0.87801,0.87256,0.90832,0.49179,2.01685,0.96162,0.02055,0.00073775,0.00073775,0.00073775
53,375.912,1.17806,0.64771,0.00811,0.99412,0.84848,0.92836,0.53484,1.98327,1.04804,0.02077,0.000713,0.000713,0.000713
54,382.97,1.23317,0.59038,0.0076,0.93436,0.87879,0.93808,0.56889,1.93517,1.07636,0.01981,0.00068825,0.00068825,0.00068825
55,390.373,1.25991,0.54087,0.00711,0.99035,0.84848,0.9202,0.53761,1.93592,1.10724,0.01973,0.0006635,0.0006635,0.0006635
56,397.344,1.31539,0.62197,0.00614,1,0.84164,0.92055,0.55397,1.94016,1.03947,0.01965,0.00063875,0.00063875,0.00063875
57,404.279,1.25239,0.60354,0.00775,1,0.87383,0.92637,0.56132,1.94443,1.07554,0.0196,0.000614,0.000614,0.000614
58,411.217,1.17231,0.5563,0.00723,0.93196,0.90909,0.92796,0.53605,1.91808,1.09403,0.01912,0.00058925,0.00058925,0.00058925
59,418.269,1.13763,0.57429,0.0071,0.98775,0.90909,0.93971,0.51956,1.88456,1.09427,0.01864,0.0005645,0.0005645,0.0005645
60,425.185,1.24414,0.63644,0.0081,0.91063,0.93939,0.93491,0.52111,1.88837,1.06045,0.01892,0.00053975,0.00053975,0.00053975
61,432.113,1.09642,0.61512,0.00675,0.93689,0.89985,0.93327,0.53226,1.90046,1.01825,0.01946,0.000515,0.000515,0.000515
62,439.106,1.08831,0.6415,0.00829,0.96722,0.89434,0.93668,0.56191,1.93131,0.97123,0.02013,0.00049025,0.00049025,0.00049025
63,445.979,1.15658,0.59973,0.00766,0.93681,0.89877,0.93248,0.55703,1.95727,0.97054,0.02056,0.0004655,0.0004655,0.0004655
64,452.96,1.13239,0.5586,0.00689,0.9855,0.84848,0.93103,0.5569,1.97716,0.95586,0.02084,0.00044075,0.00044075,0.00044075
65,460.272,1.05456,0.53423,0.00767,0.92414,0.90909,0.9335,0.5559,1.9289,1.03027,0.01931,0.000416,0.000416,0.000416
66,467.152,1.03522,0.52341,0.00606,0.93483,0.86962,0.92766,0.54492,1.92162,1.04746,0.01934,0.00039125,0.00039125,0.00039125
67,474.212,1.12963,0.51382,0.00634,0.93829,0.92173,0.93567,0.54667,1.9489,0.98211,0.01967,0.0003665,0.0003665,0.0003665
68,481.201,1.0588,0.55464,0.00732,0.93866,0.9277,0.93608,0.54911,1.96183,0.99251,0.01987,0.00034175,0.00034175,0.00034175
69,488.247,1.09572,0.53977,0.00717,1,0.87317,0.93729,0.54253,1.98119,1.04665,0.02028,0.000317,0.000317,0.000317
70,495.346,1.13407,0.4808,0.00642,0.97652,0.84848,0.93021,0.57564,1.97834,0.91643,0.02155,0.00029225,0.00029225,0.00029225
71,511.595,1.17841,0.5533,0.0079,0.96383,0.87879,0.93131,0.57078,1.97946,0.9193,0.02135,0.0002675,0.0002675,0.0002675
72,518.368,1.06415,0.501,0.00709,0.93701,0.90168,0.93128,0.57123,1.97497,0.95646,0.02123,0.00024275,0.00024275,0.00024275
73,525.13,1.09634,0.44972,0.0062,1,0.87618,0.93478,0.56048,1.98263,0.91907,0.02136,0.000218,0.000218,0.000218
74,531.694,0.98844,0.57655,0.00696,1,0.84806,0.93298,0.56733,1.97866,0.92704,0.02138,0.00019325,0.00019325,0.00019325
75,538.533,0.99862,0.51246,0.0066,0.99068,0.87879,0.93387,0.5603,1.96749,0.91056,0.02131,0.0001685,0.0001685,0.0001685
76,545.235,1.0367,0.44466,0.00625,1,0.87613,0.92971,0.5658,1.95726,0.91251,0.02115,0.00014375,0.00014375,0.00014375
77,551.893,1.12133,0.43566,0.00623,1,0.87059,0.92814,0.56455,1.94405,0.94477,0.02084,0.000119,0.000119,0.000119
78,558.59,1.06503,0.58673,0.00724,0.96655,0.87562,0.9263,0.55959,1.95154,0.94588,0.02124,9.425e-05,9.425e-05,9.425e-05
79,565.314,1.07072,0.54367,0.00605,0.96635,0.87052,0.92567,0.55574,1.9513,0.98388,0.02122,6.95e-05,6.95e-05,6.95e-05
80,571.854,1.07225,0.49644,0.00724,0.97445,0.84848,0.92391,0.56376,1.94122,0.99609,0.02116,4.475e-05,4.475e-05,4.475e-05
