epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1115.67,1.08107,0.47584,0.00152,0.93276,0.89556,0.92265,0.67108,1.06257,0.41923,0.00169,0.000821206,0.000821206,0.000821206
43,1142.06,1.07058,0.44336,0.00134,0.93532,0.89197,0.92861,0.67712,1.06139,0.43009,0.00174,0.000800577,0.000800577,0.000800577
44,1168.37,1.0635,0.44697,0.0015,0.9317,0.89281,0.9191,0.66849,1.08481,0.41969,0.00181,0.000779948,0.000779948,0.000779948
45,1194.44,1.1034,0.44759,0.00142,0.93833,0.88575,0.92383,0.66602,1.09294,0.40473,0.00202,0.000759318,0.000759318,0.000759318
46,1220.4,1.06601,0.41841,0.00152,0.92456,0.89834,0.92021,0.67497,1.05712,0.40827,0.00194,0.000738689,0.000738689,0.000738689
47,1246.33,1.08307,0.43471,0.00139,0.9208,0.88135,0.91966,0.67477,1.05272,0.42383,0.00184,0.00071806,0.00071806,0.00071806
48,1272.01,1.06482,0.42455,0.00141,0.92237,0.88095,0.91846,0.68166,1.02825,0.4091,0.0018,0.000697431,0.000697431,0.000697431
49,1298.18,1.03205,0.41871,0.00123,0.92976,0.88089,0.91953,0.68939,0.99624,0.39557,0.00166,0.000676802,0.000676802,0.000676802
50,1324.61,1.02385,0.41236,0.0014,0.91733,0.893,0.91959,0.68705,1.01881,0.39901,0.00172,0.000656173,0.000656173,0.000656173
51,1350.36,0.99735,0.40646,0.00131,0.92341,0.89777,0.92066,0.69614,0.99387,0.38248,0.00154,0.000635544,0.000635544,0.000635544
52,1376.52,0.99189,0.41691,0.00117,0.9292,0.8974,0.92542,0.697,0.98266,0.38868,0.00154,0.000614915,0.000614915,0.000614915
53,1402.71,0.98803,0.40042,0.00131,0.94265,0.88211,0.91935,0.69472,0.99333,0.38748,0.00152,0.000594286,0.000594286,0.000594286
54,1428.8,1.02117,0.40737,0.00114,0.9229,0.89185,0.91858,0.69624,0.99178,0.38178,0.00155,0.000573656,0.000573656,0.000573656
55,1454.52,0.98279,0.4074,0.00116,0.91695,0.90808,0.91974,0.70007,0.96678,0.36247,0.00154,0.000553027,0.000553027,0.000553027
56,1480.48,0.98868,0.38337,0.00113,0.9167,0.90637,0.9204,0.70166,0.95828,0.37603,0.00155,0.000532398,0.000532398,0.000532398
57,1507,0.97569,0.38744,0.00123,0.92864,0.90466,0.92438,0.70331,0.96819,0.36411,0.00163,0.000511769,0.000511769,0.000511769
58,1534.53,0.97593,0.40425,0.00124,0.95181,0.88981,0.92693,0.70507,0.97156,0.35635,0.00165,0.00049114,0.00049114,0.00049114
59,1561.17,0.96813,0.41766,0.00122,0.93769,0.90442,0.92572,0.70157,0.97528,0.36098,0.00159,0.000470511,0.000470511,0.000470511
60,1587.58,0.98043,0.3911,0.00123,0.93843,0.90159,0.92662,0.70129,0.98674,0.36496,0.00157,0.000449882,0.000449882,0.000449882
61,1612.8,0.99313,0.4152,0.00114,0.93881,0.90759,0.92776,0.70324,0.98493,0.36187,0.00155,0.000429253,0.000429253,0.000429253
62,1638.09,0.98627,0.39014,0.00119,0.94351,0.91185,0.92829,0.69882,0.99788,0.36193,0.00161,0.000408623,0.000408623,0.000408623
63,1664.44,0.96434,0.36187,0.00112,0.9487,0.90045,0.93009,0.70771,0.9806,0.36209,0.00148,0.000387994,0.000387994,0.000387994
64,1690.99,0.98093,0.39076,0.00104,0.94059,0.91,0.93211,0.70771,0.97417,0.36384,0.00151,0.000367365,0.000367365,0.000367365
65,1718.51,0.94606,0.38056,0.00112,0.94991,0.89796,0.93128,0.7078,0.97075,0.35903,0.00155,0.000346736,0.000346736,0.000346736
66,1745.4,0.9894,0.38665,0.00123,0.93878,0.90942,0.93111,0.70735,0.96036,0.35694,0.00151,0.000326107,0.000326107,0.000326107
67,1771.01,0.95773,0.36637,0.00109,0.93326,0.90819,0.93189,0.70576,0.96614,0.35818,0.0015,0.000305478,0.000305478,0.000305478
68,1796.76,0.94019,0.37236,0.00109,0.94069,0.90178,0.9289,0.70884,0.95946,0.35795,0.00148,0.000284849,0.000284849,0.000284849
69,1822.32,0.94939,0.38803,0.00118,0.95183,0.90102,0.93359,0.71095,0.96073,0.3537,0.0015,0.00026422,0.00026422,0.00026422
70,1848.57,0.95077,0.36662,0.00118,0.93452,0.90953,0.93184,0.71036,0.95956,0.36758,0.0015,0.00024359,0.00024359,0.00024359
71,1873.94,0.97006,0.37162,0.00099,0.94222,0.90079,0.93259,0.71158,0.96212,0.36212,0.00146,0.000222961,0.000222961,0.000222961
72,1899.07,0.93308,0.36619,0.00101,0.94543,0.91332,0.9364,0.71056,0.97371,0.355,0.00148,0.000202332,0.000202332,0.000202332
73,1923.74,0.9238,0.34283,0.00105,0.94767,0.91115,0.93459,0.71144,0.97246,0.35486,0.00148,0.000181703,0.000181703,0.000181703
74,1948.4,0.93766,0.37002,0.00094,0.95189,0.91235,0.93409,0.71262,0.95715,0.35094,0.00145,0.000161074,0.000161074,0.000161074
75,1974.08,0.93334,0.35913,0.00094,0.94751,0.90852,0.93276,0.71384,0.94743,0.35575,0.00141,0.000140445,0.000140445,0.000140445
76,2000.68,0.93934,0.3545,0.00094,0.94323,0.90443,0.92826,0.71098,0.96208,0.36277,0.00148,0.000119816,0.000119816,0.000119816
77,2028.48,0.92035,0.36453,0.00094,0.94311,0.9076,0.92919,0.71041,0.96133,0.36808,0.0015,9.91865e-05,9.91865e-05,9.91865e-05
78,2053.48,0.92933,0.36221,0.00099,0.94348,0.90599,0.92885,0.71104,0.95507,0.37122,0.00148,7.85574e-05,7.85574e-05,7.85574e-05
79,2078.59,0.92571,0.35717,0.00089,0.93595,0.90748,0.92858,0.71384,0.95537,0.36764,0.00143,5.79283e-05,5.79283e-05,5.79283e-05
80,2103.41,0.90083,0.35295,0.00091,0.93471,0.9098,0.92781,0.7149,0.94708,0.36689,0.00139,3.72991e-05,3.72991e-05,3.72991e-05
