epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,974.366,1.22384,0.65226,0.00685,0.94642,0.90824,0.96043,0.69791,1.01553,0.44904,0.00588,0.00144145,0.00144145,0.00144145
43,996.773,1.2175,0.65839,0.00692,0.94547,0.91275,0.9607,0.69364,1.04006,0.43594,0.00639,0.00143595,0.00143595,0.00143595
44,1019.49,1.22844,0.65739,0.00698,0.95197,0.91406,0.96498,0.70115,1.01378,0.45107,0.00611,0.00143045,0.00143045,0.00143045
45,1041.53,1.20588,0.63852,0.00695,0.9355,0.92547,0.96289,0.69751,1.03103,0.43456,0.00614,0.00142495,0.00142495,0.00142495
46,1064.19,1.2078,0.64102,0.00697,0.94403,0.91354,0.95794,0.69472,1.03035,0.45596,0.00599,0.00141945,0.00141945,0.00141945
47,1086.28,1.21364,0.65201,0.00697,0.94809,0.91526,0.96194,0.69324,1.03905,0.43583,0.00612,0.00141395,0.00141395,0.00141395
48,1108.08,1.20648,0.64389,0.00683,0.94613,0.90995,0.96262,0.71227,0.97136,0.42883,0.00575,0.00140845,0.00140845,0.00140845
49,1130.17,1.20545,0.63935,0.00684,0.94626,0.91367,0.96341,0.69026,1.05532,0.43525,0.00639,0.00140295,0.00140295,0.00140295
50,1152.96,1.19685,0.62788,0.00684,0.94525,0.92685,0.96557,0.69835,1.02689,0.42763,0.00648,0.00139745,0.00139745,0.00139745
51,1175.65,1.20108,0.6393,0.00683,0.94002,0.92066,0.96134,0.68068,1.07859,0.43816,0.00654,0.00139195,0.00139195,0.00139195
52,1198.01,1.20752,0.62227,0.00673,0.94404,0.92258,0.9626,0.71502,0.97885,0.3984,0.00587,0.00138644,0.00138644,0.00138644
53,1220.06,1.18529,0.61181,0.00668,0.9422,0.92276,0.96206,0.69705,1.03765,0.41619,0.00647,0.00138094,0.00138094,0.00138094
54,1243.01,1.19694,0.63155,0.0069,0.94968,0.9202,0.9642,0.676,1.09176,0.43578,0.00634,0.00137544,0.00137544,0.00137544
55,1265.81,1.18072,0.6124,0.00678,0.95591,0.91809,0.96502,0.71003,0.99871,0.40994,0.00605,0.00136994,0.00136994,0.00136994
56,1288.22,1.19085,0.62155,0.00683,0.94265,0.92649,0.96342,0.71263,0.98103,0.40517,0.00574,0.00136444,0.00136444,0.00136444
57,1310.2,1.18094,0.62417,0.00673,0.95352,0.92449,0.96353,0.71128,0.98752,0.39851,0.00587,0.00135894,0.00135894,0.00135894
58,1332.07,1.19808,0.61685,0.00697,0.94997,0.91577,0.96378,0.70332,1.00145,0.40303,0.00591,0.00135344,0.00135344,0.00135344
59,1354.07,1.17814,0.62483,0.00673,0.95205,0.91653,0.96233,0.69223,1.03039,0.41917,0.00623,0.00134794,0.00134794,0.00134794
60,1376.33,1.1807,0.60868,0.00664,0.9515,0.92291,0.96404,0.69692,1.02001,0.40763,0.00611,0.00134244,0.00134244,0.00134244
61,1398.12,1.19184,0.62248,0.00672,0.94817,0.9215,0.96603,0.72401,0.96114,0.40043,0.00583,0.00133693,0.00133693,0.00133693
62,1420.36,1.18115,0.61021,0.00674,0.94453,0.92566,0.96512,0.71213,0.98594,0.40482,0.00557,0.00133143,0.00133143,0.00133143
63,1442.34,1.17095,0.60709,0.00676,0.9469,0.92489,0.96354,0.71627,0.97542,0.39475,0.0056,0.00132593,0.00132593,0.00132593
64,1464.34,1.17705,0.61153,0.0067,0.95468,0.92064,0.96413,0.72035,0.963,0.39886,0.00564,0.00132043,0.00132043,0.00132043
65,1486.81,1.18312,0.61149,0.00661,0.95373,0.93178,0.96745,0.72296,0.94958,0.38068,0.00554,0.00131493,0.00131493,0.00131493
66,1508.86,1.17176,0.60064,0.00661,0.94647,0.93795,0.96946,0.70943,1.01452,0.3935,0.00589,0.00130943,0.00130943,0.00130943
67,1531.06,1.15966,0.59341,0.00653,0.95033,0.92583,0.96574,0.71991,0.93539,0.38572,0.0054,0.00130393,0.00130393,0.00130393
68,1554.12,1.16959,0.59392,0.00655,0.95158,0.92839,0.96825,0.72632,0.93684,0.37911,0.00551,0.00129843,0.00129843,0.00129843
69,1576.92,1.17329,0.60717,0.00663,0.95754,0.92546,0.96834,0.69606,1.04874,0.41198,0.00637,0.00129293,0.00129293,0.00129293
70,1598.98,1.15544,0.59124,0.00645,0.95482,0.92855,0.96773,0.70133,1.03068,0.40496,0.00599,0.00128742,0.00128742,0.00128742
71,1621.21,1.16391,0.59202,0.00651,0.95606,0.92709,0.9676,0.69672,1.04701,0.40858,0.00644,0.00128192,0.00128192,0.00128192
72,1643.81,1.17525,0.58634,0.00653,0.96792,0.92034,0.96904,0.73917,0.90443,0.37857,0.00504,0.00127642,0.00127642,0.00127642
73,1665.74,1.14525,0.57377,0.00642,0.9437,0.93217,0.96541,0.71368,0.99725,0.41303,0.00596,0.00127092,0.00127092,0.00127092
74,1688.16,1.18508,0.60413,0.00668,0.95432,0.929,0.96605,0.70542,1.02437,0.39437,0.00595,0.00126542,0.00126542,0.00126542
75,1710.69,1.15788,0.58384,0.00645,0.95835,0.92456,0.96639,0.7209,0.9633,0.38378,0.0056,0.00125992,0.00125992,0.00125992
76,1733.02,1.15064,0.57355,0.00644,0.95319,0.93137,0.96199,0.68299,1.07097,0.42199,0.00612,0.00125442,0.00125442,0.00125442
77,1754.78,1.16416,0.58891,0.00641,0.95063,0.93238,0.96878,0.73066,0.93165,0.37327,0.00546,0.00124892,0.00124892,0.00124892
78,1777.09,1.15705,0.58903,0.0065,0.95456,0.92756,0.96887,0.71208,0.98516,0.38353,0.00559,0.00124342,0.00124342,0.00124342
79,1799.34,1.15831,0.58521,0.00641,0.95757,0.93204,0.97115,0.73201,0.94977,0.36816,0.00571,0.00123791,0.00123791,0.00123791
80,1821.45,1.14073,0.58281,0.00659,0.95361,0.93298,0.9705,0.72349,0.96707,0.38147,0.0057,0.00123241,0.00123241,0.00123241
81,1843.83,1.16464,0.59089,0.00647,0.9602,0.93192,0.97089,0.74205,0.89917,0.35615,0.00511,0.00122691,0.00122691,0.00122691
