epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6135.98,0.88724,0.41997,0.00429,0.95246,0.93821,0.9728,0.77902,0.7872,0.32379,0.00388,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,6303.7,0.88505,0.41604,0.00434,0.95779,0.93447,0.97053,0.76588,0.81653,0.33892,0.00401,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,6472.6,0.88546,0.41269,0.00431,0.95982,0.93205,0.96831,0.78014,0.77707,0.32226,0.00389,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,6644.2,0.88415,0.41717,0.00425,0.959,0.93643,0.9717,0.78107,0.7895,0.3173,0.00385,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,6814.66,0.87685,0.41142,0.00426,0.95844,0.93489,0.97062,0.77551,0.79639,0.31956,0.00395,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,6986.99,0.87249,0.4112,0.00422,0.95661,0.94024,0.97542,0.79311,0.74648,0.30586,0.00369,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,7158.33,0.86846,0.4079,0.00418,0.9616,0.93947,0.97397,0.79366,0.74658,0.30788,0.00364,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,7329.22,0.86216,0.40046,0.00414,0.95613,0.94084,0.97277,0.79407,0.74549,0.30459,0.00363,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,7499.84,0.8565,0.40025,0.0041,0.9565,0.94215,0.9728,0.78285,0.77143,0.31433,0.00373,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,7672.36,0.85739,0.39669,0.00407,0.96192,0.93823,0.97389,0.78463,0.7598,0.30843,0.00372,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,7843.12,0.85628,0.40053,0.0041,0.95917,0.94004,0.97474,0.78628,0.75894,0.31151,0.00368,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,8014.7,0.84713,0.39109,0.00403,0.96043,0.94296,0.97437,0.78661,0.75927,0.30406,0.00373,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,8185,0.8462,0.39085,0.00408,0.96197,0.9444,0.97495,0.78986,0.74747,0.29773,0.00358,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,8355.36,0.84379,0.38802,0.00405,0.95534,0.94388,0.97517,0.78736,0.7587,0.30704,0.00368,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,8525.73,0.84228,0.38981,0.00402,0.95906,0.94491,0.97707,0.79904,0.72551,0.2943,0.00355,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,8697.04,0.83106,0.38288,0.00398,0.9649,0.94489,0.97809,0.80441,0.71602,0.28928,0.00344,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,8868.35,0.83132,0.38444,0.00397,0.96646,0.94251,0.97734,0.79584,0.74135,0.29489,0.00354,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,9037.4,0.83194,0.38444,0.00399,0.96531,0.94739,0.97848,0.80747,0.71422,0.28283,0.00346,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,9208.53,0.83228,0.38166,0.00397,0.96618,0.94495,0.9781,0.80014,0.73007,0.29132,0.00352,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,9379.04,0.83199,0.38092,0.00396,0.96768,0.94646,0.97781,0.80153,0.7234,0.2861,0.00345,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,9549.93,0.82581,0.38072,0.00395,0.96546,0.94781,0.97839,0.80595,0.71287,0.28232,0.0034,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,9722.62,0.82415,0.37983,0.00391,0.9637,0.95005,0.97819,0.80794,0.70692,0.28533,0.00335,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,9893.24,0.82794,0.38026,0.0039,0.96553,0.94562,0.97771,0.80581,0.71635,0.28858,0.00338,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,10063.9,0.82265,0.37884,0.0039,0.96727,0.94956,0.97832,0.80757,0.70807,0.2768,0.00335,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,10234,0.81221,0.37332,0.00385,0.9601,0.95418,0.97886,0.80469,0.71773,0.28259,0.0034,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,10404.1,0.81547,0.37821,0.00386,0.96637,0.95053,0.97967,0.80996,0.70165,0.28519,0.00331,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,10572.7,0.81273,0.377,0.00389,0.96776,0.94921,0.97933,0.81441,0.69008,0.27524,0.00328,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,10740.4,0.81005,0.3713,0.00383,0.9656,0.95047,0.97931,0.81148,0.69775,0.27722,0.00333,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,10909.6,0.8056,0.36666,0.00383,0.96393,0.95324,0.97946,0.81176,0.69479,0.27606,0.00334,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,11079.4,0.80496,0.3712,0.0038,0.96458,0.95094,0.97927,0.81171,0.69603,0.2834,0.00333,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,11249.5,0.80738,0.37184,0.00381,0.96601,0.94818,0.97902,0.81255,0.69279,0.28008,0.00329,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,11418.9,0.80056,0.36863,0.00376,0.96392,0.94863,0.97927,0.81166,0.69327,0.2818,0.00329,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,11589.6,0.79941,0.36501,0.00377,0.96103,0.95139,0.97969,0.81362,0.68824,0.27925,0.00327,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,11759.4,0.79792,0.36778,0.00375,0.96482,0.95224,0.97954,0.81565,0.68274,0.27801,0.00324,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,11927.2,0.79795,0.36542,0.0038,0.96764,0.94829,0.9798,0.81616,0.68227,0.27412,0.00323,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,12095.4,0.7965,0.36482,0.00375,0.96452,0.95208,0.97967,0.81586,0.68302,0.27565,0.00323,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,12265.4,0.79414,0.36618,0.0038,0.96517,0.95301,0.98007,0.81597,0.68246,0.27271,0.00325,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,12434.1,0.79414,0.35968,0.00372,0.96775,0.95112,0.98049,0.8171,0.67862,0.27168,0.0032,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,12605.2,0.79624,0.36072,0.00369,0.96518,0.95464,0.98019,0.8154,0.68388,0.27311,0.00324,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,12779,0.79247,0.36077,0.0037,0.97012,0.95166,0.9815,0.81773,0.67823,0.26801,0.00324,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,12950.6,0.78705,0.3566,0.00365,0.97058,0.95102,0.98175,0.81605,0.68537,0.2655,0.00325,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,13119.7,0.78421,0.35638,0.00367,0.96689,0.95583,0.98171,0.81919,0.67642,0.2635,0.00318,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,13289.6,0.78483,0.3573,0.00365,0.96715,0.95223,0.98086,0.81749,0.68033,0.26578,0.00319,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,13458.3,0.77953,0.35078,0.00366,0.96826,0.95349,0.98071,0.82031,0.67081,0.26299,0.00312,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,13633.8,0.77532,0.35098,0.00361,0.96943,0.95185,0.98159,0.82061,0.67061,0.25959,0.00311,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,13809,0.77547,0.35216,0.00361,0.96892,0.95497,0.98197,0.82175,0.66767,0.25893,0.00309,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,13985.7,0.77611,0.35269,0.00364,0.96813,0.95459,0.98158,0.82176,0.6648,0.25983,0.00309,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,14159.9,0.77883,0.35439,0.00365,0.96618,0.9563,0.98196,0.82131,0.66642,0.26044,0.00311,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,14330,0.77583,0.3524,0.00363,0.97072,0.95231,0.98214,0.82203,0.66374,0.25947,0.00308,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,14500.2,0.77279,0.34997,0.00358,0.9698,0.95336,0.98183,0.8228,0.66267,0.25874,0.00306,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,14670.3,0.76874,0.34449,0.00354,0.96701,0.95539,0.98149,0.82228,0.66301,0.25982,0.00306,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,14838.8,0.76768,0.34606,0.00359,0.96826,0.95493,0.98142,0.82309,0.66198,0.26008,0.00305,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,15008.9,0.76812,0.34637,0.00363,0.96864,0.95584,0.98186,0.82528,0.65785,0.25793,0.00304,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,15177.7,0.77105,0.34872,0.00358,0.96989,0.95435,0.98175,0.82556,0.65674,0.25702,0.00304,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,15346.3,0.76391,0.34335,0.00357,0.97262,0.95244,0.98202,0.82599,0.65458,0.25518,0.00303,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,15517.2,0.76481,0.34445,0.00352,0.97101,0.95605,0.98221,0.8261,0.65308,0.25436,0.00303,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,15685.7,0.76869,0.34981,0.00359,0.96903,0.95632,0.98161,0.82687,0.65147,0.25372,0.00302,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,15856.7,0.76434,0.34609,0.00359,0.96792,0.95707,0.98211,0.82789,0.6487,0.25413,0.003,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,16025,0.76469,0.3441,0.00358,0.97027,0.95493,0.98238,0.82818,0.64879,0.25477,0.003,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,16195.8,0.75977,0.34436,0.00358,0.97092,0.95228,0.98219,0.82783,0.64927,0.25477,0.003,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,16366.2,0.76207,0.34521,0.00356,0.97339,0.95358,0.98241,0.82897,0.64745,0.25226,0.00299,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
